units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,364.1507,0.0467,46.6999
1,366.1286,2.0246,2024.5999
1,367.1353,3.0313,3031.2999
1,368.7769,4.6729,4672.8999
1,368.8323,4.7283,4728.2999
1,369.4177,5.3137,5313.6999
1,369.6185,5.5145,5514.4999
1,374.3009,10.1969,10196.8999
1,375.4429,11.3389,11338.8999
1,375.8027,11.6987,11698.6999
1,376.0404,11.9364,11936.3999
1,378.1945,14.0905,14090.4999
1,379.0433,14.9393,14939.2999
1,379.3893,15.2853,15285.2999
1,380.1331,16.0291,16029.0999
1,380.5400,16.4360,16435.9999
1,382.0378,17.9338,17933.7999
1,382.0607,17.9567,17956.6999
1,383.5107,19.4067,19406.6999
1,384.0417,19.9377,19937.6999
1,384.1677,20.0637,20063.6999
1,384.5970,20.4930,20492.9999
1,386.8330,22.7290,22728.9999
1,389.7877,25.6837,25683.6999
1,389.8682,25.7642,25764.1999
1,389.9209,25.8169,25816.8999
1,390.4449,26.3409,26340.8999
1,391.0669,26.9629,26962.8999
1,394.0920,29.9880,29987.9999
1,401.6322,37.5282,37528.1999
1,406.6404,42.5364,42536.3999
1,408.2841,44.1801,44180.0999
1,409.0600,44.9560,44955.9999
1,409.9016,45.7976,45797.5999
1,410.1005,45.9965,45996.4999
1,410.4093,46.3053,46305.2999
1,412.0572,47.9532,47953.1999
1,412.5554,48.4514,48451.3999
1,413.3477,49.2437,49243.6999
1,413.3843,49.2803,49280.2999
1,414.2666,50.1626,50162.5999
1,414.6355,50.5315,50531.4999
1,414.8608,50.7568,50756.7999
1,415.1153,51.0113,51011.2999
1,415.2451,51.1411,51141.0999
1,416.2547,52.1507,52150.6999
1,420.0488,55.9448,55944.7999
1,420.6070,56.5030,56502.9999
1,420.7903,56.6863,56686.2999
1,421.4256,57.3216,57321.5999
1,423.3887,59.2847,59284.6999
1,425.3311,61.2271,61227.0999
1,425.4183,61.3143,61314.2999
1,425.4569,61.3529,61352.8999
1,425.6983,61.5943,61594.2999
1,425.8964,61.7924,61792.3999
1,426.0289,61.9249,61924.8999
1,426.1548,62.0508,62050.7999
1,426.4023,62.2983,62298.2999
