units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,367.8559,3.7519,3751.8999
1,380.4585,16.3545,16354.4999
1,380.4666,16.3626,16362.5999
1,380.4747,16.3707,16370.6999
1,382.9555,18.8515,18851.4999
1,383.2097,19.1057,19105.6999
1,383.4576,19.3536,19353.5999
1,388.2192,24.1152,24115.1999
1,390.4272,26.3232,26323.1999
1,393.0313,28.9273,28927.2999
1,393.3432,29.2392,29239.1999
1,393.6020,29.4980,29497.9999
1,393.9668,29.8628,29862.7999
1,394.5288,30.4248,30424.7999
1,394.7608,30.6568,30656.7999
1,397.7144,33.6104,33610.3999
1,408.8826,44.7786,44778.5999
1,429.2666,65.1626,65162.5999
1,429.5305,65.4265,65426.4999
1,438.4529,74.3489,74348.8999
1,438.7279,74.6239,74623.8999
1,442.1659,78.0619,78061.8999
1,447.8228,83.7188,83718.7999
1,448.6381,84.5341,84534.0999
1,448.8095,84.7055,84705.4999
1,448.8118,84.7078,84707.7999
1,454.3676,90.2636,90263.5999
1,457.0964,92.9924,92992.3999
1,459.1979,95.0939,95093.8999
1,463.0096,98.9056,98905.5999
1,466.2638,102.1598,102159.7999
1,472.3734,108.2694,108269.3999
1,472.3822,108.2782,108278.1999
1,472.3884,108.2844,108284.3999
1,476.6018,112.4978,112497.7999
1,482.4681,118.3641,118364.0999
1,484.3684,120.2644,120264.3999
1,485.6899,121.5859,121585.8999
1,486.0980,121.9940,121993.9999
1,498.6582,134.5542,134554.1999
1,503.8948,139.7908,139790.7999
1,504.6963,140.5923,140592.2999
1,507.6265,143.5225,143522.4999
1,507.7122,143.6082,143608.1999
1,508.1405,144.0365,144036.4999
1,508.4513,144.3473,144347.2999
1,508.5471,144.4431,144443.0999
1,514.8238,150.7198,150719.7999
1,516.8742,152.7702,152770.1999
1,517.4825,153.3785,153378.4999
1,517.6545,153.5505,153550.4999
1,517.9633,153.8593,153859.2999
1,518.2043,154.1003,154100.2999
1,518.8793,154.7753,154775.2999
1,518.9576,154.8536,154853.5999
1,518.9908,154.8868,154886.7999
1,519.7269,155.6229,155622.8999
1,523.7009,159.5969,159596.8999
1,523.7177,159.6137,159613.6999
1,534.4707,170.3667,170366.6999
1,540.0984,175.9944,175994.3999
1,544.7012,180.5972,180597.1999
1,544.7111,180.6071,180607.0999
1,544.7189,180.6149,180614.8999
1,544.7366,180.6326,180632.5999
1,545.5366,181.4326,181432.5999
1,550.4268,186.3228,186322.7999
1,558.7259,194.6219,194621.8999
1,561.6052,197.5012,197501.1999
1,565.2919,201.1879,201187.8999
1,565.4733,201.3693,201369.2999
1,577.8804,213.7764,213776.3999
1,580.8195,216.7155,216715.4999
1,589.4548,225.3508,225350.7999
1,592.9940,228.8900,228889.9999
1,595.3144,231.2104,231210.3999
1,598.0733,233.9693,233969.2999
1,598.1131,234.0091,234009.0999
1,599.2117,235.1077,235107.6999
1,600.4830,236.3790,236378.9999
1,601.4744,237.3704,237370.3999
1,601.9300,237.8260,237825.9999
1,601.9834,237.8794,237879.3999
1,602.0969,237.9929,237992.8999
1,603.1521,239.0481,239048.0999
1,609.8232,245.7192,245719.1999
1,615.7481,251.6441,251644.0999
1,616.3013,252.1973,252197.2999
1,620.8378,256.7338,256733.7999
1,628.6054,264.5014,264501.3999
1,634.2956,270.1916,270191.5999
1,641.7321,277.6281,277628.0999
1,641.9020,277.7980,277797.9999
1,645.2362,281.1322,281132.1999
1,645.3311,281.2271,281227.0999
1,645.7715,281.6675,281667.4999
1,646.4313,282.3273,282327.2999
1,649.2151,285.1111,285111.0999
1,649.5279,285.4239,285423.8999
1,650.3469,286.2429,286242.8999
1,652.7746,288.6706,288670.5999
1,656.1214,292.0174,292017.3999
1,657.9437,293.8397,293839.6999
1,659.6533,295.5493,295549.2999
1,661.2544,297.1504,297150.3999
1,661.5791,297.4751,297475.0999
1,661.7024,297.5984,297598.3999
1,661.8831,297.7791,297779.0999
1,662.1637,298.0597,298059.6999
1,662.9498,298.8458,298845.7999
1,662.9585,298.8545,298854.4999
1,662.9672,298.8632,298863.1999
1,662.9747,298.8707,298870.6999
1,662.9852,298.8812,298881.1999
1,663.5857,299.4817,299481.6999
1,664.0583,299.9543,299954.2999
1,664.8980,300.7940,300793.9999
1,665.2551,301.1511,301151.0999
1,665.5289,301.4249,301424.8999
1,667.1925,303.0885,303088.4999
1,669.9920,305.8880,305887.9999
1,671.7971,307.6931,307693.0999
1,682.2080,318.1040,318103.9999
1,685.2580,321.1540,321153.9999
1,685.2654,321.1614,321161.3999
1,685.2769,321.1729,321172.8999
1,696.9908,332.8868,332886.7999
1,698.2038,334.0998,334099.7999
1,698.3680,334.2640,334263.9999
1,702.0077,337.9037,337903.6999
1,709.7678,345.6638,345663.7999
1,710.3349,346.2309,346230.8999
1,712.1722,348.0682,348068.1999
1,713.8031,349.6991,349699.0999
1,714.4525,350.3485,350348.4999
1,714.7438,350.6398,350639.7999
1,716.5915,352.4875,352487.4999
1,720.9083,356.8043,356804.2999
1,720.9741,356.8701,356870.0999
1,721.1143,357.0103,357010.2999
1,721.3349,357.2309,357230.8999
1,721.5644,357.4604,357460.3999
1,727.0607,362.9567,362956.6999
1,727.6280,363.5240,363523.9999
1,728.1065,364.0025,364002.4999
1,728.2385,364.1345,364134.4999
1,728.4582,364.3542,364354.1999
