units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,414.9599,50.8559,50855.8999
1,441.1745,77.0705,77070.4999
1,457.6869,93.5829,93582.8999
1,489.7393,125.6353,125635.2999
1,506.3577,142.2537,142253.6999
1,507.3543,143.2503,143250.2999
1,557.9636,193.8596,193859.5999
1,588.1913,224.0873,224087.2999
1,592.9988,228.8948,228894.7999
1,601.8493,237.7453,237745.2999
1,637.0168,272.9128,272912.7999
1,686.6671,322.5631,322563.0999
1,790.0885,425.9845,425984.4999
1,805.8535,441.7495,441749.4999
1,818.0086,453.9046,453904.5999
1,833.9372,469.8332,469833.1999
1,859.4712,495.3672,495367.1999
1,876.0772,511.9732,511973.1999
1,879.8571,515.7531,515753.0999
1,880.3110,516.2070,516206.9999
1,886.8385,522.7345,522734.4999
1,927.2068,563.1028,563102.7999
1,936.8522,572.7482,572748.1999
1,961.1228,597.0188,597018.7999
1,987.5223,623.4183,623418.2999
1,1003.7888,639.6848,639684.7999
1,1004.0158,639.9118,639911.7999
1,1004.3109,640.2069,640206.8999
1,1009.5474,645.4434,645443.3999
1,1026.1717,662.0677,662067.6999
1,1029.6858,665.5818,665581.7999
1,1114.2204,750.1164,750116.3999
1,1130.6189,766.5149,766514.8999
1,1138.2875,774.1835,774183.4999
1,1140.2035,776.0995,776099.4999
1,1141.1318,777.0278,777027.7999
1,1141.6558,777.5518,777551.7999
1,1145.7434,781.6394,781639.3999
1,1145.8368,781.7328,781732.7999
1,1146.9037,782.7997,782799.6999
1,1147.3094,783.2054,783205.3999
1,1153.1501,789.0461,789046.0999
1,1205.1112,841.0072,841007.1999
1,1205.2705,841.1665,841166.4999
1,1223.5869,859.4829,859482.8999
1,1227.5931,863.4891,863489.0999
1,1240.7900,876.6860,876685.9999
1,1254.2060,890.1020,890101.9999
1,1274.0595,909.9555,909955.4999
1,1274.4188,910.3148,910314.7999
1,1343.4210,979.3170,979316.9999
1,1365.6277,1001.5237,1001523.6999
1,1367.9066,1003.8026,1003802.5999
1,1376.6638,1012.5598,1012559.7999
1,1380.9722,1016.8682,1016868.1999
1,1381.9777,1017.8737,1017873.6999
1,1395.3275,1031.2235,1031223.4999
1,1398.4823,1034.3783,1034378.2999
1,1400.7285,1036.6245,1036624.4999
1,1400.8969,1036.7929,1036792.8999
1,1407.9540,1043.8500,1043849.9999
1,1408.3947,1044.2907,1044290.6999
1,1427.4756,1063.3716,1063371.5999
1,1455.6902,1091.5862,1091586.1999
1,1456.6284,1092.5244,1092524.3999
1,1527.7135,1163.6095,1163609.4999
1,1552.2740,1188.1700,1188169.9999
1,1554.8439,1190.7399,1190739.8999
1,1556.7430,1192.6390,1192638.9999
1,1556.9934,1192.8894,1192889.3999
1,1558.7421,1194.6381,1194638.0999
1,1570.7490,1206.6450,1206644.9999
1,1597.7137,1233.6097,1233609.6999
1,1616.5486,1252.4446,1252444.5999
1,1632.5100,1268.4060,1268405.9999
1,1716.7795,1352.6755,1352675.4999
1,1733.7854,1369.6814,1369681.3999
1,1755.0058,1390.9018,1390901.7999
1,1759.2045,1395.1005,1395100.4999
1,1759.8553,1395.7513,1395751.2999
1,1803.6455,1439.5415,1439541.4999
1,1828.5519,1464.4479,1464447.8999
1,1860.6825,1496.5785,1496578.4999
1,1865.1697,1501.0657,1501065.6999
1,1893.9636,1529.8596,1529859.5999
1,1943.6622,1579.5582,1579558.1999
1,1977.8318,1613.7278,1613727.7999
1,1994.3080,1630.2040,1630203.9999
1,2033.6942,1669.5902,1669590.1999
1,2071.2205,1707.1165,1707116.4999
1,2113.5435,1749.4395,1749439.4999
1,2115.7263,1751.6223,1751622.2999
1,2121.2723,1757.1683,1757168.2999
1,2123.4008,1759.2968,1759296.7999
1,2148.9408,1784.8368,1784836.7999
1,2178.9704,1814.8664,1814866.3999
1,2193.8513,1829.7473,1829747.2999
1,2198.3253,1834.2213,1834221.2999
1,2249.7466,1885.6426,1885642.5999
1,2272.0382,1907.9342,1907934.1999
1,2309.5650,1945.4610,1945460.9999
1,2331.4233,1967.3193,1967319.2999
1,2350.1142,1986.0102,1986010.1999
1,2408.8444,2044.7404,2044740.3999
1,2426.1642,2062.0602,2062060.1999
1,2458.1768,2094.0728,2094072.7999
1,2473.3000,2109.1960,2109195.9999
1,2473.3316,2109.2276,2109227.5999
1,2473.3783,2109.2743,2109274.2999
1,2473.9648,2109.8608,2109860.7999
1,2474.2010,2110.0970,2110096.9999
1,2474.3661,2110.2621,2110262.0999
1,2474.3821,2110.2781,2110278.0999
1,2475.6309,2111.5269,2111526.8999
1,2476.8430,2112.7390,2112738.9999
1,2488.4784,2124.3744,2124374.3999
1,2500.5650,2136.4610,2136460.9999
1,2538.6328,2174.5288,2174528.7999
1,2540.9202,2176.8162,2176816.1999
1,2542.2697,2178.1657,2178165.6999
1,2569.4244,2205.3204,2205320.3999
1,2570.6031,2206.4991,2206499.0999
1,2652.9499,2288.8459,2288845.8999
1,2665.9675,2301.8635,2301863.4999
1,2705.7892,2341.6852,2341685.1999
1,2705.8069,2341.7029,2341702.8999
1,2710.7748,2346.6708,2346670.7999
1,2714.8287,2350.7247,2350724.6999
1,2718.1863,2354.0823,2354082.2999
1,2762.4643,2398.3603,2398360.2999
1,2762.4774,2398.3734,2398373.3999
1,2774.3783,2410.2743,2410274.2999
1,2782.8340,2418.7300,2418729.9999
1,2833.0206,2468.9166,2468916.5999
