units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,364.7322,0.6282,628.1999
2,371.8533,7.7493,7749.2999
2,374.5165,10.4125,10412.4999
2,381.5093,17.4053,17405.2999
2,383.7897,19.6857,19685.6999
2,384.0735,19.9695,19969.4999
2,384.9290,20.8250,20824.9999
2,389.4804,25.3764,25376.3999
2,391.1511,27.0471,27047.0999
2,400.4173,36.3133,36313.2999
2,403.1952,39.0912,39091.1999
2,403.4444,39.3404,39340.3999
2,416.1543,52.0503,52050.2999
2,420.2073,56.1033,56103.2999
2,424.7488,60.6448,60644.7999
2,427.3035,63.1995,63199.4999
2,433.2775,69.1735,69173.4999
2,438.3036,74.1996,74199.5999
2,438.4437,74.3397,74339.6999
2,439.9166,75.8126,75812.5999
2,446.1128,82.0088,82008.7999
2,446.2209,82.1169,82116.8999
2,448.3117,84.2077,84207.6999
2,453.7872,89.6832,89683.1999
2,455.9498,91.8458,91845.7999
2,471.6905,107.5865,107586.4999
2,475.1252,111.0212,111021.1999
2,476.4315,112.3275,112327.4999
2,479.7532,115.6492,115649.1999
2,482.3470,118.2430,118242.9999
2,494.9902,130.8862,130886.1999
2,504.7378,140.6338,140633.7999
2,509.9106,145.8066,145806.5999
2,511.8060,147.7020,147701.9999
2,514.8710,150.7670,150766.9999
2,515.4438,151.3398,151339.7999
2,525.7345,161.6305,161630.4999
2,527.4756,163.3716,163371.5999
2,534.7512,170.6472,170647.1999
2,539.4239,175.3199,175319.8999
2,542.4265,178.3225,178322.4999
2,544.1900,180.0860,180085.9999
2,544.5710,180.4670,180466.9999
2,549.3372,185.2332,185233.1999
2,549.9021,185.7981,185798.0999
2,553.0272,188.9232,188923.1999
2,554.9859,190.8819,190881.8999
2,560.1841,196.0801,196080.0999
2,562.7143,198.6103,198610.2999
2,564.1947,200.0907,200090.6999
2,565.2611,201.1571,201157.0999
2,565.4860,201.3820,201381.9999
2,566.5817,202.4777,202477.6999
2,570.0342,205.9302,205930.1999
2,571.1282,207.0242,207024.1999
2,572.0571,207.9531,207953.0999
2,579.4626,215.3586,215358.5999
2,583.9607,219.8567,219856.6999
2,591.1794,227.0754,227075.3999
2,600.4107,236.3067,236306.6999
2,600.6343,236.5303,236530.2999
2,604.1909,240.0869,240086.8999
2,604.5436,240.4396,240439.5999
2,606.9412,242.8372,242837.1999
2,612.4908,248.3868,248386.7999
2,615.0931,250.9891,250989.0999
2,615.3257,251.2217,251221.6999
2,615.9683,251.8643,251864.2999
2,619.3836,255.2796,255279.5999
2,628.7460,264.6420,264641.9999
2,635.7465,271.6425,271642.4999
2,647.8500,283.7460,283745.9999
2,652.7968,288.6928,288692.7999
2,657.9247,293.8207,293820.6999
2,658.8574,294.7534,294753.3999
