units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,424.9739,60.8699,60869.8999
1,620.1649,256.0609,256060.8999
1,785.9013,421.7973,421797.2999
1,793.7665,429.6625,429662.4999
1,819.0883,454.9843,454984.2999
1,865.1632,501.0592,501059.1999
1,1138.1929,774.0889,774088.8999
1,1139.0051,774.9011,774901.0999
1,1139.0239,774.9199,774919.8999
1,1141.3784,777.2744,777274.3999
1,1141.4554,777.3514,777351.3999
1,1141.6580,777.5540,777553.9999
1,1142.0898,777.9858,777985.7999
1,1143.2234,779.1194,779119.3999
1,1145.7434,781.6394,781639.3999
1,1145.8368,781.7328,781732.7999
1,1145.9357,781.8317,781831.6999
1,1145.9919,781.8879,781887.8999
1,1146.9036,782.7996,782799.5999
1,1146.9922,782.8882,782888.1999
1,1147.1422,783.0382,783038.1999
1,1147.1857,783.0817,783081.6999
1,1147.3095,783.2055,783205.4999
1,1147.3384,783.2344,783234.3999
1,1147.7580,783.6540,783653.9999
1,1147.7889,783.6849,783684.8999
1,1148.0245,783.9205,783920.4999
1,1149.1735,785.0695,785069.4999
1,1149.1850,785.0810,785080.9999
1,1152.1167,788.0127,788012.6999
1,1153.0554,788.9514,788951.3999
1,1153.1501,789.0461,789046.0999
1,1156.4720,792.3680,792367.9999
1,1161.0817,796.9777,796977.6999
1,1162.0517,797.9477,797947.6999
1,1167.7982,803.6942,803694.1999
1,1190.4872,826.3832,826383.1999
1,1196.6294,832.5254,832525.3999
1,1199.2744,835.1704,835170.3999
1,1205.1075,841.0035,841003.4999
1,1205.6605,841.5565,841556.4999
1,1211.6522,847.5482,847548.1999
1,1220.1599,856.0559,856055.8999
1,1234.3855,870.2815,870281.4999
1,1251.2024,887.0984,887098.3999
1,1254.6986,890.5946,890594.5999
1,1256.7905,892.6865,892686.4999
1,1332.0789,967.9749,967974.8999
1,1348.3637,984.2597,984259.6999
1,1358.2430,994.1390,994138.9999
1,1363.6324,999.5284,999528.3999
1,1365.6572,1001.5532,1001553.1999
1,1366.1737,1002.0697,1002069.6999
1,1400.2466,1036.1426,1036142.5999
1,1400.7285,1036.6245,1036624.4999
1,1400.8968,1036.7928,1036792.7999
1,1402.7308,1038.6268,1038626.7999
1,1402.7666,1038.6626,1038662.5999
1,1402.8605,1038.7565,1038756.4999
1,1403.0986,1038.9946,1038994.5999
1,1403.1769,1039.0729,1039072.8999
1,1404.0137,1039.9097,1039909.6999
1,1407.9592,1043.8552,1043855.1999
1,1407.9960,1043.8920,1043891.9999
1,1408.1482,1044.0442,1044044.1999
1,1408.3947,1044.2907,1044290.6999
1,1408.5243,1044.4203,1044420.2999
1,1408.7969,1044.6929,1044692.8999
1,1408.8469,1044.7429,1044742.8999
1,1412.1466,1048.0426,1048042.5999
1,1412.2313,1048.1273,1048127.2999
1,1425.4645,1061.3605,1061360.4999
1,1425.8803,1061.7763,1061776.2999
1,1446.7717,1082.6677,1082667.6999
1,1456.6284,1092.5244,1092524.3999
1,1527.2783,1163.1743,1163174.2999
1,1527.5739,1163.4699,1163469.8999
1,1527.5980,1163.4940,1163493.9999
1,1527.7135,1163.6095,1163609.4999
1,1528.0616,1163.9576,1163957.5999
1,1551.9118,1187.8078,1187807.7999
1,1552.0218,1187.9178,1187917.7999
1,1553.9413,1189.8373,1189837.2999
1,1554.8225,1190.7185,1190718.4999
1,1554.8439,1190.7399,1190739.8999
1,1556.9934,1192.8894,1192889.3999
1,1558.7421,1194.6381,1194638.0999
1,1561.9245,1197.8205,1197820.4999
1,1570.7043,1206.6003,1206600.2999
1,1570.7418,1206.6378,1206637.7999
1,1571.2417,1207.1377,1207137.6999
1,1599.0915,1234.9875,1234987.4999
1,1635.3435,1271.2395,1271239.4999
1,1780.6215,1416.5175,1416517.4999
1,1780.8873,1416.7833,1416783.2999
1,1781.0032,1416.8992,1416899.1999
1,1781.0834,1416.9794,1416979.3999
1,1781.1709,1417.0669,1417066.8999
1,1911.7428,1547.6388,1547638.7999
1,2234.6999,1870.5959,1870595.8999
1,2470.5940,2106.4900,2106489.9999
1,2470.9016,2106.7976,2106797.5999
1,2473.2767,2109.1727,2109172.6999
1,2473.3000,2109.1960,2109195.9999
1,2473.3783,2109.2743,2109274.2999
1,2473.4449,2109.3409,2109340.8999
1,2473.9929,2109.8889,2109888.8999
1,2474.1780,2110.0740,2110073.9999
1,2474.1968,2110.0928,2110092.7999
1,2474.2301,2110.1261,2110126.0999
1,2474.3471,2110.2431,2110243.0999
1,2474.3821,2110.2781,2110278.0999
1,2475.6309,2111.5269,2111526.8999
1,2475.6831,2111.5791,2111579.0999
1,2475.9771,2111.8731,2111873.0999
1,2476.6453,2112.5413,2112541.2999
1,2476.8431,2112.7391,2112739.0999
1,2476.8663,2112.7623,2112762.2999
1,2477.4252,2113.3212,2113321.1999
1,2478.2755,2114.1715,2114171.4999
1,2491.4062,2127.3022,2127302.1999
1,2491.4533,2127.3493,2127349.2999
1,2499.7172,2135.6132,2135613.1999
1,2518.4865,2154.3825,2154382.4999
1,2634.4431,2270.3391,2270339.0999
