units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,364.4091,0.3051,305.0999
2,364.8852,0.7812,781.1999
2,365.2561,1.1521,1152.0999
2,368.5867,4.4827,4482.6999
2,369.5060,5.4020,5401.9999
2,369.5909,5.4869,5486.8999
2,369.6104,5.5064,5506.3999
2,370.7063,6.6023,6602.2999
2,371.0177,6.9137,6913.6999
2,371.0510,6.9470,6946.9999
2,371.2486,7.1446,7144.5999
2,371.2580,7.1540,7153.9999
2,371.4610,7.3570,7356.9999
2,371.6220,7.5180,7517.9999
2,371.7553,7.6513,7651.2999
2,373.8239,9.7199,9719.8999
2,373.8416,9.7376,9737.5999
2,378.7083,14.6043,14604.2999
2,380.5914,16.4874,16487.3999
2,380.6477,16.5437,16543.6999
2,380.6808,16.5768,16576.7999
2,382.5195,18.4155,18415.4999
2,383.7817,19.6777,19677.6999
2,383.8301,19.7261,19726.0999
2,384.1123,20.0083,20008.2999
2,384.1961,20.0921,20092.0999
2,384.6810,20.5770,20576.9999
2,386.3062,22.2022,22202.1999
2,386.7855,22.6815,22681.4999
2,387.9322,23.8282,23828.1999
2,388.0441,23.9401,23940.0999
2,388.0492,23.9452,23945.1999
2,388.1355,24.0315,24031.4999
2,388.4798,24.3758,24375.7999
2,388.7834,24.6794,24679.3999
2,389.2312,25.1272,25127.1999
2,389.3755,25.2715,25271.4999
2,391.0874,26.9834,26983.3999
2,392.2183,28.1143,28114.2999
2,393.4970,29.3930,29392.9999
2,393.7059,29.6019,29601.8999
2,394.1549,30.0509,30050.8999
2,394.3225,30.2185,30218.4999
2,394.8384,30.7344,30734.3999
2,395.0459,30.9419,30941.8999
2,395.0838,30.9798,30979.7999
2,395.3717,31.2677,31267.6999
2,395.6836,31.5796,31579.5999
2,395.8295,31.7255,31725.4999
2,395.8514,31.7474,31747.3999
2,396.3147,32.2107,32210.6999
2,396.3613,32.2573,32257.2999
2,396.9012,32.7972,32797.1999
2,397.9622,33.8582,33858.1999
2,400.9174,36.8134,36813.3999
2,403.3327,39.2287,39228.6999
2,403.4700,39.3660,39365.9999
2,404.4183,40.3143,40314.2999
2,407.7355,43.6315,43631.4999
2,410.2738,46.1698,46169.7999
2,414.8651,50.7611,50761.0999
2,416.1494,52.0454,52045.3999
2,427.6184,63.5144,63514.3999
2,427.6379,63.5339,63533.8999
2,429.5129,65.4089,65408.8999
2,430.7334,66.6294,66629.3999
2,430.9786,66.8746,66874.5999
2,431.4429,67.3389,67338.8999
2,431.5460,67.4420,67441.9999
2,432.5268,68.4228,68422.7999
2,432.6382,68.5342,68534.1999
2,432.7550,68.6510,68650.9999
2,435.5267,71.4227,71422.6999
2,438.8762,74.7722,74772.1999
2,446.1378,82.0338,82033.7999
2,447.8525,83.7485,83748.4999
2,447.8816,83.7776,83777.5999
2,447.8865,83.7825,83782.4999
2,449.7153,85.6113,85611.2999
2,449.9064,85.8024,85802.3999
2,449.9301,85.8261,85826.0999
2,450.4044,86.3004,86300.3999
2,450.8013,86.6973,86697.2999
2,451.3135,87.2095,87209.4999
2,451.3340,87.2300,87229.9999
2,452.0654,87.9614,87961.3999
2,458.4193,94.3153,94315.2999
2,458.4348,94.3308,94330.7999
2,462.3346,98.2306,98230.5999
2,464.6022,100.4982,100498.1999
2,465.3196,101.2156,101215.5999
2,470.2659,106.1619,106161.8999
2,470.8581,106.7541,106754.0999
2,474.6330,110.5290,110528.9999
2,475.9545,111.8505,111850.4999
2,479.7312,115.6272,115627.1999
2,480.8616,116.7576,116757.5999
2,481.7631,117.6591,117659.0999
2,481.7719,117.6679,117667.8999
2,481.9997,117.8957,117895.6999
2,482.0555,117.9515,117951.4999
2,482.5481,118.4441,118444.0999
2,483.4973,119.3933,119393.2999
2,484.6484,120.5444,120544.3999
2,484.9853,120.8813,120881.2999
2,485.2063,121.1023,121102.2999
2,491.9683,127.8643,127864.2999
2,492.6913,128.5873,128587.2999
2,495.2023,131.0983,131098.2999
2,495.8495,131.7455,131745.4999
2,503.0635,138.9595,138959.4999
2,505.5715,141.4675,141467.4999
2,507.9884,143.8844,143884.3999
2,509.5530,145.4490,145448.9999
2,510.6616,146.5576,146557.5999
2,511.7594,147.6554,147655.3999
2,511.9159,147.8119,147811.8999
2,512.0810,147.9770,147976.9999
2,514.2993,150.1953,150195.2999
2,514.7024,150.5984,150598.3999
2,518.2699,154.1659,154165.8999
2,524.3052,160.2012,160201.1999
2,531.8265,167.7225,167722.4999
2,536.4154,172.3114,172311.3999
2,540.6486,176.5446,176544.5999
2,542.2467,178.1427,178142.6999
2,543.4396,179.3356,179335.5999
2,544.5961,180.4921,180492.0999
2,545.3500,181.2460,181245.9999
2,545.9232,181.8192,181819.1999
2,546.1920,182.0880,182087.9999
2,546.2187,182.1147,182114.6999
2,546.3395,182.2355,182235.4999
2,546.8443,182.7403,182740.2999
2,546.8523,182.7483,182748.2999
2,547.5274,183.4234,183423.3999
