units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
3,1779.3049,1415.2009,1415200.8999,1,1.0-1413882-1415731,560.0000,1.0000,1,1,True,1413882.0000,1415731.0000,1318.8999,1.3189
3,1779.5592,1415.4552,1415455.1999,1,1.0-1413882-1415731,560.0000,1.0000,1,1,True,1413882.0000,1415731.0000,1573.1999,1.5732
3,1779.6722,1415.5682,1415568.1999,1,1.0-1413882-1415731,560.0000,1.0000,1,1,True,1413882.0000,1415731.0000,1686.1999,1.6862
3,743.8972,379.7932,379793.1999,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1699.1999,1.6992
3,744.0019,379.8979,379897.8999,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,1803.8999,1.8039
3,503.9614,139.8574,139857.3999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,391.3999,0.3914
3,504.1693,140.0653,140065.2999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,599.2999,0.5993
3,504.1759,140.0719,140071.8999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,605.8999,0.6059
3,504.2109,140.1069,140106.8999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,640.8999,0.6409
3,504.5317,140.4277,140427.6999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,961.6999,0.9617
3,1356.1410,992.0370,992036.9999,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1258.9999,1.2590
3,1356.1512,992.0472,992047.1999,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1269.1999,1.2692
3,1357.2150,993.1110,993110.9999,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2332.9999,2.3330
3,1357.5118,993.4078,993407.7999,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2629.7999,2.6298
3,659.2668,295.1628,295162.7999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,214.7999,0.2148
3,659.5084,295.4044,295404.3999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,456.3999,0.4564
3,659.9674,295.8634,295863.3999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,915.3999,0.9154
