units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,1778.7613,1414.6573,1414657.2999,1,1.0-1413882-1415731,560.0000,1.0000,1,1,True,1413882.0000,1415731.0000,775.2999,0.7753
2,950.8510,586.7470,586746.9999,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,153.9999,0.1540
2,1865.4140,1501.3100,1501309.9999,7,1.0-1500398-1502858,600.0000,1.0000,1,7,True,1500398.0000,1502858.0000,911.9999,0.9120
2,1521.0578,1156.9538,1156953.7999,9,1.0-1156870-1158940,477.0000,1.0000,1,8,True,1156870.0000,1158940.0000,83.7999,0.0838
2,855.9053,491.8013,491801.2999,11,1.0-491435-493175,257.0000,1.0000,1,10,True,491435.0000,493175.0000,366.2999,0.3663
2,981.8473,617.7433,617743.2999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,1355.2999,1.3553
2,2445.1462,2081.0422,2081042.1999,18,1.0-2080618-2082828,867.0000,1.0000,1,13,True,2080618.0000,2082828.0000,424.1999,0.4242
2,1922.9955,1558.8915,1558891.4999,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,2106.4999,2.1065
2,1445.5222,1081.4182,1081418.1999,21,1.0-1080664-1085654,458.0000,1.0000,1,16,True,1080664.0000,1085654.0000,754.1999,0.7542
2,1445.5682,1081.4642,1081464.1999,21,1.0-1080664-1085654,458.0000,1.0000,1,16,True,1080664.0000,1085654.0000,800.1999,0.8002
2,888.6096,524.5056,524505.5999,22,1.0-522899-527919,267.0000,1.0000,1,17,True,522899.0000,527919.0000,1606.5999,1.6066
2,2375.3529,2011.2489,2011248.8999,26,1.0-2010651-2012821,835.0000,1.0000,0,50,True,2010651.0000,2012821.0000,597.8999,0.5979
2,2375.7858,2011.6818,2011681.7999,26,1.0-2010651-2012821,835.0000,1.0000,0,50,True,2010651.0000,2012821.0000,1030.7999,1.0308
2,2376.0258,2011.9218,2011921.7999,26,1.0-2010651-2012821,835.0000,1.0000,0,50,True,2010651.0000,2012821.0000,1270.7999,1.2708
2,2376.6304,2012.5264,2012526.3999,26,1.0-2010651-2012821,835.0000,1.0000,0,50,True,2010651.0000,2012821.0000,1875.3999,1.8754
2,1967.3303,1603.2263,1603226.2999,28,1.0-1602762-1605542,650.0000,1.0000,0,52,True,1602762.0000,1605542.0000,464.2999,0.4643
2,2247.0892,1882.9852,1882985.1999,31,1.0-1882896-1884396,791.0000,1.0000,1,22,True,1882896.0000,1884396.0000,89.1999,0.0892
2,2422.6836,2058.5796,2058579.5999,34,1.0-2057596-2059676,857.0000,1.0000,1,24,True,2057596.0000,2059676.0000,983.5999,0.9836
2,2423.6559,2059.5519,2059551.8999,34,1.0-2057596-2059676,857.0000,1.0000,1,24,True,2057596.0000,2059676.0000,1955.8999,1.9559
2,2401.6460,2037.5420,2037541.9999,36,1.0-2036709-2039469,848.0000,1.0000,1,26,True,2036709.0000,2039469.0000,832.9999,0.8330
2,1885.5649,1521.4609,1521460.8999,37,1.0-1520751-1522380,612.0000,1.0000,0,54,True,1520751.0000,1522380.0000,709.8999,0.7099
2,1683.2701,1319.1661,1319166.0999,39,1.0-1317090-1322069,535.0000,1.0000,1,27,True,1317090.0000,1322069.0000,2076.0999,2.0761
2,1685.7597,1321.6557,1321655.6999,39,1.0-1317090-1322069,535.0000,1.0000,1,27,True,1317090.0000,1322069.0000,4565.6999,4.5657
2,2529.6613,2165.5573,2165557.2999,41,1.0-2165532-2170542,898.0000,1.0000,1,28,True,2165532.0000,2170542.0000,25.2999,0.0253
2,2533.5748,2169.4708,2169470.7999,41,1.0-2165532-2170542,898.0000,1.0000,1,28,True,2165532.0000,2170542.0000,3938.7999,3.9388
2,2533.9631,2169.8591,2169859.0999,41,1.0-2165532-2170542,898.0000,1.0000,1,28,True,2165532.0000,2170542.0000,4327.0999,4.3271
2,2534.3768,2170.2728,2170272.7999,41,1.0-2165532-2170542,898.0000,1.0000,1,28,True,2165532.0000,2170542.0000,4740.7999,4.7408
2,785.8394,421.7354,421735.3999,47,1.0-421669-426679,230.0000,1.0000,0,59,True,421669.0000,426679.0000,66.3999,0.0664
2,548.8517,184.7477,184747.6999,52,1.0-184242-187152,109.0000,1.0000,1,32,True,184242.0000,187152.0000,505.6999,0.5057
2,1885.5649,1521.4609,1521460.8999,53,1.0-1520751-1525740,612.0000,1.0000,1,33,True,1520751.0000,1525740.0000,709.8999,0.7099
2,2194.8435,1830.7395,1830739.4999,55,1.0-1829945-1830985,755.0000,1.0000,1,34,True,1829945.0000,1830985.0000,794.4999,0.7945
2,1819.4593,1455.3553,1455355.2999,56,1.0-1454721-1455881,577.0000,1.0000,0,65,True,1454721.0000,1455881.0000,634.2999,0.6343
2,1402.3357,1038.2317,1038231.6999,59,1.0-1037823-1040693,444.0000,1.0000,1,36,True,1037823.0000,1040693.0000,408.6999,0.4087
2,1403.0500,1038.9460,1038945.9999,59,1.0-1037823-1040693,444.0000,1.0000,1,36,True,1037823.0000,1040693.0000,1122.9999,1.1230
2,1403.6235,1039.5195,1039519.4999,59,1.0-1037823-1040693,444.0000,1.0000,1,36,True,1037823.0000,1040693.0000,1696.4999,1.6965
2,2690.7915,2326.6875,2326687.4999,63,1.0-2326352-2327712,954.0000,1.0000,1,39,True,2326352.0000,2327712.0000,335.4999,0.3355
2,1207.4970,843.3930,843392.9999,65,1.0-841770-843749,368.0000,1.0000,0,68,True,841770.0000,843749.0000,1622.9999,1.6230
2,573.6386,209.5346,209534.5999,68,1.0-208933-209863,125.0000,1.0000,1,41,True,208933.0000,209863.0000,601.5999,0.6016
