units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
4,504.0066,139.9026,139902.5999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,436.5999,0.4366
4,659.4107,295.3067,295306.6999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,358.6999,0.3587
4,661.6572,297.5532,297553.1999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2605.1999,2.6052
4,950.8872,586.7832,586783.1999,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,190.1999,0.1902
4,952.2554,588.1514,588151.3999,6,1.0-586593-589483,290.0000,1.0000,1,6,True,586593.0000,589483.0000,1558.3999,1.5584
4,1865.6568,1501.5528,1501552.7999,7,1.0-1500398-1502858,600.0000,1.0000,1,7,True,1500398.0000,1502858.0000,1154.7999,1.1548
4,1866.1060,1502.0020,1502001.9999,7,1.0-1500398-1502858,600.0000,1.0000,1,7,True,1500398.0000,1502858.0000,1603.9999,1.6040
4,1522.2250,1158.1210,1158120.9999,9,1.0-1156870-1158940,477.0000,1.0000,1,8,True,1156870.0000,1158940.0000,1250.9999,1.2510
4,575.4019,211.2979,211297.8999,10,1.0-209934-212143,126.0000,1.0000,1,9,True,209934.0000,212143.0000,1363.8999,1.3639
4,575.5750,211.4710,211470.9999,10,1.0-209934-212143,126.0000,1.0000,1,9,True,209934.0000,212143.0000,1536.9999,1.5370
4,2260.5591,1896.4551,1896455.0999,16,1.0-1895842-1898072,799.0000,1.0000,0,48,True,1895842.0000,1898072.0000,613.0999,0.6131
4,2260.6775,1896.5735,1896573.4999,16,1.0-1895842-1898072,799.0000,1.0000,0,48,True,1895842.0000,1898072.0000,731.4999,0.7315
4,2261.5968,1897.4928,1897492.7999,16,1.0-1895842-1898072,799.0000,1.0000,0,48,True,1895842.0000,1898072.0000,1650.7999,1.6508
4,2262.0268,1897.9228,1897922.7999,16,1.0-1895842-1898072,799.0000,1.0000,0,48,True,1895842.0000,1898072.0000,2080.7999,2.0808
4,981.4680,617.3640,617363.9999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,975.9999,0.9760
4,981.6139,617.5099,617509.8999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,1121.8999,1.1219
4,983.3470,619.2430,619242.9999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,2854.9999,2.8550
4,983.7742,619.6702,619670.1999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,3282.1999,3.2822
4,984.1697,620.0657,620065.6999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,3677.6999,3.6777
4,984.1859,620.0819,620081.8999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,3693.8999,3.6939
4,984.3579,620.2539,620253.8999,17,1.0-616388-621378,300.0000,1.0000,1,12,True,616388.0000,621378.0000,3865.8999,3.8659
4,2444.9880,2080.8840,2080883.9999,18,1.0-2080618-2082828,867.0000,1.0000,1,13,True,2080618.0000,2082828.0000,265.9999,0.2660
4,2235.7442,1871.6402,1871640.1999,19,1.0-1871218-1873358,783.0000,1.0000,1,14,True,1871218.0000,1873358.0000,422.1999,0.4222
4,2237.0851,1872.9811,1872981.0999,19,1.0-1871218-1873358,783.0000,1.0000,1,14,True,1871218.0000,1873358.0000,1763.0999,1.7631
4,2237.0992,1872.9952,1872995.1999,19,1.0-1871218-1873358,783.0000,1.0000,1,14,True,1871218.0000,1873358.0000,1777.1999,1.7772
4,2237.1811,1873.0771,1873077.0999,19,1.0-1871218-1873358,783.0000,1.0000,1,14,True,1871218.0000,1873358.0000,1859.0999,1.8591
4,1921.7484,1557.6444,1557644.3999,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,859.3999,0.8594
4,1921.9472,1557.8432,1557843.1999,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,1058.1999,1.0582
4,1922.5722,1558.4682,1558468.1999,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,1683.1999,1.6832
4,1922.8912,1558.7872,1558787.1999,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,2002.1999,2.0022
4,1925.4658,1561.3618,1561361.7999,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,4576.7999,4.5768
4,1925.5244,1561.4204,1561420.3999,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,4635.3999,4.6354
4,1448.7147,1084.6107,1084610.6999,21,1.0-1080664-1085654,458.0000,1.0000,1,16,True,1080664.0000,1085654.0000,3946.6999,3.9467
4,1449.3770,1085.2730,1085272.9999,21,1.0-1080664-1085654,458.0000,1.0000,1,16,True,1080664.0000,1085654.0000,4608.9999,4.6090
4,889.1570,525.0530,525052.9999,22,1.0-522899-527919,267.0000,1.0000,1,17,True,522899.0000,527919.0000,2153.9999,2.1540
4,889.5290,525.4250,525424.9999,22,1.0-522899-527919,267.0000,1.0000,1,17,True,522899.0000,527919.0000,2525.9999,2.5260
4,1074.1233,710.0193,710019.2999,23,1.0-708910-710909,330.0000,1.0000,1,18,True,708910.0000,710909.0000,1109.2999,1.1093
4,1074.4232,710.3192,710319.1999,23,1.0-708910-710909,330.0000,1.0000,1,18,True,708910.0000,710909.0000,1409.1999,1.4092
4,2757.2374,2393.1334,2393133.3999,24,1.0-2390080-2395080,981.0000,1.0000,1,19,True,2390080.0000,2395080.0000,3053.3999,3.0534
4,2596.8624,2232.7584,2232758.3999,25,1.0-2232062-2233472,922.0000,1.0000,0,49,True,2232062.0000,2233472.0000,696.3999,0.6964
4,2596.8657,2232.7617,2232761.6999,25,1.0-2232062-2233472,922.0000,1.0000,0,49,True,2232062.0000,2233472.0000,699.6999,0.6997
4,1176.1408,812.0368,812036.7999,27,1.0-809205-812075,358.0000,1.0000,0,51,True,809205.0000,812075.0000,2831.7999,2.8318
4,1969.2754,1605.1714,1605171.3999,28,1.0-1602762-1605542,650.0000,1.0000,0,52,True,1602762.0000,1605542.0000,2409.3999,2.4094
4,1969.4870,1605.3830,1605382.9999,28,1.0-1602762-1605542,650.0000,1.0000,0,52,True,1602762.0000,1605542.0000,2620.9999,2.6210
4,2247.2128,1883.1088,1883108.7999,31,1.0-1882896-1884396,791.0000,1.0000,1,22,True,1882896.0000,1884396.0000,212.7999,0.2128
4,2247.2381,1883.1341,1883134.0999,31,1.0-1882896-1884396,791.0000,1.0000,1,22,True,1882896.0000,1884396.0000,238.0999,0.2381
4,2421.9520,2057.8480,2057847.9999,34,1.0-2057596-2059676,857.0000,1.0000,1,24,True,2057596.0000,2059676.0000,251.9999,0.2520
4,2423.0216,2058.9176,2058917.5999,34,1.0-2057596-2059676,857.0000,1.0000,1,24,True,2057596.0000,2059676.0000,1321.5999,1.3216
4,2423.3262,2059.2222,2059222.1999,34,1.0-2057596-2059676,857.0000,1.0000,1,24,True,2057596.0000,2059676.0000,1626.1999,1.6262
4,2423.4662,2059.3622,2059362.1999,34,1.0-2057596-2059676,857.0000,1.0000,1,24,True,2057596.0000,2059676.0000,1766.1999,1.7662
4,2401.4238,2037.3198,2037319.7999,36,1.0-2036709-2039469,848.0000,1.0000,1,26,True,2036709.0000,2039469.0000,610.7999,0.6108
4,1060.2489,696.1449,696144.8999,38,1.0-695797-697427,326.0000,1.0000,0,55,True,695797.0000,697427.0000,347.8999,0.3479
