bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,1,0.1
2,1,0.1
3,2,0.2
4,1,0.1
5,1,0.1
6,0,0.0
7,0,0.0
8,0,0.0
9,1,0.1
10,1,0.1
11,0,0.0
12,0,0.0
13,1,0.1
14,0,0.0
15,0,0.0
16,0,0.0
17,1,0.1
18,0,0.0
19,0,0.0
20,1,0.1
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,1,0.1
29,1,0.1
30,1,0.1
31,2,0.2
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,2,0.2
39,0,0.0
40,1,0.1
41,2,0.2
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,2,0.2
47,1,0.1
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,1,0.1
54,1,0.1
55,0,0.0
56,1,0.1
57,0,0.0
58,1,0.1
59,1,0.1
60,1,0.1
61,2,0.2
62,0,0.0
63,1,0.1
64,1,0.1
65,0,0.0
66,1,0.1
67,1,0.1
68,2,0.2
69,1,0.1
70,1,0.1
71,1,0.1
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,1,0.1
77,1,0.1
78,1,0.1
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,1,0.1
84,1,0.1
85,1,0.1
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,1,0.1
92,0,0.0
93,0,0.0
94,1,0.1
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,1,0.1
100,1,0.1
101,1,0.1
102,0,0.0
103,1,0.1
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,1,0.1
110,0,0.0
111,1,0.1
112,1,0.1
113,1,0.1
114,0,0.0
115,0,0.0
116,1,0.1
117,2,0.2
118,0,0.0
119,0,0.0
120,0,0.0
121,1,0.1
122,0,0.0
123,2,0.2
124,1,0.1
125,2,0.2
126,4,0.4
127,1,0.1
128,0,0.0
129,0,0.0
130,1,0.1
131,0,0.0
132,1,0.1
133,1,0.1
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,1,0.1
140,1,0.1
141,3,0.3
142,0,0.0
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,2,0.2
149,0,0.0
150,0,0.0
151,1,0.1
152,2,0.2
153,0,0.0
154,1,0.1
155,1,0.1
156,1,0.1
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,2,0.2
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,2,0.2
168,1,0.1
169,2,0.2
170,1,0.1
171,1,0.1
172,2,0.2
173,1,0.1
174,1,0.1
175,1,0.1
176,1,0.1
177,1,0.1
178,0,0.0
179,1,0.1
180,1,0.1
181,0,0.0
182,0,0.0
183,3,0.3
184,0,0.0
185,0,0.0
186,2,0.2
187,1,0.1
188,1,0.1
189,0,0.0
190,0,0.0
191,0,0.0
192,3,0.3
193,0,0.0
194,2,0.2
195,0,0.0
196,1,0.1
197,1,0.1
198,2,0.2
199,1,0.1
200,1,0.1
201,0,0.0
202,1,0.1
203,1,0.1
204,0,0.0
205,1,0.1
206,0,0.0
207,1,0.1
208,0,0.0
209,1,0.1
210,4,0.4
211,4,0.4
212,0,0.0
213,1,0.1
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,2,0.2
219,0,0.0
220,0,0.0
221,1,0.1
222,0,0.0
223,1,0.1
224,0,0.0
225,0,0.0
226,0,0.0
227,1,0.1
228,1,0.1
229,2,0.2
230,0,0.0
231,0,0.0
232,0,0.0
233,1,0.1
234,1,0.1
235,0,0.0
236,1,0.1
237,0,0.0
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,1,0.1
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,1,0.1
