bin_10s,spike_count,firing_rate_hz
0,7,0.7
1,16,1.6
2,12,1.2
3,7,0.7
4,8,0.8
5,17,1.7
6,23,2.3
7,7,0.7
8,7,0.7
9,16,1.6
10,16,1.6
11,16,1.6
12,15,1.5
13,4,0.4
14,15,1.5
15,15,1.5
16,18,1.8
17,15,1.5
18,4,0.4
19,8,0.8
20,12,1.2
21,23,2.3
22,18,1.8
23,7,0.7
24,13,1.3
25,9,0.9
26,13,1.3
27,7,0.7
28,19,1.9
29,11,1.1
30,20,2.0
31,21,2.1
32,49,4.9
33,6,0.6
34,23,2.3
35,7,0.7
36,4,0.4
37,8,0.8
38,19,1.9
39,19,1.9
40,18,1.8
41,16,1.6
42,16,1.6
43,32,3.2
44,11,1.1
45,17,1.7
46,20,2.0
47,13,1.3
48,9,0.9
49,21,2.1
50,32,3.2
51,26,2.6
52,24,2.4
53,30,3.0
54,7,0.7
55,9,0.9
56,9,0.9
57,11,1.1
58,25,2.5
59,23,2.3
60,13,1.3
61,24,2.4
62,25,2.5
63,39,3.9
64,13,1.3
65,13,1.3
66,30,3.0
67,18,1.8
68,60,6.0
69,33,3.3
70,13,1.3
71,18,1.8
72,25,2.5
73,35,3.5
74,13,1.3
75,12,1.2
76,23,2.3
77,10,1.0
78,29,2.9
79,16,1.6
80,20,2.0
81,13,1.3
82,16,1.6
83,16,1.6
84,10,1.0
85,20,2.0
86,7,0.7
87,5,0.5
88,12,1.2
89,7,0.7
90,6,0.6
91,7,0.7
92,12,1.2
93,18,1.8
94,9,0.9
95,8,0.8
96,14,1.4
97,19,1.9
98,7,0.7
99,13,1.3
100,22,2.2
101,16,1.6
102,26,2.6
103,22,2.2
104,18,1.8
105,6,0.6
106,17,1.7
107,13,1.3
108,12,1.2
109,8,0.8
110,10,1.0
111,12,1.2
112,4,0.4
113,14,1.4
114,7,0.7
115,7,0.7
116,9,0.9
117,10,1.0
118,11,1.1
119,18,1.8
120,9,0.9
121,5,0.5
122,12,1.2
123,21,2.1
124,12,1.2
125,18,1.8
126,14,1.4
127,13,1.3
128,19,1.9
129,6,0.6
130,13,1.3
131,13,1.3
132,17,1.7
133,12,1.2
134,20,2.0
135,15,1.5
136,9,0.9
137,10,1.0
138,15,1.5
139,7,0.7
140,20,2.0
141,13,1.3
142,8,0.8
143,18,1.8
144,11,1.1
145,11,1.1
146,16,1.6
147,6,0.6
148,5,0.5
149,8,0.8
150,16,1.6
151,10,1.0
152,8,0.8
153,12,1.2
154,14,1.4
155,9,0.9
156,15,1.5
157,6,0.6
158,7,0.7
159,11,1.1
160,16,1.6
161,5,0.5
162,4,0.4
163,14,1.4
164,3,0.3
165,14,1.4
166,12,1.2
167,10,1.0
168,10,1.0
169,4,0.4
170,11,1.1
171,7,0.7
172,17,1.7
173,12,1.2
174,7,0.7
175,8,0.8
176,7,0.7
177,8,0.8
178,9,0.9
179,21,2.1
180,13,1.3
181,10,1.0
182,10,1.0
183,6,0.6
184,10,1.0
185,20,2.0
186,19,1.9
187,22,2.2
188,19,1.9
189,8,0.8
190,5,0.5
191,4,0.4
192,8,0.8
193,9,0.9
194,9,0.9
195,7,0.7
196,5,0.5
197,15,1.5
198,8,0.8
199,13,1.3
200,10,1.0
201,23,2.3
202,13,1.3
203,5,0.5
204,5,0.5
205,8,0.8
206,18,1.8
207,14,1.4
208,14,1.4
209,11,1.1
210,14,1.4
211,17,1.7
212,10,1.0
213,18,1.8
214,6,0.6
215,12,1.2
216,2,0.2
217,8,0.8
218,16,1.6
219,21,2.1
220,21,2.1
221,16,1.6
222,20,2.0
223,18,1.8
224,29,2.9
225,21,2.1
226,21,2.1
227,8,0.8
228,11,1.1
229,4,0.4
230,9,0.9
231,10,1.0
232,5,0.5
233,24,2.4
234,14,1.4
235,10,1.0
236,11,1.1
237,10,1.0
238,10,1.0
239,12,1.2
240,7,0.7
241,7,0.7
242,9,0.9
243,16,1.6
244,16,1.6
245,14,1.4
246,26,2.6
247,7,0.7
