bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,8,0.8
2,10,1.0
3,6,0.6
4,5,0.5
5,11,1.1
6,6,0.6
7,11,1.1
8,8,0.8
9,7,0.7
10,10,1.0
11,8,0.8
12,3,0.3
13,10,1.0
14,8,0.8
15,7,0.7
16,8,0.8
17,17,1.7
18,8,0.8
19,10,1.0
20,9,0.9
21,14,1.4
22,15,1.5
23,7,0.7
24,3,0.3
25,8,0.8
26,11,1.1
27,14,1.4
28,7,0.7
29,4,0.4
30,7,0.7
31,9,0.9
32,10,1.0
33,3,0.3
34,9,0.9
35,9,0.9
36,5,0.5
37,11,1.1
38,14,1.4
39,11,1.1
40,5,0.5
41,10,1.0
42,13,1.3
43,8,0.8
44,9,0.9
45,11,1.1
46,6,0.6
47,2,0.2
48,5,0.5
49,7,0.7
50,9,0.9
51,6,0.6
52,4,0.4
53,12,1.2
54,9,0.9
55,9,0.9
56,7,0.7
57,5,0.5
58,11,1.1
59,10,1.0
60,5,0.5
61,5,0.5
62,13,1.3
63,19,1.9
64,10,1.0
65,13,1.3
66,12,1.2
67,9,0.9
68,8,0.8
69,10,1.0
70,11,1.1
71,7,0.7
72,9,0.9
73,6,0.6
74,17,1.7
75,15,1.5
76,9,0.9
77,14,1.4
78,18,1.8
79,8,0.8
80,17,1.7
81,13,1.3
82,8,0.8
83,9,0.9
84,20,2.0
85,16,1.6
86,12,1.2
87,9,0.9
88,22,2.2
89,16,1.6
90,15,1.5
91,16,1.6
92,9,0.9
93,10,1.0
94,7,0.7
95,5,0.5
96,12,1.2
97,12,1.2
98,12,1.2
99,6,0.6
100,12,1.2
101,5,0.5
102,5,0.5
103,14,1.4
104,8,0.8
105,9,0.9
106,15,1.5
107,8,0.8
108,7,0.7
109,5,0.5
110,11,1.1
111,13,1.3
112,10,1.0
113,12,1.2
114,9,0.9
115,18,1.8
116,9,0.9
117,14,1.4
118,10,1.0
119,13,1.3
120,13,1.3
121,10,1.0
122,9,0.9
123,10,1.0
124,3,0.3
125,13,1.3
126,13,1.3
127,16,1.6
128,10,1.0
129,8,0.8
130,12,1.2
131,10,1.0
132,9,0.9
133,5,0.5
134,6,0.6
135,8,0.8
136,9,0.9
137,7,0.7
138,4,0.4
139,10,1.0
140,13,1.3
141,13,1.3
142,7,0.7
143,8,0.8
144,8,0.8
145,4,0.4
146,15,1.5
147,10,1.0
148,7,0.7
149,14,1.4
150,4,0.4
151,4,0.4
152,15,1.5
153,9,0.9
154,15,1.5
155,8,0.8
156,10,1.0
157,8,0.8
158,6,0.6
159,11,1.1
160,14,1.4
161,5,0.5
162,5,0.5
163,20,2.0
164,16,1.6
165,7,0.7
166,11,1.1
167,6,0.6
168,10,1.0
169,13,1.3
170,16,1.6
171,9,0.9
172,10,1.0
173,5,0.5
174,9,0.9
175,15,1.5
176,7,0.7
177,12,1.2
178,6,0.6
179,11,1.1
180,8,0.8
181,15,1.5
182,9,0.9
183,10,1.0
184,6,0.6
185,4,0.4
186,5,0.5
187,5,0.5
188,6,0.6
189,7,0.7
190,7,0.7
191,10,1.0
192,8,0.8
193,8,0.8
194,8,0.8
195,5,0.5
196,12,1.2
197,5,0.5
198,5,0.5
199,6,0.6
200,7,0.7
201,6,0.6
202,8,0.8
203,3,0.3
204,4,0.4
205,7,0.7
206,10,1.0
207,7,0.7
208,12,1.2
209,10,1.0
210,18,1.8
211,11,1.1
212,7,0.7
213,12,1.2
214,13,1.3
215,9,0.9
216,10,1.0
217,10,1.0
218,4,0.4
219,9,0.9
220,11,1.1
221,10,1.0
222,3,0.3
223,12,1.2
224,4,0.4
225,1,0.1
226,14,1.4
227,13,1.3
228,7,0.7
229,12,1.2
230,11,1.1
231,10,1.0
232,17,1.7
233,10,1.0
234,11,1.1
235,6,0.6
236,10,1.0
237,9,0.9
238,9,0.9
239,6,0.6
240,2,0.2
241,7,0.7
242,16,1.6
243,9,0.9
244,5,0.5
245,4,0.4
246,15,1.5
247,11,1.1
