bin_10s,spike_count,firing_rate_hz
0,66,6.6
1,34,3.4
2,30,3.0
3,38,3.8
4,19,1.9
5,29,2.9
6,32,3.2
7,44,4.4
8,38,3.8
9,25,2.5
10,25,2.5
11,41,4.1
12,30,3.0
13,16,1.6
14,25,2.5
15,39,3.9
16,49,4.9
17,52,5.2
18,50,5.0
19,47,4.7
20,58,5.8
21,55,5.5
22,20,2.0
23,37,3.7
24,90,9.0
25,50,5.0
26,64,6.4
27,76,7.6
28,97,9.7
29,51,5.1
30,76,7.6
31,82,8.2
32,120,12.0
33,91,9.1
34,60,6.0
35,71,7.1
36,59,5.9
37,43,4.3
38,75,7.5
39,111,11.1
40,85,8.5
41,71,7.1
42,42,4.2
43,73,7.3
44,38,3.8
45,105,10.5
46,45,4.5
47,34,3.4
48,40,4.0
49,56,5.6
50,52,5.2
51,35,3.5
52,16,1.6
53,14,1.4
54,25,2.5
55,21,2.1
56,19,1.9
57,13,1.3
58,28,2.8
59,29,2.9
60,21,2.1
61,24,2.4
62,23,2.3
63,29,2.9
64,30,3.0
65,28,2.8
66,19,1.9
67,33,3.3
68,24,2.4
69,21,2.1
70,31,3.1
71,29,2.9
72,27,2.7
73,23,2.3
74,54,5.4
75,35,3.5
76,40,4.0
77,55,5.5
78,67,6.7
79,51,5.1
80,53,5.3
81,63,6.3
82,69,6.9
83,65,6.5
84,62,6.2
85,49,4.9
86,48,4.8
87,70,7.0
88,36,3.6
89,48,4.8
90,74,7.4
91,62,6.2
92,98,9.8
93,61,6.1
94,63,6.3
95,93,9.3
96,106,10.6
97,108,10.8
98,86,8.6
99,75,7.5
100,69,6.9
101,74,7.4
102,71,7.1
103,58,5.8
104,49,4.9
105,29,2.9
106,44,4.4
107,41,4.1
108,42,4.2
109,53,5.3
110,53,5.3
111,42,4.2
112,62,6.2
113,71,7.1
114,76,7.6
115,58,5.8
116,58,5.8
117,72,7.2
118,92,9.2
119,101,10.1
120,65,6.5
121,84,8.4
122,95,9.5
123,70,7.0
124,62,6.2
125,32,3.2
126,72,7.2
127,62,6.2
128,61,6.1
129,69,6.9
130,11,1.1
131,50,5.0
132,40,4.0
133,78,7.8
134,88,8.8
135,66,6.6
136,76,7.6
137,51,5.1
138,49,4.9
139,57,5.7
140,69,6.9
141,65,6.5
142,66,6.6
143,90,9.0
144,73,7.3
145,0,0.0
146,50,5.0
147,75,7.5
148,55,5.5
149,58,5.8
150,58,5.8
151,76,7.6
152,66,6.6
153,91,9.1
154,82,8.2
155,66,6.6
156,95,9.5
157,80,8.0
158,72,7.2
159,41,4.1
160,63,6.3
161,95,9.5
162,78,7.8
163,48,4.8
164,116,11.6
165,79,7.9
166,50,5.0
167,64,6.4
168,127,12.7
169,89,8.9
170,81,8.1
171,65,6.5
172,53,5.3
173,51,5.1
174,108,10.8
175,45,4.5
176,112,11.2
177,92,9.2
178,109,10.9
179,100,10.0
180,112,11.2
181,93,9.3
182,93,9.3
183,60,6.0
184,85,8.5
185,68,6.8
186,72,7.2
187,72,7.2
188,66,6.6
189,93,9.3
190,97,9.7
191,75,7.5
192,102,10.2
193,36,3.6
194,66,6.6
195,87,8.7
196,103,10.3
197,77,7.7
198,108,10.8
199,123,12.3
200,94,9.4
201,109,10.9
202,81,8.1
203,148,14.8
204,53,5.3
205,99,9.9
206,55,5.5
207,64,6.4
208,64,6.4
209,127,12.7
210,68,6.8
211,118,11.8
212,97,9.7
213,101,10.1
214,98,9.8
215,93,9.3
216,124,12.4
217,105,10.5
218,87,8.7
219,45,4.5
220,95,9.5
221,78,7.8
222,119,11.9
223,117,11.7
224,82,8.2
225,80,8.0
226,76,7.6
227,75,7.5
228,78,7.8
229,72,7.2
230,105,10.5
231,92,9.2
232,99,9.9
233,94,9.4
234,101,10.1
235,78,7.8
236,70,7.0
237,68,6.8
238,88,8.8
239,63,6.3
240,87,8.7
241,30,3.0
242,65,6.5
243,57,5.7
244,85,8.5
245,47,4.7
246,62,6.2
247,73,7.3
