bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,7,0.7
2,7,0.7
3,0,0.0
4,2,0.2
5,0,0.0
6,3,0.3
7,2,0.2
8,2,0.2
9,0,0.0
10,0,0.0
11,1,0.1
12,2,0.2
13,0,0.0
14,3,0.3
15,1,0.1
16,0,0.0
17,1,0.1
18,13,1.3
19,2,0.2
20,2,0.2
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,2,0.2
26,8,0.8
27,10,1.0
28,12,1.2
29,3,0.3
30,2,0.2
31,0,0.0
32,0,0.0
33,9,0.9
34,0,0.0
35,0,0.0
36,4,0.4
37,1,0.1
38,1,0.1
39,1,0.1
40,0,0.0
41,0,0.0
42,0,0.0
43,1,0.1
44,3,0.3
45,1,0.1
46,0,0.0
47,3,0.3
48,14,1.4
49,1,0.1
50,5,0.5
51,0,0.0
52,0,0.0
53,5,0.5
54,1,0.1
55,2,0.2
56,3,0.3
57,1,0.1
58,2,0.2
59,2,0.2
60,2,0.2
61,3,0.3
62,2,0.2
63,0,0.0
64,3,0.3
65,0,0.0
66,1,0.1
67,0,0.0
68,3,0.3
69,2,0.2
70,2,0.2
71,0,0.0
72,0,0.0
73,6,0.6
74,6,0.6
75,1,0.1
76,13,1.3
77,5,0.5
78,4,0.4
79,10,1.0
80,2,0.2
81,0,0.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,1,0.1
87,2,0.2
88,5,0.5
89,1,0.1
90,3,0.3
91,4,0.4
92,4,0.4
93,1,0.1
94,13,1.3
95,2,0.2
96,0,0.0
97,8,0.8
98,1,0.1
99,3,0.3
100,3,0.3
101,2,0.2
102,0,0.0
103,0,0.0
104,1,0.1
105,2,0.2
106,12,1.2
107,2,0.2
108,8,0.8
109,1,0.1
110,2,0.2
111,1,0.1
112,1,0.1
113,0,0.0
114,0,0.0
115,5,0.5
116,6,0.6
117,7,0.7
118,6,0.6
119,7,0.7
120,2,0.2
121,6,0.6
122,2,0.2
123,3,0.3
124,6,0.6
125,14,1.4
126,6,0.6
127,7,0.7
128,0,0.0
129,1,0.1
130,0,0.0
131,0,0.0
132,1,0.1
133,0,0.0
134,1,0.1
135,14,1.4
136,21,2.1
137,3,0.3
138,6,0.6
139,1,0.1
140,2,0.2
141,4,0.4
142,4,0.4
143,8,0.8
144,0,0.0
145,4,0.4
146,5,0.5
147,4,0.4
148,7,0.7
149,5,0.5
150,6,0.6
151,7,0.7
152,2,0.2
153,3,0.3
154,4,0.4
155,2,0.2
156,3,0.3
157,2,0.2
158,0,0.0
159,7,0.7
160,9,0.9
161,9,0.9
162,0,0.0
163,0,0.0
164,1,0.1
165,9,0.9
166,10,1.0
167,6,0.6
168,6,0.6
169,5,0.5
170,2,0.2
171,3,0.3
172,2,0.2
173,1,0.1
174,1,0.1
175,0,0.0
176,3,0.3
177,6,0.6
178,6,0.6
179,3,0.3
180,2,0.2
181,3,0.3
182,0,0.0
183,3,0.3
184,0,0.0
185,2,0.2
186,6,0.6
187,19,1.9
188,4,0.4
189,0,0.0
190,0,0.0
191,4,0.4
192,4,0.4
193,3,0.3
194,1,0.1
195,0,0.0
196,1,0.1
197,13,1.3
198,17,1.7
199,1,0.1
200,2,0.2
201,4,0.4
202,2,0.2
203,3,0.3
204,3,0.3
205,2,0.2
206,6,0.6
207,9,0.9
208,1,0.1
209,5,0.5
210,3,0.3
211,8,0.8
212,3,0.3
213,6,0.6
214,0,0.0
215,2,0.2
216,2,0.2
217,4,0.4
218,2,0.2
219,1,0.1
220,1,0.1
221,0,0.0
222,0,0.0
223,1,0.1
224,3,0.3
225,0,0.0
226,0,0.0
227,0,0.0
228,0,0.0
229,4,0.4
230,2,0.2
231,1,0.1
232,1,0.1
233,1,0.1
234,1,0.1
235,0,0.0
236,1,0.1
237,1,0.1
238,2,0.2
239,0,0.0
240,0,0.0
241,0,0.0
242,8,0.8
243,3,0.3
244,0,0.0
245,1,0.1
246,5,0.5
247,2,0.2
