units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,389.8037,7.4267,7426.6999
1,391.4460,9.0690,9068.9999
1,394.9104,12.5334,12533.3999
1,480.1910,97.8140,97813.9999
1,523.8948,141.5178,141517.7999
1,535.2985,152.9215,152921.4999
1,553.2992,170.9222,170922.1999
1,622.5401,240.1631,240163.0999
1,917.4557,535.0787,535078.6999
1,923.0014,540.6244,540624.3999
1,925.1144,542.7374,542737.3999
1,932.0129,549.6359,549635.8999
1,934.7152,552.3382,552338.1999
1,938.6873,556.3103,556310.2999
1,1007.9235,625.5465,625546.4999
1,1019.4794,637.1024,637102.3999
1,1020.0686,637.6916,637691.5999
1,1046.4232,664.0462,664046.1999
1,1052.5980,670.2210,670220.9999
1,1052.7522,670.3752,670375.1999
1,1075.7321,693.3551,693355.0999
1,1083.4359,701.0589,701058.8999
1,1083.5294,701.1524,701152.3999
1,1083.5951,701.2181,701218.0999
1,1084.4903,702.1133,702113.2999
1,1111.3572,728.9802,728980.1999
1,1114.6496,732.2726,732272.5999
1,1117.6064,735.2294,735229.3999
1,1117.6087,735.2317,735231.6999
1,1118.1467,735.7697,735769.6999
1,1119.4816,737.1046,737104.5999
1,1119.7195,737.3425,737342.4999
1,1120.7321,738.3551,738355.0999
1,1121.1459,738.7689,738768.8999
1,1135.9525,753.5755,753575.4999
1,1136.2012,753.8242,753824.1999
1,1136.6839,754.3069,754306.8999
1,1139.8159,757.4389,757438.8999
1,1140.1017,757.7247,757724.6999
1,1144.8019,762.4249,762424.8999
1,1148.7367,766.3597,766359.6999
1,1155.9775,773.6005,773600.4999
1,1161.0796,778.7026,778702.5999
1,1168.9483,786.5713,786571.2999
1,1170.3914,788.0144,788014.3999
1,1182.4424,800.0654,800065.3999
1,1182.7199,800.3429,800342.8999
1,1189.8294,807.4524,807452.3999
1,1192.0109,809.6339,809633.8999
1,1192.8312,810.4542,810454.1999
1,1192.8592,810.4822,810482.1999
1,1192.8863,810.5093,810509.2999
1,1194.6874,812.3104,812310.3999
1,1202.9437,820.5667,820566.6999
1,1206.2144,823.8374,823837.3999
1,1206.6971,824.3201,824320.0999
1,1206.7822,824.4052,824405.1999
1,1206.7868,824.4098,824409.7999
1,1207.7331,825.3561,825356.0999
1,1209.2124,826.8354,826835.3999
1,1226.1701,843.7931,843793.0999
1,1226.4158,844.0388,844038.7999
1,1229.4770,847.1000,847099.9999
1,1245.2902,862.9132,862913.1999
1,1245.7226,863.3456,863345.5999
1,1246.3695,863.9925,863992.4999
