units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,398.1586,15.7816,15781.5999
1,407.8921,25.5151,25515.0999
1,410.5177,28.1407,28140.6999
1,435.7606,53.3836,53383.5999
1,436.0727,53.6957,53695.6999
1,436.2504,53.8734,53873.3999
1,436.4339,54.0569,54056.8999
1,438.5798,56.2028,56202.7999
1,439.1419,56.7649,56764.8999
1,439.2066,56.8296,56829.5999
1,439.3319,56.9549,56954.8999
1,439.3629,56.9859,56985.8999
1,439.3776,57.0006,57000.5999
1,439.4528,57.0758,57075.7999
1,439.4966,57.1196,57119.5999
1,440.6629,58.2859,58285.8999
1,440.9261,58.5491,58549.0999
1,452.9888,70.6118,70611.7999
1,453.1611,70.7841,70784.0999
1,453.3139,70.9369,70936.8999
1,453.3381,70.9611,70961.0999
1,464.4119,82.0349,82034.8999
1,476.7647,94.3877,94387.6999
1,482.5169,100.1399,100139.8999
1,494.9113,112.5343,112534.2999
1,497.2932,114.9162,114916.1999
1,515.0404,132.6634,132663.3999
1,518.5264,136.1494,136149.3999
1,522.5745,140.1975,140197.4999
1,535.5484,153.1714,153171.3999
1,535.7122,153.3352,153335.1999
1,536.0419,153.6649,153664.8999
1,559.8212,177.4442,177444.1999
1,560.0011,177.6241,177624.0999
1,627.4521,245.0751,245075.0999
1,920.7487,538.3717,538371.6999
1,922.3448,539.9678,539967.7999
1,930.7011,548.3241,548324.0999
1,940.5931,558.2161,558216.0999
1,986.5217,604.1447,604144.6999
1,1010.2002,627.8232,627823.1999
1,1019.9551,637.5781,637578.0999
1,1021.7005,639.3235,639323.4999
1,1022.3441,639.9671,639967.0999
1,1022.8690,640.4920,640491.9999
1,1028.7819,646.4049,646404.8999
1,1036.6328,654.2558,654255.7999
1,1083.3653,700.9883,700988.2999
1,1083.5139,701.1369,701136.8999
1,1083.7739,701.3969,701396.8999
1,1084.0396,701.6626,701662.5999
1,1085.3449,702.9679,702967.8999
1,1085.4065,703.0295,703029.4999
1,1195.0685,812.6915,812691.4999
1,1195.1832,812.8062,812806.1999
1,1217.5646,835.1876,835187.5999
1,1217.5964,835.2194,835219.3999
1,1217.6142,835.2372,835237.1999
1,1218.0412,835.6642,835664.1999
1,1219.7874,837.4104,837410.3999
1,1228.3696,845.9926,845992.5999
1,1252.4362,870.0592,870059.1999
1,1285.8842,903.5072,903507.1999
1,1307.7457,925.3687,925368.6999
1,1317.0258,934.6488,934648.7999
