units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,399.2238,16.8468,16846.7999
2,430.2722,47.8952,47895.1999
2,442.4986,60.1216,60121.5999
2,483.7398,101.3628,101362.7999
2,484.7221,102.3451,102345.0999
2,506.5701,124.1931,124193.0999
2,567.2111,184.8341,184834.0999
2,569.4536,187.0766,187076.5999
2,625.3341,242.9571,242957.0999
2,923.0441,540.6671,540667.0999
2,954.0874,571.7104,571710.3999
2,957.6381,575.2611,575261.0999
2,957.8877,575.5107,575510.6999
2,958.4624,576.0854,576085.3999
2,959.0967,576.7197,576719.6999
2,971.6984,589.3214,589321.3999
2,973.1265,590.7495,590749.4999
2,974.1005,591.7235,591723.4999
2,974.1280,591.7510,591750.9999
2,974.1757,591.7987,591798.6999
2,974.2760,591.8990,591898.9999
2,974.3155,591.9385,591938.4999
2,984.3013,601.9243,601924.2999
2,1014.2685,631.8915,631891.4999
2,1018.8500,636.4730,636472.9999
2,1019.9802,637.6032,637603.1999
2,1020.5673,638.1903,638190.2999
2,1020.9811,638.6041,638604.0999
2,1021.1941,638.8171,638817.0999
2,1052.7809,670.4039,670403.8999
2,1055.7097,673.3327,673332.6999
2,1084.2115,701.8345,701834.4999
2,1090.1055,707.7285,707728.4999
2,1092.0213,709.6443,709644.2999
2,1093.8235,711.4465,711446.4999
2,1094.4045,712.0275,712027.4999
2,1119.4894,737.1124,737112.3999
2,1119.8646,737.4876,737487.5999
2,1120.6983,738.3213,738321.2999
2,1121.2539,738.8769,738876.8999
2,1121.3361,738.9591,738959.0999
2,1136.6677,754.2907,754290.6999
2,1140.7054,758.3284,758328.3999
2,1140.8977,758.5207,758520.6999
2,1142.9776,760.6006,760600.5999
2,1143.7085,761.3315,761331.4999
2,1144.0061,761.6291,761629.0999
2,1147.0728,764.6958,764695.7999
2,1147.9808,765.6038,765603.7999
2,1150.6485,768.2715,768271.4999
2,1162.8545,780.4775,780477.4999
2,1163.3581,780.9811,780981.0999
2,1165.4051,783.0281,783028.0999
2,1202.9112,820.5342,820534.1999
2,1203.2064,820.8294,820829.3999
2,1204.2713,821.8943,821894.2999
2,1204.7501,822.3731,822373.0999
2,1204.7967,822.4197,822419.6999
2,1204.8917,822.5147,822514.6999
2,1208.4610,826.0840,826083.9999
2,1210.6846,828.3076,828307.5999
2,1226.6538,844.2768,844276.7999
2,1226.7455,844.3685,844368.4999
2,1226.7976,844.4206,844420.5999
2,1245.3852,863.0082,863008.1999
2,1248.6856,866.3086,866308.5999
2,1250.4760,868.0990,868098.9999
2,1250.8508,868.4738,868473.7999
2,1252.3014,869.9244,869924.3999
2,1261.9819,879.6049,879604.8999
2,1280.0472,897.6702,897670.1999
2,1280.8302,898.4532,898453.1999
2,1281.5526,899.1756,899175.5999
2,1284.7337,902.3567,902356.6999
2,1285.3685,902.9915,902991.4999
2,1293.0242,910.6472,910647.1999
2,1377.0562,994.6792,994679.1999
2,1377.5502,995.1732,995173.1999
2,1396.9930,1014.6160,1014615.9999
2,1397.1369,1014.7599,1014759.8999
2,1409.9778,1027.6008,1027600.7999
2,1437.9916,1055.6146,1055614.5999
2,1475.2024,1092.8254,1092825.3999
2,1475.2443,1092.8673,1092867.2999
2,1475.8012,1093.4242,1093424.1999
2,1475.8447,1093.4677,1093467.6999
2,1543.0795,1160.7025,1160702.4999
2,1543.4986,1161.1216,1161121.5999
2,1552.8945,1170.5175,1170517.4999
2,1554.2677,1171.8907,1171890.6999
2,1575.4254,1193.0484,1193048.3999
2,1576.0196,1193.6426,1193642.5999
2,1579.5078,1197.1308,1197130.7999
2,1579.5944,1197.2174,1197217.3999
2,1593.0444,1210.6674,1210667.3999
2,1594.7532,1212.3762,1212376.1999
2,1595.5942,1213.2172,1213217.1999
2,1619.8138,1237.4368,1237436.7999
2,1631.6002,1249.2232,1249223.1999
2,1632.2636,1249.8866,1249886.5999
2,1632.3018,1249.9248,1249924.7999
2,1660.8592,1278.4822,1278482.1999
2,1661.5254,1279.1484,1279148.3999
2,1661.8763,1279.4993,1279499.2999
2,1691.4336,1309.0566,1309056.5999
2,1729.5725,1347.1955,1347195.4999
2,1762.1610,1379.7840,1379783.9999
2,1763.4574,1381.0804,1381080.3999
2,1763.4609,1381.0839,1381083.8999
2,1814.9468,1432.5698,1432569.7999
2,1815.1672,1432.7902,1432790.1999
2,1815.6047,1433.2277,1433227.6999
2,1851.3730,1468.9960,1468995.9999
2,1851.3763,1468.9993,1468999.2999
2,1852.7922,1470.4152,1470415.1999
2,1866.0684,1483.6914,1483691.3999
2,1866.9845,1484.6075,1484607.4999
2,1911.2809,1528.9039,1528903.8999
2,1931.2724,1548.8954,1548895.3999
2,1932.0427,1549.6657,1549665.6999
2,1936.2025,1553.8255,1553825.4999
2,1951.3712,1568.9942,1568994.1999
2,1951.3844,1569.0074,1569007.3999
2,1978.0579,1595.6809,1595680.8999
2,1979.1348,1596.7578,1596757.7999
2,2022.2130,1639.8360,1639835.9999
2,2022.2175,1639.8405,1639840.4999
2,2039.8349,1657.4579,1657457.8999
2,2041.7952,1659.4182,1659418.1999
2,2046.9535,1664.5765,1664576.4999
2,2053.2234,1670.8464,1670846.3999
2,2054.6894,1672.3124,1672312.3999
2,2054.7506,1672.3736,1672373.5999
2,2055.3108,1672.9338,1672933.7999
2,2064.2934,1681.9164,1681916.3999
2,2064.4297,1682.0527,1682052.6999
2,2097.6209,1715.2439,1715243.8999
2,2122.8978,1740.5208,1740520.7999
2,2124.2707,1741.8937,1741893.6999
2,2152.5883,1770.2113,1770211.2999
2,2164.0680,1781.6910,1781690.9999
2,2184.2521,1801.8751,1801875.0999
2,2218.6047,1836.2277,1836227.6999
2,2219.5445,1837.1675,1837167.4999
2,2232.6355,1850.2585,1850258.4999
2,2232.9887,1850.6117,1850611.6999
2,2235.0377,1852.6607,1852660.6999
2,2239.0429,1856.6659,1856665.8999
2,2247.9732,1865.5962,1865596.1999
2,2249.6788,1867.3018,1867301.7999
2,2268.8698,1886.4928,1886492.7999
2,2321.1385,1938.7615,1938761.4999
2,2340.7922,1958.4152,1958415.1999
2,2343.1808,1960.8038,1960803.7999
2,2351.8671,1969.4901,1969490.0999
2,2352.9062,1970.5292,1970529.1999
2,2353.6169,1971.2399,1971239.8999
2,2353.7874,1971.4104,1971410.3999
2,2362.1734,1979.7964,1979796.3999
2,2362.2266,1979.8496,1979849.5999
2,2362.2602,1979.8832,1979883.1999
2,2387.8224,2005.4454,2005445.3999
2,2388.0847,2005.7077,2005707.6999
2,2388.0901,2005.7131,2005713.0999
2,2388.1014,2005.7244,2005724.3999
2,2388.1159,2005.7389,2005738.8999
2,2389.1899,2006.8129,2006812.8999
2,2389.7993,2007.4223,2007422.2999
2,2391.2663,2008.8893,2008889.2999
2,2391.5745,2009.1975,2009197.4999
2,2422.0572,2039.6802,2039680.1999
2,2422.5702,2040.1932,2040193.1999
2,2430.4920,2048.1150,2048114.9999
2,2430.9124,2048.5354,2048535.3999
2,2465.8687,2083.4917,2083491.6999
2,2469.2766,2086.8996,2086899.5999
2,2506.7646,2124.3876,2124387.5999
2,2509.9797,2127.6027,2127602.6999
2,2520.1506,2137.7736,2137773.5999
2,2522.0691,2139.6921,2139692.0999
2,2567.4881,2185.1111,2185111.0999
2,2582.7686,2200.3916,2200391.5999
2,2628.9321,2246.5551,2246555.0999
2,2630.0264,2247.6494,2247649.3999
2,2706.4882,2324.1112,2324111.1999
2,2730.0777,2347.7007,2347700.6999
2,2754.8995,2372.5225,2372522.4999
2,2754.9904,2372.6134,2372613.3999
