units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,382.3814,0.0044,4.3999
1,382.7966,0.4196,419.5999
1,382.8172,0.4402,440.1999
1,382.9485,0.5715,571.4999
1,382.9798,0.6028,602.7999
1,383.1420,0.7650,764.9999
1,383.1862,0.8092,809.1999
1,384.1121,1.7351,1735.0999
1,384.1440,1.7670,1766.9999
1,384.5443,2.1673,2167.2999
1,384.6103,2.2333,2233.2999
1,384.8309,2.4539,2453.8999
1,385.3839,3.0069,3006.8999
1,385.6112,3.2342,3234.1999
1,385.6533,3.2763,3276.2999
1,385.7093,3.3323,3332.2999
1,386.2484,3.8714,3871.3999
1,386.7117,4.3347,4334.6999
1,387.0005,4.6235,4623.4999
1,387.0581,4.6811,4681.0999
1,387.0656,4.6886,4688.5999
1,387.6911,5.3141,5314.0999
1,389.5353,7.1583,7158.2999
1,391.8154,9.4384,9438.3999
1,392.1672,9.7902,9790.1999
1,392.1729,9.7959,9795.8999
1,392.2653,9.8883,9888.2999
1,392.2907,9.9137,9913.6999
1,392.3157,9.9387,9938.6999
1,392.4236,10.0466,10046.5999
1,392.4447,10.0677,10067.6999
1,392.4727,10.0957,10095.6999
1,392.7101,10.3331,10333.0999
1,392.7743,10.3973,10397.2999
1,392.8390,10.4620,10461.9999
1,393.0837,10.7067,10706.6999
1,393.2617,10.8847,10884.6999
1,393.6134,11.2364,11236.3999
1,393.6530,11.2760,11275.9999
1,395.2960,12.9190,12918.9999
1,395.3346,12.9576,12957.5999
1,395.4190,13.0420,13041.9999
1,395.4560,13.0790,13078.9999
1,396.0360,13.6590,13658.9999
1,396.0566,13.6796,13679.5999
1,396.2615,13.8845,13884.4999
1,396.4517,14.0747,14074.6999
1,396.4818,14.1048,14104.7999
1,396.6087,14.2317,14231.6999
1,396.6711,14.2941,14294.0999
1,397.4022,15.0252,15025.1999
1,397.4428,15.0658,15065.7999
1,397.7023,15.3253,15325.2999
1,397.9279,15.5509,15550.8999
1,398.6814,16.3044,16304.3999
1,398.7252,16.3482,16348.1999
1,398.8074,16.4304,16430.3999
1,399.5067,17.1297,17129.6999
1,399.6757,17.2987,17298.6999
1,399.9821,17.6051,17605.0999
1,400.5054,18.1284,18128.3999
1,400.5564,18.1794,18179.3999
1,400.9410,18.5640,18563.9999
1,401.4054,19.0284,19028.3999
1,401.6264,19.2494,19249.3999
1,403.8712,21.4942,21494.1999
1,403.9974,21.6204,21620.3999
1,404.3419,21.9649,21964.8999
1,404.6464,22.2694,22269.3999
1,404.9131,22.5361,22536.0999
1,404.9547,22.5777,22577.6999
1,405.0024,22.6254,22625.3999
1,405.1208,22.7438,22743.7999
1,405.1343,22.7573,22757.2999
1,405.4735,23.0965,23096.4999
1,405.7734,23.3964,23396.3999
1,405.9486,23.5716,23571.5999
1,406.4935,24.1165,24116.4999
1,406.6826,24.3056,24305.5999
1,406.6938,24.3168,24316.7999
1,406.8010,24.4240,24423.9999
1,406.8718,24.4948,24494.7999
1,406.8811,24.5041,24504.0999
1,406.8900,24.5130,24512.9999
1,407.0538,24.6768,24676.7999
1,407.2375,24.8605,24860.4999
1,407.3313,24.9543,24954.2999
1,407.3571,24.9801,24980.0999
1,407.5537,25.1767,25176.6999
1,408.4451,26.0681,26068.0999
1,408.4995,26.1225,26122.4999
1,409.2483,26.8713,26871.2999
1,409.3174,26.9404,26940.3999
1,409.4346,27.0576,27057.5999
