units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,1796.8370,1414.4600,1414459.9999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,576.9999,0.5770
2,1796.8981,1414.5211,1414521.0999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,638.0999,0.6381
2,1796.9246,1414.5476,1414547.5999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,664.5999,0.6646
2,1796.9674,1414.5904,1414590.3999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,707.3999,0.7074
2,1797.0493,1414.6723,1414672.2999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,789.2999,0.7893
2,1797.0729,1414.6959,1414695.8999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,812.8999,0.8129
2,1797.1120,1414.7350,1414734.9999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,851.9999,0.8520
2,1797.3105,1414.9335,1414933.4999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,1050.4999,1.0505
2,1797.4775,1415.1005,1415100.4999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,1217.4999,1.2175
2,1797.5305,1415.1535,1415153.4999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,1270.4999,1.2705
2,1797.5703,1415.1933,1415193.2999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,1310.2999,1.3103
2,1797.5764,1415.1994,1415199.3999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,1316.3999,1.3164
2,1797.6158,1415.2388,1415238.7999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,1355.7999,1.3558
2,1797.6215,1415.2445,1415244.4999,1,1.0-1413883-1415622,560.0000,1.0000,1,1,True,1413883.0000,1415622.0000,1361.4999,1.3615
2,521.8823,139.5053,139505.2999,3,1.0-139466-140596,83.0000,1.0000,1,3,True,139466.0000,140596.0000,39.2999,0.0393
2,522.3759,139.9989,139998.8999,3,1.0-139466-140596,83.0000,1.0000,1,3,True,139466.0000,140596.0000,532.8999,0.5329
2,522.4214,140.0444,140044.3999,3,1.0-139466-140596,83.0000,1.0000,1,3,True,139466.0000,140596.0000,578.3999,0.5784
2,522.9372,140.5602,140560.1999,3,1.0-139466-140596,83.0000,1.0000,1,3,True,139466.0000,140596.0000,1094.1999,1.0942
2,971.8593,589.4823,589482.2999,6,1.0-586593-589493,290.0000,1.0000,1,6,True,586593.0000,589493.0000,2889.2999,2.8893
2,1883.9969,1501.6199,1501619.8999,7,1.0-1500399-1502859,600.0000,1.0000,1,7,True,1500399.0000,1502859.0000,1220.8999,1.2209
2,423.4742,41.0972,41097.1999,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,558.1999,0.5582
2,425.0553,42.6783,42678.2999,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,2139.2999,2.1393
2,425.1152,42.7382,42738.1999,8,1.0-40539-43049,22.0000,1.0000,1,8,True,40539.0000,43049.0000,2199.1999,2.1992
2,593.7468,211.3698,211369.7999,10,1.0-209934-212134,126.0000,1.0000,1,10,True,209934.0000,212134.0000,1435.7999,1.4358
2,2433.9830,2051.6060,2051605.9999,12,1.0-2051191-2052121,852.0000,1.0000,1,12,True,2051191.0000,2052121.0000,414.9999,0.4150
2,420.0550,37.6780,37677.9999,15,1.0-37569-38659,19.0000,1.0000,1,15,True,37569.0000,38659.0000,108.9999,0.1090
2,420.1570,37.7800,37779.9999,15,1.0-37569-38659,19.0000,1.0000,1,15,True,37569.0000,38659.0000,210.9999,0.2110
2,420.7025,38.3255,38325.4999,15,1.0-37569-38659,19.0000,1.0000,1,15,True,37569.0000,38659.0000,756.4999,0.7565
2,420.7090,38.3320,38331.9999,15,1.0-37569-38659,19.0000,1.0000,1,15,True,37569.0000,38659.0000,762.9999,0.7630
2,420.7176,38.3406,38340.5999,15,1.0-37569-38659,19.0000,1.0000,1,15,True,37569.0000,38659.0000,771.5999,0.7716
2,420.9748,38.5978,38597.7999,15,1.0-37569-38659,19.0000,1.0000,1,15,True,37569.0000,38659.0000,1028.7999,1.0288
2,2280.2989,1897.9219,1897921.8999,16,1.0-1895843-1898083,799.0000,1.0000,0,70,True,1895843.0000,1898083.0000,2078.8999,2.0789
2,999.4707,617.0937,617093.6999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,705.6999,0.7057
2,999.4773,617.1003,617100.2999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,712.2999,0.7123
2,1000.1739,617.7969,617796.8999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,1408.8999,1.4089
2,1000.2365,617.8595,617859.4999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,1471.4999,1.4715
2,1000.9839,618.6069,618606.8999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,2218.8999,2.2189
2,1001.5663,619.1893,619189.2999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,2801.2999,2.8013
2,1001.6255,619.2485,619248.4999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,2860.4999,2.8605
2,1001.9796,619.6026,619602.5999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,3214.5999,3.2146
2,1002.6560,620.2790,620278.9999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,3890.9999,3.8910
2,1003.0773,620.7003,620700.2999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,4312.2999,4.3123
2,1003.4738,621.0968,621096.7999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,4708.7999,4.7088
2,1003.4930,621.1160,621115.9999,17,1.0-616388-621398,300.0000,1.0000,1,16,True,616388.0000,621398.0000,4727.9999,4.7280
2,2464.0927,2081.7157,2081715.6999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,1096.6999,1.0967
2,2464.3024,2081.9254,2081925.3999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,1306.3999,1.3064
2,2464.3662,2081.9892,2081989.1999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,1370.1999,1.3702
2,2464.4393,2082.0623,2082062.2999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,1443.2999,1.4433
2,2464.5193,2082.1423,2082142.2999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,1523.2999,1.5233
2,2464.8181,2082.4411,2082441.0999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,1822.0999,1.8221
2,2464.9734,2082.5964,2082596.3999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,1977.3999,1.9774
2,2465.1177,2082.7407,2082740.6999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,2121.6999,2.1217
2,2465.1732,2082.7962,2082796.1999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,2177.1999,2.1772
2,2465.1817,2082.8047,2082804.6999,18,1.0-2080619-2082809,867.0000,1.0000,1,17,True,2080619.0000,2082809.0000,2185.6999,2.1857
2,2254.3914,1872.0144,1872014.3999,19,1.0-1871219-1873359,783.0000,1.0000,1,18,True,1871219.0000,1873359.0000,795.3999,0.7954
2,2255.2765,1872.8995,1872899.4999,19,1.0-1871219-1873359,783.0000,1.0000,1,18,True,1871219.0000,1873359.0000,1680.4999,1.6805
2,2255.2829,1872.9059,1872905.8999,19,1.0-1871219-1873359,783.0000,1.0000,1,18,True,1871219.0000,1873359.0000,1686.8999,1.6869
2,1939.5077,1557.1307,1557130.6999,20,1.0-1556786-1561786,634.0000,1.0000,1,19,True,1556786.0000,1561786.0000,344.6999,0.3447
2,1939.6513,1557.2743,1557274.2999,20,1.0-1556786-1561786,634.0000,1.0000,1,19,True,1556786.0000,1561786.0000,488.2999,0.4883
2,1939.6586,1557.2816,1557281.5999,20,1.0-1556786-1561786,634.0000,1.0000,1,19,True,1556786.0000,1561786.0000,495.5999,0.4956
