units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2279.3667,1896.9897,1896989.6999,16,1.0-1895843-1898083,799.0000,1.0000,0,70,True,1895843.0000,1898083.0000,1146.6999,1.1467
1,2550.0279,2167.6509,2167650.8999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,2116.8999,2.1169
1,2550.0359,2167.6589,2167658.8999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,2124.8999,2.1249
1,2550.2971,2167.9201,2167920.0999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,2386.0999,2.3861
1,2550.3830,2168.0060,2168005.9999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,2471.9999,2.4720
1,2550.4006,2168.0236,2168023.5999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,2489.5999,2.4896
1,2550.7303,2168.3533,2168353.2999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,2819.2999,2.8193
1,2551.7978,2169.4208,2169420.7999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,3886.7999,3.8868
1,2551.8536,2169.4766,2169476.5999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,3942.5999,3.9426
1,2551.9486,2169.5716,2169571.5999,41,1.0-2165534-2170523,898.0000,1.0000,1,39,True,2165534.0000,2170523.0000,4037.5999,4.0376
1,2157.9831,1775.6061,1775606.0999,67,1.0-1775595-1776375,733.0000,1.0000,1,62,True,1775595.0000,1776375.0000,11.0999,0.0111
1,2158.4257,1776.0487,1776048.6999,67,1.0-1775595-1776375,733.0000,1.0000,1,62,True,1775595.0000,1776375.0000,453.6999,0.4537
1,2388.0907,2005.7137,2005713.6999,75,1.0-2005414-2006824,833.0000,1.0000,1,69,True,2005414.0000,2006824.0000,299.6999,0.2997
