units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2421.2167,2038.8397,2038839.6999,36,1.0-2036711-2039450,848.0000,1.0000,1,34,True,2036711.0000,2039450.0000,2128.6999,2.1287
1,1903.8391,1521.4621,1521462.0999,37,1.0-1520751-1522391,612.0000,1.0000,1,35,True,1520751.0000,1522391.0000,711.0999,0.7111
1,1904.4515,1522.0745,1522074.4999,37,1.0-1520751-1522391,612.0000,1.0000,1,35,True,1520751.0000,1522391.0000,1323.4999,1.3235
1,1904.5028,1522.1258,1522125.7999,37,1.0-1520751-1522391,612.0000,1.0000,1,35,True,1520751.0000,1522391.0000,1374.7999,1.3748
1,569.4501,187.0731,187073.0999,52,1.0-184243-187132,109.0000,1.0000,1,49,True,184243.0000,187132.0000,2830.0999,2.8301
1,1903.8391,1521.4621,1521462.0999,53,1.0-1520751-1525761,612.0000,1.0000,1,50,True,1520751.0000,1525761.0000,711.0999,0.7111
1,1904.4515,1522.0745,1522074.4999,53,1.0-1520751-1525761,612.0000,1.0000,1,50,True,1520751.0000,1525761.0000,1323.4999,1.3235
1,1904.5028,1522.1258,1522125.7999,53,1.0-1520751-1525761,612.0000,1.0000,1,50,True,1520751.0000,1525761.0000,1374.7999,1.3748
1,2218.0552,1835.6782,1835678.1999,64,1.0-1833884-1838883,758.0000,1.0000,1,59,True,1833884.0000,1838883.0000,1794.1999,1.7942
1,1292.9894,910.6124,910612.3999,70,1.0-909168-910668,394.0000,1.0000,1,64,True,909168.0000,910668.0000,1444.3999,1.4444
