bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,1,0.1
2,1,0.1
3,1,0.1
4,0,0.0
5,1,0.1
6,1,0.1
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,6,0.6
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,2,0.2
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,3,0.3
54,5,0.5
55,0,0.0
56,0,0.0
57,2,0.2
58,1,0.1
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,6,0.6
64,0,0.0
65,0,0.0
66,0,0.0
67,2,0.2
68,1,0.1
69,0,0.0
70,2,0.2
71,2,0.2
72,0,0.0
73,6,0.6
74,0,0.0
75,1,0.1
76,4,0.4
77,0,0.0
78,1,0.1
79,0,0.0
80,0,0.0
81,1,0.1
82,10,1.0
83,1,0.1
84,3,0.3
85,0,0.0
86,16,1.6
87,2,0.2
88,1,0.1
89,2,0.2
90,1,0.1
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,2,0.2
97,1,0.1
98,0,0.0
99,3,0.3
100,1,0.1
101,1,0.1
102,0,0.0
103,0,0.0
104,1,0.1
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,1,0.1
112,0,0.0
113,2,0.2
114,0,0.0
115,1,0.1
116,0,0.0
117,0,0.0
118,0,0.0
119,3,0.3
120,2,0.2
121,0,0.0
122,0,0.0
123,0,0.0
124,1,0.1
125,1,0.1
126,0,0.0
127,7,0.7
128,0,0.0
129,5,0.5
130,6,0.6
131,0,0.0
132,0,0.0
133,0,0.0
134,1,0.1
135,0,0.0
136,1,0.1
137,1,0.1
138,0,0.0
139,1,0.1
140,0,0.0
141,0,0.0
142,0,0.0
143,3,0.3
144,0,0.0
145,1,0.1
146,3,0.3
147,1,0.1
148,2,0.2
149,0,0.0
150,0,0.0
151,0,0.0
152,3,0.3
153,1,0.1
154,2,0.2
155,0,0.0
156,0,0.0
157,0,0.0
158,1,0.1
159,2,0.2
160,0,0.0
161,1,0.1
162,6,0.6
163,1,0.1
164,0,0.0
165,3,0.3
166,0,0.0
167,2,0.2
168,1,0.1
169,0,0.0
170,1,0.1
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,1,0.1
177,0,0.0
178,0,0.0
179,1,0.1
180,1,0.1
181,0,0.0
182,0,0.0
183,3,0.3
184,1,0.1
185,2,0.2
186,1,0.1
187,1,0.1
188,2,0.2
189,0,0.0
190,0,0.0
191,0,0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,0,0.0
196,0,0.0
197,2,0.2
198,0,0.0
199,0,0.0
200,5,0.5
201,0,0.0
202,0,0.0
203,0,0.0
204,1,0.1
205,0,0.0
206,0,0.0
207,1,0.1
208,4,0.4
209,1,0.1
210,0,0.0
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,0.0
219,6,0.6
220,0,0.0
221,0,0.0
222,0,0.0
223,1,0.1
224,0,0.0
225,0,0.0
226,0,0.0
227,0,0.0
228,1,0.1
229,1,0.1
230,0,0.0
231,0,0.0
232,1,0.1
233,0,0.0
234,0,0.0
235,1,0.1
236,2,0.2
237,0,0.0
238,1,0.1
239,0,0.0
240,0,0.0
241,1,0.1
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,1,0.1
