bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,1,0.1
2,2,0.2
3,0,0.0
4,0,0.0
5,14,1.4
6,0,0.0
7,4,0.4
8,1,0.1
9,1,0.1
10,1,0.1
11,2,0.2
12,0,0.0
13,2,0.2
14,1,0.1
15,3,0.3
16,0,0.0
17,2,0.2
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,1,0.1
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,2,0.2
54,1,0.1
55,1,0.1
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,1,0.1
61,0,0.0
62,1,0.1
63,3,0.3
64,2,0.2
65,1,0.1
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,6,0.6
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,2,0.2
82,0,0.0
83,5,0.5
84,1,0.1
85,0,0.0
86,0,0.0
87,1,0.1
88,0,0.0
89,0,0.0
90,1,0.1
91,0,0.0
92,1,0.1
93,1,0.1
94,0,0.0
95,1,0.1
96,2,0.2
97,0,0.0
98,3,0.3
99,0,0.0
100,1,0.1
101,1,0.1
102,0,0.0
103,3,0.3
104,1,0.1
105,7,0.7
106,4,0.4
107,3,0.3
108,1,0.1
109,4,0.4
110,4,0.4
111,0,0.0
112,1,0.1
113,0,0.0
114,0,0.0
115,5,0.5
116,0,0.0
117,1,0.1
118,1,0.1
119,3,0.3
120,0,0.0
121,4,0.4
122,6,0.6
123,2,0.2
124,1,0.1
125,2,0.2
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,6,0.6
133,0,0.0
134,2,0.2
135,1,0.1
136,4,0.4
137,3,0.3
138,2,0.2
139,1,0.1
140,7,0.7
141,4,0.4
142,1,0.1
143,0,0.0
144,1,0.1
145,0,0.0
146,2,0.2
147,2,0.2
148,2,0.2
149,1,0.1
150,0,0.0
151,0,0.0
152,0,0.0
153,1,0.1
154,2,0.2
155,0,0.0
156,0,0.0
157,2,0.2
158,0,0.0
159,1,0.1
160,0,0.0
161,0,0.0
162,6,0.6
163,1,0.1
164,1,0.1
165,1,0.1
166,0,0.0
167,1,0.1
168,1,0.1
169,2,0.2
170,1,0.1
171,0,0.0
172,0,0.0
173,7,0.7
174,12,1.2
175,1,0.1
176,5,0.5
177,15,1.5
178,5,0.5
179,2,0.2
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,0,0.0
185,6,0.6
186,5,0.5
187,0,0.0
188,0,0.0
189,3,0.3
190,27,2.7
191,4,0.4
192,1,0.1
193,2,0.2
194,1,0.1
195,1,0.1
196,0,0.0
197,3,0.3
198,5,0.5
199,8,0.8
200,3,0.3
201,9,0.9
202,2,0.2
203,3,0.3
204,1,0.1
205,1,0.1
206,1,0.1
207,2,0.2
208,5,0.5
209,1,0.1
210,1,0.1
211,1,0.1
212,0,0.0
213,3,0.3
214,1,0.1
215,1,0.1
216,6,0.6
217,0,0.0
218,2,0.2
219,6,0.6
220,1,0.1
221,1,0.1
222,2,0.2
223,15,1.5
224,2,0.2
225,13,1.3
226,1,0.1
227,5,0.5
228,7,0.7
229,11,1.1
230,1,0.1
231,1,0.1
232,2,0.2
233,5,0.5
234,3,0.3
235,3,0.3
236,3,0.3
237,2,0.2
238,2,0.2
239,3,0.3
240,4,0.4
241,3,0.3
242,2,0.2
243,0,0.0
244,0,0.0
245,1,0.1
246,3,0.3
