bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,1,0.1
2,0,0.0
3,0,0.0
4,1,0.1
5,0,0.0
6,1,0.1
7,0,0.0
8,0,0.0
9,0,0.0
10,2,0.2
11,0,0.0
12,1,0.1
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,2,0.2
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,1,0.1
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,1,0.1
55,0,0.0
56,0,0.0
57,5,0.5
58,1,0.1
59,6,0.6
60,1,0.1
61,0,0.0
62,0,0.0
63,6,0.6
64,0,0.0
65,0,0.0
66,0,0.0
67,2,0.2
68,0,0.0
69,0,0.0
70,3,0.3
71,2,0.2
72,0,0.0
73,5,0.5
74,0,0.0
75,3,0.3
76,6,0.6
77,0,0.0
78,3,0.3
79,0,0.0
80,0,0.0
81,0,0.0
82,8,0.8
83,0,0.0
84,3,0.3
85,0,0.0
86,5,0.5
87,1,0.1
88,0,0.0
89,3,0.3
90,2,0.2
91,1,0.1
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,2,0.2
100,0,0.0
101,2,0.2
102,1,0.1
103,0,0.0
104,0,0.0
105,1,0.1
106,0,0.0
107,0,0.0
108,0,0.0
109,4,0.4
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,2,0.2
117,2,0.2
118,0,0.0
119,4,0.4
120,0,0.0
121,3,0.3
122,0,0.0
123,1,0.1
124,3,0.3
125,0,0.0
126,0,0.0
127,3,0.3
128,0,0.0
129,0,0.0
130,1,0.1
131,0,0.0
132,0,0.0
133,0,0.0
134,1,0.1
135,0,0.0
136,0,0.0
137,1,0.1
138,2,0.2
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,3,0.3
144,0,0.0
145,0,0.0
146,2,0.2
147,1,0.1
148,2,0.2
149,0,0.0
150,0,0.0
151,0,0.0
152,1,0.1
153,0,0.0
154,2,0.2
155,1,0.1
156,2,0.2
157,0,0.0
158,0,0.0
159,2,0.2
160,0,0.0
161,0,0.0
162,0,0.0
163,2,0.2
164,0,0.0
165,2,0.2
166,1,0.1
167,4,0.4
168,2,0.2
169,0,0.0
170,0,0.0
171,1,0.1
172,0,0.0
173,0,0.0
174,2,0.2
175,0,0.0
176,0,0.0
177,1,0.1
178,1,0.1
179,0,0.0
180,1,0.1
181,0,0.0
182,0,0.0
183,2,0.2
184,0,0.0
185,4,0.4
186,2,0.2
187,0,0.0
188,1,0.1
189,0,0.0
190,0,0.0
191,0,0.0
192,0,0.0
193,1,0.1
194,0,0.0
195,1,0.1
196,2,0.2
197,6,0.6
198,0,0.0
199,0,0.0
200,9,0.9
201,0,0.0
202,0,0.0
203,1,0.1
204,3,0.3
205,0,0.0
206,0,0.0
207,0,0.0
208,2,0.2
209,0,0.0
210,0,0.0
211,0,0.0
212,2,0.2
213,2,0.2
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,1,0.1
219,0,0.0
220,1,0.1
221,0,0.0
222,0,0.0
223,0,0.0
224,2,0.2
225,0,0.0
226,0,0.0
227,0,0.0
228,0,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,1,0.1
233,0,0.0
234,1,0.1
235,0,0.0
236,0,0.0
237,4,0.4
238,0,0.0
239,1,0.1
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,1,0.1
