bin_10s,spike_count,firing_rate_hz
0,73,7.3
1,39,3.9
2,99,9.9
3,92,9.2
4,81,8.1
5,69,6.9
6,72,7.2
7,63,6.3
8,93,9.3
9,66,6.6
10,65,6.5
11,81,8.1
12,79,7.9
13,26,2.6
14,97,9.7
15,34,3.4
16,60,6.0
17,58,5.8
18,94,9.4
19,85,8.5
20,77,7.7
21,79,7.9
22,85,8.5
23,63,6.3
24,31,3.1
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,24,2.4
53,76,7.6
54,50,5.0
55,52,5.2
56,63,6.3
57,37,3.7
58,52,5.2
59,43,4.3
60,71,7.1
61,90,9.0
62,66,6.6
63,53,5.3
64,60,6.0
65,61,6.1
66,80,8.0
67,70,7.0
68,53,5.3
69,46,4.6
70,53,5.3
71,61,6.1
72,46,4.6
73,72,7.2
74,34,3.4
75,47,4.7
76,45,4.5
77,73,7.3
78,61,6.1
79,33,3.3
80,63,6.3
81,38,3.8
82,62,6.2
83,62,6.2
84,73,7.3
85,44,4.4
86,46,4.6
87,58,5.8
88,40,4.0
89,39,3.9
90,34,3.4
91,45,4.5
92,63,6.3
93,51,5.1
94,48,4.8
95,51,5.1
96,49,4.9
97,62,6.2
98,56,5.6
99,55,5.5
100,57,5.7
101,53,5.3
102,52,5.2
103,35,3.5
104,49,4.9
105,55,5.5
106,54,5.4
107,31,3.1
108,39,3.9
109,52,5.2
110,33,3.3
111,68,6.8
112,56,5.6
113,40,4.0
114,53,5.3
115,49,4.9
116,54,5.4
117,60,6.0
118,57,5.7
119,38,3.8
120,36,3.6
121,38,3.8
122,85,8.5
123,77,7.7
124,68,6.8
125,38,3.8
126,51,5.1
127,78,7.8
128,40,4.0
129,48,4.8
130,34,3.4
131,45,4.5
132,45,4.5
133,60,6.0
134,62,6.2
135,62,6.2
136,47,4.7
137,40,4.0
138,55,5.5
139,38,3.8
140,42,4.2
141,50,5.0
142,55,5.5
143,40,4.0
144,49,4.9
145,39,3.9
146,60,6.0
147,40,4.0
148,54,5.4
149,48,4.8
150,29,2.9
151,51,5.1
152,45,4.5
153,50,5.0
154,37,3.7
155,53,5.3
156,50,5.0
157,63,6.3
158,50,5.0
159,42,4.2
160,73,7.3
161,42,4.2
162,55,5.5
163,38,3.8
164,49,4.9
165,45,4.5
166,35,3.5
167,52,5.2
168,67,6.7
169,71,7.1
170,59,5.9
171,55,5.5
172,47,4.7
173,69,6.9
174,55,5.5
175,69,6.9
176,76,7.6
177,39,3.9
178,65,6.5
179,41,4.1
180,42,4.2
181,39,3.9
182,52,5.2
183,60,6.0
184,39,3.9
185,60,6.0
186,45,4.5
187,51,5.1
188,65,6.5
189,63,6.3
190,60,6.0
191,59,5.9
192,45,4.5
193,58,5.8
194,37,3.7
195,46,4.6
196,54,5.4
197,50,5.0
198,46,4.6
199,45,4.5
200,59,5.9
201,56,5.6
202,39,3.9
203,59,5.9
204,26,2.6
205,33,3.3
206,48,4.8
207,37,3.7
208,50,5.0
209,31,3.1
210,51,5.1
211,36,3.6
212,22,2.2
213,40,4.0
214,41,4.1
215,51,5.1
216,59,5.9
217,56,5.6
218,49,4.9
219,41,4.1
220,52,5.2
221,59,5.9
222,79,7.9
223,45,4.5
224,43,4.3
225,36,3.6
226,54,5.4
227,59,5.9
228,55,5.5
229,39,3.9
230,56,5.6
231,44,4.4
232,38,3.8
233,35,3.5
234,57,5.7
235,44,4.4
236,50,5.0
237,67,6.7
238,63,6.3
239,44,4.4
240,36,3.6
241,68,6.8
242,56,5.6
243,71,7.1
244,46,4.6
245,30,3.0
246,44,4.4
247,5,0.5
