neuron_name,electrode_code,full_location,region_abbr
times_manual_GA1-LA1_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA1_unit_2,LA,Left-Amygdala,AMY
times_manual_GA1-LA1_unit_3,LA,Left-Amygdala,AMY
times_manual_GA1-LA2_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA3_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA3_unit_2,LA,Left-Amygdala,AMY
times_manual_GA1-LA3_unit_3,LA,Left-Amygdala,AMY
times_manual_GA1-LA4_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA5_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA5_unit_2,LA,Left-Amygdala,AMY
times_manual_GA1-LA6_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA6_unit_2,LA,Left-Amygdala,AMY
times_manual_GA1-LA6_unit_3,LA,Left-Amygdala,AMY
times_manual_GA1-LA7_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA7_unit_2,LA,Left-Amygdala,AMY
times_manual_GA1-LA7_unit_3,LA,Left-Amygdala,AMY
times_manual_GA1-LA7_unit_4,LA,Left-Amygdala,AMY
times_manual_GA1-LA8_unit_1,LA,Left-Amygdala,AMY
times_manual_GA1-LA8_unit_2,LA,Left-Amygdala,AMY
times_manual_GA1-LA8_unit_3,LA,Left-Amygdala,AMY
times_manual_GA2-LAH1_unit_1,LAH,Left-Hippocampus,HPC
times_manual_GA2-LAH1_unit_2,LAH,Left-Hippocampus,HPC
times_manual_GA2-LAH7_unit_1,LAH,Left-Hippocampus,HPC
times_manual_GA3-LPHG4_unit_1,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GA3-LPHG4_unit_2,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GA3-LPHG5_unit_1,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GA3-LPHG5_unit_2,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GA3-LPHG7_unit_1,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GA3-LPHG7_unit_2,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GA3-LPHG8_unit_1,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GA3-LPHG8_unit_2,LPHG,ctx-lh-parahippocampal,PHC
times_manual_GB1-RA7_unit_1,RA,ctx-rh-entorhinal,ERC
times_manual_GB1-RA7_unit_2,RA,ctx-rh-entorhinal,ERC
times_manual_GB2-RAH1_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH1_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH2_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH2_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH2_unit_3,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH3_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH4_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH4_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH5_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH5_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH6_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH6_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH7_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH7_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH8_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GB2-RAH8_unit_2,RAH,Right-Hippocampus,HPC
