units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,367.8562,3.7522,3752.1999
1,384.3660,20.2620,20261.9999
1,387.7483,23.6443,23644.2999
1,395.5661,31.4621,31462.0999
1,406.6796,42.5756,42575.5999
1,416.7210,52.6170,52616.9999
1,449.7930,85.6890,85688.9999
1,467.8560,103.7520,103751.9999
1,469.5811,105.4771,105477.0999
1,514.0678,149.9638,149963.7999
1,517.9028,153.7988,153798.7999
1,533.2859,169.1819,169181.8999
1,541.0451,176.9411,176941.0999
1,543.2771,179.1731,179173.0999
1,560.7645,196.6605,196660.4999
1,562.7302,198.6262,198626.1999
1,564.0186,199.9146,199914.5999
1,609.0200,244.9160,244915.9999
1,620.9493,256.8453,256845.2999
1,623.5275,259.4235,259423.4999
1,625.4849,261.3809,261380.8999
1,631.7310,267.6270,267626.9999
1,640.1226,276.0186,276018.5999
1,648.3265,284.2225,284222.4999
1,684.3545,320.2505,320250.4999
1,689.7541,325.6501,325650.0999
1,730.5617,366.4577,366457.6999
1,734.8659,370.7619,370761.8999
1,758.3393,394.2353,394235.2999
1,758.3588,394.2548,394254.7999
1,766.1165,402.0125,402012.4999
1,795.8443,431.7403,431740.2999
1,823.0335,458.9295,458929.4999
1,830.0432,465.9392,465939.1999
1,830.3593,466.2553,466255.2999
1,830.3860,466.2820,466281.9999
1,864.4857,500.3817,500381.6999
1,864.5041,500.4001,500400.0999
1,865.0357,500.9317,500931.6999
1,866.2330,502.1290,502128.9999
1,867.8520,503.7480,503747.9999
1,867.8714,503.7674,503767.3999
1,896.8514,532.7474,532747.3999
1,917.0211,552.9171,552917.0999
1,921.8081,557.7041,557704.0999
1,949.5847,585.4807,585480.6999
1,953.1893,589.0853,589085.2999
1,955.8108,591.7068,591706.7999
1,986.4572,622.3532,622353.1999
1,986.9237,622.8197,622819.6999
1,1026.6011,662.4971,662497.0999
1,1055.5514,691.4474,691447.3999
1,1063.2969,699.1929,699192.8999
1,1100.4418,736.3378,736337.7999
1,1109.0955,744.9915,744991.4999
1,1141.3641,777.2601,777260.0999
1,1142.0001,777.8961,777896.0999
1,1148.3074,784.2034,784203.3999
1,1148.6935,784.5895,784589.4999
1,1167.0290,802.9250,802924.9999
1,1177.1853,813.0813,813081.2999
1,1205.2204,841.1164,841116.3999
1,1205.6659,841.5619,841561.8999
1,1250.9659,886.8619,886861.8999
1,1251.1904,887.0864,887086.3999
1,1251.2082,887.1042,887104.1999
1,1274.7661,910.6621,910662.0999
1,1291.7259,927.6219,927621.8999
1,1315.6933,951.5893,951589.2999
1,1319.8263,955.7223,955722.2999
1,1331.0451,966.9411,966941.0999
1,1332.0549,967.9509,967950.8999
1,1345.0489,980.9449,980944.8999
1,1346.3908,982.2868,982286.7999
1,1358.2482,994.1442,994144.1999
1,1359.4663,995.3623,995362.2999
1,1362.4749,998.3709,998370.8999
1,1400.2346,1036.1306,1036130.5999
1,1401.3177,1037.2137,1037213.6999
1,1401.3521,1037.2481,1037248.0999
1,1407.7681,1043.6641,1043664.0999
1,1407.8718,1043.7678,1043767.7999
1,1408.5721,1044.4681,1044468.0999
