units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,389.1387,25.0347,25034.6999
1,392.6681,28.5641,28564.0999
1,427.8744,63.7704,63770.3999
1,441.6658,77.5618,77561.7999
1,497.4224,133.3184,133318.3999
1,517.3319,153.2279,153227.8999
1,519.6241,155.5201,155520.0999
1,522.5931,158.4891,158489.0999
1,570.3994,206.2954,206295.3999
1,571.1201,207.0161,207016.0999
1,571.1822,207.0782,207078.1999
1,580.1788,216.0748,216074.7999
1,584.6991,220.5951,220595.0999
1,584.8422,220.7382,220738.1999
1,597.0489,232.9449,232944.8999
1,597.2209,233.1169,233116.8999
1,598.2139,234.1099,234109.8999
1,603.3884,239.2844,239284.3999
1,604.9352,240.8312,240831.1999
1,657.7662,293.6622,293662.1999
1,658.0968,293.9928,293992.7999
1,658.7696,294.6656,294665.5999
1,659.6476,295.5436,295543.5999
1,659.7740,295.6700,295669.9999
1,660.5032,296.3992,296399.1999
1,661.7064,297.6024,297602.3999
1,661.7543,297.6503,297650.2999
1,662.0805,297.9765,297976.4999
1,669.8026,305.6986,305698.5999
1,674.3448,310.2408,310240.7999
1,674.5699,310.4659,310465.8999
1,676.2414,312.1374,312137.3999
1,737.9387,373.8347,373834.6999
1,738.6892,374.5852,374585.1999
1,760.4698,396.3658,396365.7999
1,782.8446,418.7406,418740.5999
1,798.4483,434.3443,434344.2999
1,810.0447,445.9407,445940.6999
1,820.0900,455.9860,455985.9999
1,876.7321,512.6281,512628.0999
1,880.2274,516.1234,516123.3999
1,921.4065,557.3025,557302.4999
1,923.3898,559.2858,559285.7999
1,923.7389,559.6349,559634.8999
1,925.9437,561.8397,561839.6999
1,965.3224,601.2184,601218.3999
1,983.7648,619.6608,619660.7999
1,1042.1488,678.0448,678044.7999
1,1091.9920,727.8880,727887.9999
1,1106.3319,742.2279,742227.8999
1,1115.1832,751.0792,751079.1999
1,1115.6429,751.5389,751538.8999
1,1136.0040,771.9000,771899.9999
1,1139.0238,774.9198,774919.7999
1,1141.4363,777.3323,777332.2999
1,1145.9189,781.8149,781814.8999
1,1147.1857,783.0817,783081.6999
1,1147.3095,783.2055,783205.4999
1,1149.1734,785.0694,785069.3999
1,1154.2303,790.1263,790126.2999
1,1158.5066,794.4026,794402.5999
1,1164.1895,800.0855,800085.4999
1,1167.7982,803.6942,803694.1999
1,1205.1426,841.0386,841038.5999
1,1254.0733,889.9693,889969.2999
1,1313.9888,949.8848,949884.7999
1,1315.7559,951.6519,951651.8999
1,1365.6277,1001.5237,1001523.6999
1,1366.1737,1002.0697,1002069.6999
1,1400.7284,1036.6244,1036624.3999
1,1400.8968,1036.7928,1036792.7999
1,1400.9421,1036.8381,1036838.0999
1,1408.4977,1044.3937,1044393.6999
1,1408.5614,1044.4574,1044457.3999
1,1408.8469,1044.7429,1044742.8999
1,1425.0147,1060.9107,1060910.6999
1,1425.4451,1061.3411,1061341.0999
1,1428.0111,1063.9071,1063907.0999
1,1456.6284,1092.5244,1092524.3999
1,1498.1952,1134.0912,1134091.1999
1,1500.5479,1136.4439,1136443.8999
1,1506.1379,1142.0339,1142033.8999
1,1508.2621,1144.1581,1144158.0999
1,1509.0304,1144.9264,1144926.3999
1,1512.2065,1148.1025,1148102.4999
1,1524.7075,1160.6035,1160603.4999
1,1525.9829,1161.8789,1161878.8999
1,1528.0138,1163.9098,1163909.7999
1,1529.1542,1165.0502,1165050.1999
1,1530.2684,1166.1644,1166164.3999
1,1532.7756,1168.6716,1168671.5999
1,1540.2409,1176.1369,1176136.8999
1,1540.8955,1176.7915,1176791.4999
1,1543.8977,1179.7937,1179793.6999
1,1545.6164,1181.5124,1181512.3999
1,1546.7360,1182.6320,1182631.9999
1,1551.9118,1187.8078,1187807.7999
1,1551.9246,1187.8206,1187820.5999
1,1552.0199,1187.9159,1187915.8999
1,1552.0919,1187.9879,1187987.8999
1,1553.9413,1189.8373,1189837.2999
1,1554.8439,1190.7399,1190739.8999
1,1556.7431,1192.6391,1192639.0999
1,1557.2968,1193.1928,1193192.7999
1,1565.1007,1200.9967,1200996.6999
1,1570.7043,1206.6003,1206600.2999
1,1571.1534,1207.0494,1207049.3999
1,1583.8483,1219.7443,1219744.2999
1,1586.8443,1222.7403,1222740.2999
1,1592.9385,1228.8345,1228834.4999
1,1594.9903,1230.8863,1230886.2999
1,1631.8474,1267.7434,1267743.3999
1,1633.1129,1269.0089,1269008.8999
1,1635.5552,1271.4512,1271451.1999
1,1635.6249,1271.5209,1271520.8999
1,1636.0185,1271.9145,1271914.4999
1,1636.1227,1272.0187,1272018.6999
1,1636.9809,1272.8769,1272876.8999
1,1638.2721,1274.1681,1274168.0999
1,1640.6619,1276.5579,1276557.8999
1,1672.9028,1308.7988,1308798.7999
1,1694.4980,1330.3940,1330393.9999
1,1741.2258,1377.1218,1377121.7999
1,1741.6263,1377.5223,1377522.2999
1,1744.6519,1380.5479,1380547.8999
1,1747.1414,1383.0374,1383037.3999
1,1759.2340,1395.1300,1395129.9999
1,1776.2217,1412.1177,1412117.6999
1,1778.1400,1414.0360,1414035.9999
1,1856.5920,1492.4880,1492487.9999
1,1881.2959,1517.1919,1517191.8999
1,1890.3173,1526.2133,1526213.2999
1,1890.6031,1526.4991,1526499.0999
1,1890.9689,1526.8649,1526864.8999
1,1891.2841,1527.1801,1527180.0999
1,1891.3429,1527.2389,1527238.8999
1,1891.4284,1527.3244,1527324.3999
1,1891.6734,1527.5694,1527569.3999
1,1898.5851,1534.4811,1534481.0999
1,1898.6832,1534.5792,1534579.1999
1,1938.7303,1574.6263,1574626.2999
1,1948.9367,1584.8327,1584832.6999
1,2011.5733,1647.4693,1647469.2999
1,2011.9523,1647.8483,1647848.2999
1,2020.6110,1656.5070,1656506.9999
1,2021.5144,1657.4104,1657410.3999
1,2022.5242,1658.4202,1658420.1999
1,2022.8913,1658.7873,1658787.2999
1,2022.9362,1658.8322,1658832.1999
1,2024.8697,1660.7657,1660765.6999
1,2030.9393,1666.8353,1666835.2999
1,2088.0948,1723.9908,1723990.7999
1,2088.5522,1724.4482,1724448.1999
1,2090.3996,1726.2956,1726295.5999
1,2107.3827,1743.2787,1743278.6999
1,2107.6515,1743.5475,1743547.4999
1,2112.7163,1748.6123,1748612.2999
1,2117.4816,1753.3776,1753377.5999
1,2160.3219,1796.2179,1796217.8999
1,2178.7361,1814.6321,1814632.0999
1,2186.1931,1822.0891,1822089.0999
1,2188.7285,1824.6245,1824624.4999
1,2189.4068,1825.3028,1825302.7999
1,2217.3473,1853.2433,1853243.2999
1,2226.8798,1862.7758,1862775.7999
1,2234.9205,1870.8165,1870816.4999
1,2251.1488,1887.0448,1887044.7999
1,2253.3978,1889.2938,1889293.7999
1,2253.4629,1889.3589,1889358.8999
1,2256.0160,1891.9120,1891911.9999
1,2256.1258,1892.0218,1892021.7999
1,2262.8215,1898.7175,1898717.4999
