units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,742.4828,378.3788,378378.7999,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,284.7999,0.2848
1,661.2255,297.1215,297121.4999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2173.4999,2.1735
1,661.2405,297.1365,297136.4999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2188.4999,2.1885
1,661.5472,297.4432,297443.1999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,2495.1999,2.4952
1,1866.7339,1502.6299,1502629.8999,7,1.0-1500398-1502858,600.0000,1.0000,1,7,True,1500398.0000,1502858.0000,2231.8999,2.2319
1,2260.6553,1896.5513,1896551.2999,16,1.0-1895842-1898072,799.0000,1.0000,0,48,True,1895842.0000,1898072.0000,709.2999,0.7093
1,2262.0630,1897.9590,1897958.9999,16,1.0-1895842-1898072,799.0000,1.0000,0,48,True,1895842.0000,1898072.0000,2116.9999,2.1170
1,2755.4755,2391.3715,2391371.4999,24,1.0-2390080-2395080,981.0000,1.0000,1,19,True,2390080.0000,2395080.0000,1291.4999,1.2915
1,2758.7943,2394.6903,2394690.2999,24,1.0-2390080-2395080,981.0000,1.0000,1,19,True,2390080.0000,2395080.0000,4610.2999,4.6103
1,2596.9304,2232.8264,2232826.3999,25,1.0-2232062-2233472,922.0000,1.0000,0,49,True,2232062.0000,2233472.0000,764.3999,0.7644
1,2376.7735,2012.6695,2012669.4999,26,1.0-2010651-2012821,835.0000,1.0000,0,50,True,2010651.0000,2012821.0000,2018.4999,2.0185
1,1811.0346,1446.9306,1446930.5999,33,1.0-1446780-1448720,574.0000,1.0000,1,23,True,1446780.0000,1448720.0000,150.5999,0.1506
1,1811.0407,1446.9367,1446936.6999,33,1.0-1446780-1448720,574.0000,1.0000,1,23,True,1446780.0000,1448720.0000,156.6999,0.1567
1,1811.0514,1446.9474,1446947.3999,33,1.0-1446780-1448720,574.0000,1.0000,1,23,True,1446780.0000,1448720.0000,167.3999,0.1674
1,1811.0589,1446.9549,1446954.8999,33,1.0-1446780-1448720,574.0000,1.0000,1,23,True,1446780.0000,1448720.0000,174.8999,0.1749
1,1811.7355,1447.6315,1447631.4999,33,1.0-1446780-1448720,574.0000,1.0000,1,23,True,1446780.0000,1448720.0000,851.4999,0.8515
1,1811.9004,1447.7964,1447796.3999,33,1.0-1446780-1448720,574.0000,1.0000,1,23,True,1446780.0000,1448720.0000,1016.3999,1.0164
1,2423.2103,2059.1063,2059106.2999,34,1.0-2057596-2059676,857.0000,1.0000,1,24,True,2057596.0000,2059676.0000,1510.2999,1.5103
1,2775.3861,2411.2821,2411282.0999,35,1.0-2410232-2411402,990.0000,1.0000,1,25,True,2410232.0000,2411402.0000,1050.0999,1.0501
1,1884.9069,1520.8029,1520802.8999,37,1.0-1520751-1522380,612.0000,1.0000,0,54,True,1520751.0000,1522380.0000,51.8999,0.0519
1,1885.4971,1521.3931,1521393.0999,37,1.0-1520751-1522380,612.0000,1.0000,0,54,True,1520751.0000,1522380.0000,642.0999,0.6421
