bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,1,0.1
2,0,0.0
3,0,0.0
4,2,0.2
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,1,0.1
11,1,0.1
12,0,0.0
13,0,0.0
14,1,0.1
15,1,0.1
16,2,0.2
17,0,0.0
18,0,0.0
19,2,0.2
20,1,0.1
21,2,0.2
22,0,0.0
23,2,0.2
24,0,0.0
25,2,0.2
26,1,0.1
27,0,0.0
28,0,0.0
29,0,0.0
30,3,0.3
31,0,0.0
32,0,0.0
33,0,0.0
34,1,0.1
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,1,0.1
40,0,0.0
41,0,0.0
42,0,0.0
43,1,0.1
44,0,0.0
45,0,0.0
46,1,0.1
47,1,0.1
48,0,0.0
49,2,0.2
50,1,0.1
51,0,0.0
52,4,0.4
53,0,0.0
54,2,0.2
55,0,0.0
56,1,0.1
57,0,0.0
58,1,0.1
59,0,0.0
60,1,0.1
61,1,0.1
62,0,0.0
63,1,0.1
64,0,0.0
65,0,0.0
66,3,0.3
67,2,0.2
68,2,0.2
69,1,0.1
70,2,0.2
71,3,0.3
72,1,0.1
73,0,0.0
74,2,0.2
75,0,0.0
76,0,0.0
77,2,0.2
78,3,0.3
79,0,0.0
80,0,0.0
81,0,0.0
82,1,0.1
83,1,0.1
84,1,0.1
85,1,0.1
86,0,0.0
87,0,0.0
88,1,0.1
89,2,0.2
90,1,0.1
91,0,0.0
92,0,0.0
93,0,0.0
94,1,0.1
95,1,0.1
96,2,0.2
97,0,0.0
98,2,0.2
99,1,0.1
100,1,0.1
101,1,0.1
102,0,0.0
103,1,0.1
104,3,0.3
105,2,0.2
106,0,0.0
107,0,0.0
108,4,0.4
109,0,0.0
110,2,0.2
111,0,0.0
112,2,0.2
113,0,0.0
114,0,0.0
115,1,0.1
116,2,0.2
117,1,0.1
118,1,0.1
119,0,0.0
120,0,0.0
121,1,0.1
122,0,0.0
123,1,0.1
124,1,0.1
125,1,0.1
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,1,0.1
131,1,0.1
132,0,0.0
133,1,0.1
134,2,0.2
135,0,0.0
136,0,0.0
137,3,0.3
138,0,0.0
139,1,0.1
140,1,0.1
141,2,0.2
142,0,0.0
143,0,0.0
144,1,0.1
145,1,0.1
146,0,0.0
147,0,0.0
148,1,0.1
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,1,0.1
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,2,0.2
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,2,0.2
168,0,0.0
169,0,0.0
170,0,0.0
171,1,0.1
172,0,0.0
173,0,0.0
174,0,0.0
175,1,0.1
176,0,0.0
177,0,0.0
178,1,0.1
179,1,0.1
180,1,0.1
181,1,0.1
182,0,0.0
183,0,0.0
184,0,0.0
185,1,0.1
186,2,0.2
187,0,0.0
188,1,0.1
189,0,0.0
190,0,0.0
191,1,0.1
192,0,0.0
193,3,0.3
194,0,0.0
195,2,0.2
196,1,0.1
197,0,0.0
198,2,0.2
199,2,0.2
200,0,0.0
201,0,0.0
202,1,0.1
203,0,0.0
204,1,0.1
205,2,0.2
206,0,0.0
207,1,0.1
208,0,0.0
209,2,0.2
210,3,0.3
211,4,0.4
212,1,0.1
213,2,0.2
214,1,0.1
215,1,0.1
216,0,0.0
217,0,0.0
218,2,0.2
219,2,0.2
220,1,0.1
221,2,0.2
222,1,0.1
223,0,0.0
224,1,0.1
225,2,0.2
226,2,0.2
227,0,0.0
228,2,0.2
229,0,0.0
230,2,0.2
231,0,0.0
232,1,0.1
233,2,0.2
234,0,0.0
235,0,0.0
236,0,0.0
237,0,0.0
238,1,0.1
239,2,0.2
240,1,0.1
241,1,0.1
242,0,0.0
243,0,0.0
244,1,0.1
245,1,0.1
246,0,0.0
247,1,0.1
