units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1778.3308,1414.2268,1414226.7999,1,1.0-1413882-1415731,560.0000,1.0000,1,1,True,1413882.0000,1415731.0000,344.7999,0.3448
1,1779.8171,1415.7131,1415713.0999,1,1.0-1413882-1415731,560.0000,1.0000,1,1,True,1413882.0000,1415731.0000,1831.0999,1.8311
1,742.4399,378.3359,378335.8999,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,241.8999,0.2419
1,744.2199,380.1159,380115.8999,2,1.0-378094-380224,210.0000,1.0000,1,2,True,378094.0000,380224.0000,2021.8999,2.0219
1,503.8474,139.7434,139743.3999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,277.3999,0.2774
1,503.9774,139.8734,139873.3999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,407.3999,0.4074
1,504.0125,139.9085,139908.4999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,442.4999,0.4425
1,504.0400,139.9360,139935.9999,3,1.0-139466-140606,83.0000,1.0000,1,3,True,139466.0000,140606.0000,469.9999,0.4700
1,1354.8990,990.7950,990794.9999,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,16.9999,0.0170
1,1356.0513,991.9473,991947.2999,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1169.2999,1.1693
1,1356.5342,992.4302,992430.1999,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1652.1999,1.6522
1,659.2874,295.1834,295183.3999,5,1.0-294948-297818,167.0000,1.0000,1,5,True,294948.0000,297818.0000,235.3999,0.2354
