bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,1,0.1
2,8,0.8
3,3,0.3
4,3,0.3
5,5,0.5
6,1,0.1
7,3,0.3
8,4,0.4
9,3,0.3
10,1,0.1
11,2,0.2
12,0,0.0
13,0,0.0
14,1,0.1
15,1,0.1
16,1,0.1
17,10,1.0
18,2,0.2
19,6,0.6
20,22,2.2
21,12,1.2
22,5,0.5
23,1,0.1
24,1,0.1
25,4,0.4
26,6,0.6
27,1,0.1
28,3,0.3
29,7,0.7
30,1,0.1
31,10,1.0
32,4,0.4
33,2,0.2
34,0,0.0
35,2,0.2
36,2,0.2
37,1,0.1
38,6,0.6
39,5,0.5
40,3,0.3
41,0,0.0
42,3,0.3
43,1,0.1
44,6,0.6
45,10,1.0
46,2,0.2
47,0,0.0
48,2,0.2
49,4,0.4
50,2,0.2
51,8,0.8
52,2,0.2
53,5,0.5
54,4,0.4
55,0,0.0
56,1,0.1
57,0,0.0
58,10,1.0
59,6,0.6
60,5,0.5
61,5,0.5
62,3,0.3
63,0,0.0
64,1,0.1
65,6,0.6
66,3,0.3
67,4,0.4
68,3,0.3
69,3,0.3
70,1,0.1
71,1,0.1
72,1,0.1
73,8,0.8
74,0,0.0
75,10,1.0
76,7,0.7
77,8,0.8
78,2,0.2
79,7,0.7
80,6,0.6
81,1,0.1
82,2,0.2
83,0,0.0
84,0,0.0
85,7,0.7
86,0,0.0
87,4,0.4
88,6,0.6
89,2,0.2
90,3,0.3
91,7,0.7
92,1,0.1
93,5,0.5
94,7,0.7
95,1,0.1
96,9,0.9
97,4,0.4
98,4,0.4
99,1,0.1
100,2,0.2
101,1,0.1
102,4,0.4
103,0,0.0
104,2,0.2
105,2,0.2
106,1,0.1
107,0,0.0
108,1,0.1
109,3,0.3
110,1,0.1
111,4,0.4
112,2,0.2
113,0,0.0
114,0,0.0
115,6,0.6
116,7,0.7
117,1,0.1
118,1,0.1
119,2,0.2
120,0,0.0
121,0,0.0
122,0,0.0
123,2,0.2
124,1,0.1
125,0,0.0
126,4,0.4
127,2,0.2
128,7,0.7
129,0,0.0
130,3,0.3
131,2,0.2
132,3,0.3
133,1,0.1
134,2,0.2
135,0,0.0
136,0,0.0
137,5,0.5
138,1,0.1
139,2,0.2
140,11,1.1
141,4,0.4
142,4,0.4
143,4,0.4
144,0,0.0
145,0,0.0
146,4,0.4
147,12,1.2
148,0,0.0
149,2,0.2
150,1,0.1
151,0,0.0
152,6,0.6
153,2,0.2
154,10,1.0
155,6,0.6
156,1,0.1
157,2,0.2
158,1,0.1
159,6,0.6
160,7,0.7
161,6,0.6
162,1,0.1
163,9,0.9
164,5,0.5
165,4,0.4
166,2,0.2
167,1,0.1
168,0,0.0
169,4,0.4
170,5,0.5
171,5,0.5
172,0,0.0
173,0,0.0
174,1,0.1
175,2,0.2
176,1,0.1
177,3,0.3
178,2,0.2
179,2,0.2
180,5,0.5
181,12,1.2
182,4,0.4
183,3,0.3
184,4,0.4
185,3,0.3
186,1,0.1
187,2,0.2
188,0,0.0
189,2,0.2
190,1,0.1
191,2,0.2
192,1,0.1
193,4,0.4
194,1,0.1
195,2,0.2
196,7,0.7
197,2,0.2
198,3,0.3
199,3,0.3
200,2,0.2
201,0,0.0
202,1,0.1
203,2,0.2
204,2,0.2
205,0,0.0
206,4,0.4
207,0,0.0
208,2,0.2
209,2,0.2
210,5,0.5
211,4,0.4
212,4,0.4
213,2,0.2
214,3,0.3
215,0,0.0
216,0,0.0
217,3,0.3
218,0,0.0
219,5,0.5
220,0,0.0
221,1,0.1
222,1,0.1
223,3,0.3
224,1,0.1
225,0,0.0
226,6,0.6
227,10,1.0
228,3,0.3
229,4,0.4
230,2,0.2
231,2,0.2
232,2,0.2
233,5,0.5
234,3,0.3
235,1,0.1
236,0,0.0
237,0,0.0
238,5,0.5
239,0,0.0
240,1,0.1
241,4,0.4
242,10,1.0
243,6,0.6
244,0,0.0
245,3,0.3
246,3,0.3
247,1,0.1
