bin_10s,spike_count,firing_rate_hz
0,18,1.8
1,9,0.9
2,9,0.9
3,17,1.7
4,22,2.2
5,17,1.7
6,16,1.6
7,10,1.0
8,30,3.0
9,8,0.8
10,13,1.3
11,26,2.6
12,14,1.4
13,19,1.9
14,20,2.0
15,12,1.2
16,15,1.5
17,13,1.3
18,15,1.5
19,29,2.9
20,31,3.1
21,15,1.5
22,17,1.7
23,36,3.6
24,15,1.5
25,20,2.0
26,14,1.4
27,7,0.7
28,14,1.4
29,7,0.7
30,15,1.5
31,16,1.6
32,10,1.0
33,15,1.5
34,9,0.9
35,20,2.0
36,16,1.6
37,16,1.6
38,9,0.9
39,14,1.4
40,20,2.0
41,18,1.8
42,12,1.2
43,12,1.2
44,17,1.7
45,16,1.6
46,22,2.2
47,17,1.7
48,15,1.5
49,16,1.6
50,13,1.3
51,12,1.2
52,10,1.0
53,12,1.2
54,15,1.5
55,13,1.3
56,15,1.5
57,14,1.4
58,11,1.1
59,9,0.9
60,15,1.5
61,15,1.5
62,23,2.3
63,25,2.5
64,34,3.4
65,20,2.0
66,15,1.5
67,19,1.9
68,24,2.4
69,12,1.2
70,20,2.0
71,13,1.3
72,31,3.1
73,15,1.5
74,16,1.6
75,10,1.0
76,24,2.4
77,21,2.1
78,20,2.0
79,12,1.2
80,10,1.0
81,10,1.0
82,6,0.6
83,19,1.9
84,8,0.8
85,16,1.6
86,12,1.2
87,16,1.6
88,11,1.1
89,15,1.5
90,7,0.7
91,10,1.0
92,14,1.4
93,19,1.9
94,11,1.1
95,20,2.0
96,14,1.4
97,24,2.4
98,20,2.0
99,22,2.2
100,22,2.2
101,16,1.6
102,17,1.7
103,13,1.3
104,17,1.7
105,14,1.4
106,14,1.4
107,17,1.7
108,24,2.4
109,24,2.4
110,20,2.0
111,12,1.2
112,32,3.2
113,19,1.9
114,24,2.4
115,23,2.3
116,19,1.9
117,12,1.2
118,16,1.6
119,13,1.3
120,13,1.3
121,15,1.5
122,7,0.7
123,20,2.0
124,21,2.1
125,13,1.3
126,13,1.3
127,27,2.7
128,32,3.2
129,13,1.3
130,11,1.1
131,24,2.4
132,11,1.1
133,12,1.2
134,15,1.5
135,14,1.4
136,14,1.4
137,15,1.5
138,21,2.1
139,20,2.0
140,19,1.9
141,14,1.4
142,17,1.7
143,14,1.4
144,22,2.2
145,20,2.0
146,33,3.3
147,36,3.6
148,16,1.6
149,30,3.0
150,14,1.4
151,23,2.3
152,29,2.9
153,17,1.7
154,17,1.7
155,20,2.0
156,30,3.0
157,16,1.6
158,18,1.8
159,19,1.9
160,12,1.2
161,24,2.4
162,27,2.7
163,17,1.7
164,21,2.1
165,26,2.6
166,22,2.2
167,17,1.7
168,24,2.4
169,23,2.3
170,9,0.9
171,13,1.3
172,22,2.2
173,24,2.4
174,20,2.0
175,23,2.3
176,21,2.1
177,11,1.1
178,23,2.3
179,13,1.3
180,13,1.3
181,19,1.9
182,22,2.2
183,15,1.5
184,25,2.5
185,11,1.1
186,14,1.4
187,18,1.8
188,19,1.9
189,26,2.6
190,30,3.0
191,22,2.2
192,23,2.3
193,19,1.9
194,26,2.6
195,16,1.6
196,21,2.1
197,6,0.6
198,29,2.9
199,35,3.5
200,14,1.4
201,21,2.1
202,22,2.2
203,20,2.0
204,22,2.2
205,13,1.3
206,11,1.1
207,16,1.6
208,21,2.1
209,9,0.9
210,11,1.1
211,18,1.8
212,12,1.2
213,25,2.5
214,18,1.8
215,16,1.6
216,34,3.4
217,15,1.5
218,35,3.5
219,22,2.2
220,21,2.1
221,17,1.7
222,48,4.8
223,18,1.8
224,29,2.9
225,25,2.5
226,17,1.7
227,19,1.9
228,13,1.3
229,18,1.8
230,18,1.8
231,17,1.7
232,19,1.9
233,22,2.2
234,15,1.5
235,25,2.5
236,16,1.6
237,34,3.4
238,29,2.9
239,22,2.2
240,26,2.6
241,32,3.2
242,51,5.1
243,29,2.9
244,29,2.9
245,36,3.6
246,42,4.2
247,24,2.4
