units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,452.5410,70.1640,70163.9999
1,532.7350,150.3580,150357.9999
1,556.3903,174.0133,174013.2999
1,607.1038,224.7268,224726.7999
1,625.6528,243.2758,243275.7999
1,626.1801,243.8031,243803.0999
1,974.1788,591.8018,591801.7999
1,1019.2092,636.8322,636832.1999
1,1021.2941,638.9171,638917.0999
1,1035.7193,653.3423,653342.2999
1,1045.6085,663.2315,663231.4999
1,1052.6424,670.2654,670265.3999
1,1052.6446,670.2676,670267.5999
1,1052.7536,670.3766,670376.5999
1,1053.0248,670.6478,670647.7999
1,1083.4970,701.1200,701119.9999
1,1083.5324,701.1554,701155.3999
1,1083.7757,701.3987,701398.6999
1,1089.6024,707.2254,707225.3999
1,1091.0879,708.7109,708710.8999
1,1091.0905,708.7135,708713.4999
1,1094.0190,711.6420,711641.9999
1,1106.8362,724.4592,724459.1999
1,1119.4885,737.1115,737111.4999
1,1119.4963,737.1193,737119.2999
1,1119.6641,737.2871,737287.0999
1,1119.6673,737.2903,737290.2999
1,1135.9405,753.5635,753563.4999
1,1135.9431,753.5661,753566.0999
1,1139.7584,757.3814,757381.3999
1,1140.7686,758.3916,758391.5999
1,1161.5968,779.2198,779219.7999
1,1202.5693,820.1923,820192.2999
1,1204.9295,822.5525,822552.4999
1,1206.6673,824.2903,824290.2999
1,1206.8046,824.4276,824427.5999
1,1207.7289,825.3519,825351.8999
1,1226.8121,844.4351,844435.0999
1,1243.6157,861.2387,861238.6999
1,1246.0575,863.6805,863680.4999
1,1246.1829,863.8059,863805.8999
1,1246.3500,863.9730,863972.9999
1,1246.8196,864.4426,864442.5999
1,1250.0189,867.6419,867641.8999
1,1251.7795,869.4025,869402.4999
1,1253.6329,871.2559,871255.8999
1,1261.5903,879.2133,879213.2999
1,1279.5148,897.1378,897137.7999
1,1279.7385,897.3615,897361.4999
1,1293.2620,910.8850,910884.9999
1,1377.0494,994.6724,994672.3999
1,1377.2904,994.9134,994913.3999
1,1377.6014,995.2244,995224.3999
1,1377.8763,995.4993,995499.2999
1,1396.7616,1014.3846,1014384.5999
1,1396.8122,1014.4352,1014435.1999
1,1408.0369,1025.6599,1025659.8999
1,1409.9324,1027.5554,1027555.3999
1,1435.5819,1053.2049,1053204.8999
1,1435.8196,1053.4426,1053442.5999
1,1437.0125,1054.6355,1054635.4999
1,1437.1627,1054.7857,1054785.6999
1,1504.8217,1122.4447,1122444.6999
1,1511.8442,1129.4672,1129467.1999
1,1542.5471,1160.1701,1160170.0999
1,1542.5562,1160.1792,1160179.1999
1,1543.0605,1160.6835,1160683.4999
1,1543.2502,1160.8732,1160873.1999
1,1553.4930,1171.1160,1171115.9999
1,1575.3254,1192.9484,1192948.3999
1,1575.4296,1193.0526,1193052.5999
1,1575.4315,1193.0545,1193054.4999
1,1575.4334,1193.0564,1193056.3999
1,1575.7815,1193.4045,1193404.4999
1,1578.5232,1196.1462,1196146.1999
1,1578.5281,1196.1511,1196151.0999
1,1578.5299,1196.1529,1196152.8999
1,1592.6291,1210.2521,1210252.0999
1,1620.8779,1238.5009,1238500.8999
1,1628.5833,1246.2063,1246206.2999
1,1631.5673,1249.1903,1249190.2999
1,1658.0937,1275.7167,1275716.6999
1,1658.3270,1275.9500,1275949.9999
