units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,569.4501,187.0731,187073.0999
1,625.5485,243.1715,243171.4999
1,924.9917,542.6147,542614.6999
1,959.1739,576.7969,576796.8999
1,959.1944,576.8174,576817.3999
1,986.2597,603.8827,603882.6999
1,1021.0234,638.6464,638646.3999
1,1046.4711,664.0941,664094.0999
1,1052.9608,670.5838,670583.7999
1,1055.9088,673.5318,673531.7999
1,1090.5531,708.1761,708176.0999
1,1090.6327,708.2557,708255.6999
1,1136.9414,754.5644,754564.3999
1,1147.1531,764.7761,764776.0999
1,1147.2567,764.8797,764879.6999
1,1162.8281,780.4511,780451.0999
1,1162.9102,780.5332,780533.1999
1,1204.1927,821.8157,821815.6999
1,1204.7884,822.4114,822411.3999
1,1207.0366,824.6596,824659.5999
1,1207.0391,824.6621,824662.0999
1,1208.3966,826.0196,826019.5999
1,1226.9510,844.5740,844573.9999
1,1245.5475,863.1705,863170.4999
1,1245.5839,863.2069,863206.8999
1,1245.8993,863.5223,863522.2999
1,1245.9191,863.5421,863542.0999
1,1246.7870,864.4100,864409.9999
1,1247.5087,865.1317,865131.6999
1,1247.5456,865.1686,865168.5999
1,1248.7116,866.3346,866334.5999
1,1250.9015,868.5245,868524.4999
1,1252.2668,869.8898,869889.7999
1,1252.4190,870.0420,870041.9999
1,1261.8829,879.5059,879505.8999
1,1261.9839,879.6069,879606.8999
1,1262.0120,879.6350,879634.9999
1,1280.6565,898.2795,898279.4999
1,1292.9894,910.6124,910612.3999
1,1293.0602,910.6832,910683.1999
1,1377.0875,994.7105,994710.4999
1,1377.6601,995.2831,995283.0999
1,1377.8865,995.5095,995509.4999
1,1397.0444,1014.6674,1014667.3999
1,1397.1933,1014.8163,1014816.2999
1,1437.9078,1055.5308,1055530.7999
1,1475.7285,1093.3515,1093351.4999
1,1543.0442,1160.6672,1160667.1999
1,1554.0734,1171.6964,1171696.3999
1,1575.9751,1193.5981,1193598.0999
1,1632.4819,1250.1049,1250104.8999
1,1658.6963,1276.3193,1276319.2999
1,1660.7581,1278.3811,1278381.0999
1,1675.7596,1293.3826,1293382.5999
1,1696.0989,1313.7219,1313721.8999
1,1763.4631,1381.0861,1381086.0999
1,1814.1066,1431.7296,1431729.5999
1,1815.6425,1433.2655,1433265.4999
1,1851.3983,1469.0213,1469021.2999
1,1865.7905,1483.4135,1483413.4999
1,1903.8391,1521.4621,1521462.0999
1,1904.4515,1522.0745,1522074.4999
1,1904.5028,1522.1258,1522125.7999
1,1930.3797,1548.0027,1548002.6999
1,1931.0442,1548.6672,1548667.1999
1,1932.0387,1549.6617,1549661.6999
1,1932.1667,1549.7897,1549789.6999
1,1951.4302,1569.0532,1569053.1999
1,1975.6083,1593.2313,1593231.2999
1,1976.2739,1593.8969,1593896.8999
1,1976.2764,1593.8994,1593899.3999
1,2011.3841,1629.0071,1629007.0999
1,2011.8716,1629.4946,1629494.5999
1,2021.5350,1639.1580,1639157.9999
1,2038.6927,1656.3157,1656315.6999
1,2102.8845,1720.5075,1720507.4999
1,2164.0890,1781.7120,1781711.9999
1,2184.3806,1802.0036,1802003.5999
1,2218.0552,1835.6782,1835678.1999
1,2231.5431,1849.1661,1849166.0999
1,2238.7927,1856.4157,1856415.6999
1,2341.3269,1958.9499,1958949.8999
1,2421.2167,2038.8397,2038839.6999
1,2466.1407,2083.7637,2083763.6999
1,2581.5837,2199.2067,2199206.6999
1,2628.8586,2246.4816,2246481.5999
1,2628.9341,2246.5571,2246557.0999
1,2628.9866,2246.6096,2246609.5999
1,2704.9974,2322.6204,2322620.3999
1,2705.7866,2323.4096,2323409.5999
1,2706.9648,2324.5878,2324587.7999
1,2754.7104,2372.3334,2372333.3999
1,2755.2419,2372.8649,2372864.8999
