units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,385.6008,3.2238,3223.7999
1,401.3417,18.9647,18964.6999
1,402.0705,19.6935,19693.4999
1,402.5376,20.1606,20160.5999
1,402.7925,20.4155,20415.4999
1,408.5476,26.1706,26170.5999
1,410.6875,28.3105,28310.4999
1,412.1573,29.7803,29780.2999
1,413.1879,30.8109,30810.8999
1,419.5182,37.1412,37141.1999
1,419.7216,37.3446,37344.5999
1,422.4705,40.0935,40093.4999
1,423.9748,41.5978,41597.7999
1,425.6689,43.2919,43291.8999
1,428.0411,45.6641,45664.0999
1,432.6588,50.2818,50281.7999
1,435.1528,52.7758,52775.7999
1,444.6228,62.2458,62245.7999
1,449.1946,66.8176,66817.5999
1,468.5970,86.2200,86219.9999
1,470.0526,87.6756,87675.5999
1,470.4326,88.0556,88055.5999
1,476.3483,93.9713,93971.2999
1,476.7054,94.3284,94328.3999
1,476.7225,94.3455,94345.4999
1,480.1279,97.7509,97750.8999
1,484.8191,102.4421,102442.0999
1,500.3250,117.9480,117947.9999
1,505.2248,122.8478,122847.7999
1,505.6764,123.2994,123299.3999
1,512.9976,130.6206,130620.5999
1,527.5079,145.1309,145130.8999
1,529.6540,147.2770,147276.9999
1,544.6359,162.2589,162258.8999
1,550.2179,167.8409,167840.8999
1,554.5096,172.1326,172132.5999
1,557.5227,175.1457,175145.6999
1,562.0431,179.6661,179666.0999
1,563.4753,181.0983,181098.2999
1,565.7849,183.4079,183407.8999
1,567.1461,184.7691,184769.0999
1,569.2806,186.9036,186903.5999
1,572.2571,189.8801,189880.0999
1,573.0762,190.6992,190699.1999
1,574.0963,191.7193,191719.2999
1,576.7936,194.4166,194416.5999
1,579.7964,197.4194,197419.3999
1,580.6544,198.2774,198277.3999
1,583.3103,200.9333,200933.2999
1,583.9420,201.5650,201564.9999
1,592.4583,210.0813,210081.2999
1,597.1246,214.7476,214747.5999
1,609.1081,226.7311,226731.0999
1,613.8989,231.5219,231521.8999
1,614.9478,232.5708,232570.7999
1,907.6598,525.2828,525282.7999
1,907.7689,525.3919,525391.8999
1,910.6243,528.2473,528247.2999
1,914.6611,532.2841,532284.0999
1,915.5911,533.2141,533214.0999
1,916.5384,534.1614,534161.3999
1,917.5294,535.1524,535152.3999
1,920.2083,537.8313,537831.2999
1,931.0910,548.7140,548713.9999
1,940.2379,557.8609,557860.8999
1,963.7735,581.3965,581396.4999
1,963.8325,581.4555,581455.4999
1,964.5066,582.1296,582129.5999
1,967.3823,585.0053,585005.2999
1,971.7592,589.3822,589382.1999
1,991.7729,609.3959,609395.8999
1,997.7675,615.3905,615390.4999
1,999.8223,617.4453,617445.2999
1,1009.6965,627.3195,627319.4999
1,1033.1334,650.7564,650756.3999
1,1042.6798,660.3028,660302.7999
1,1045.9733,663.5963,663596.2999
1,1048.3709,665.9939,665993.8999
1,1048.4119,666.0349,666034.8999
1,1048.7059,666.3289,666328.8999
1,1050.2632,667.8862,667886.1999
1,1052.2199,669.8429,669842.8999
1,1084.6895,702.3125,702312.4999
1,1089.2488,706.8718,706871.7999
1,1089.2542,706.8772,706877.1999
1,1091.1338,708.7568,708756.7999
1,1091.7414,709.3644,709364.3999
1,1091.9208,709.5438,709543.7999
1,1094.6939,712.3169,712316.8999
1,1098.4754,716.0984,716098.3999
1,1119.8963,737.5193,737519.2999
1,1120.0554,737.6784,737678.3999
1,1124.0513,741.6743,741674.2999
1,1131.2349,748.8579,748857.8999
1,1133.1778,750.8008,750800.7999
