units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,971.6984,589.3214,589321.3999,6,1.0-586593-589493,290.0000,1.0000,1,6,True,586593.0000,589493.0000,2728.3999,2.7284
2,1092.0213,709.6443,709644.2999,23,1.0-708910-710940,330.0000,1.0000,0,71,True,708910.0000,710940.0000,734.2999,0.7343
2,2776.2370,2393.8600,2393859.9999,24,1.0-2390081-2395071,981.0000,1.0000,1,22,True,2390081.0000,2395071.0000,3778.9999,3.7790
2,484.7221,102.3451,102345.0999,40,1.0-102298-103068,58.0000,1.0000,1,38,True,102298.0000,103068.0000,47.0999,0.0471
2,567.2111,184.8341,184834.0999,52,1.0-184243-187132,109.0000,1.0000,1,49,True,184243.0000,187132.0000,591.0999,0.5911
2,569.4536,187.0766,187076.5999,52,1.0-184243-187132,109.0000,1.0000,1,49,True,184243.0000,187132.0000,2833.5999,2.8336
2,2122.8978,1740.5208,1740520.7999,60,1.0-1739627-1740547,713.0000,1.0000,0,74,True,1739627.0000,1740547.0000,893.7999,0.8938
2,2218.6047,1836.2277,1836227.6999,64,1.0-1833884-1838883,758.0000,1.0000,1,59,True,1833884.0000,1838883.0000,2343.6999,2.3437
2,2219.5445,1837.1675,1837167.4999,64,1.0-1833884-1838883,758.0000,1.0000,1,59,True,1833884.0000,1838883.0000,3283.4999,3.2835
2,1293.0242,910.6472,910647.1999,70,1.0-909168-910668,394.0000,1.0000,1,64,True,909168.0000,910668.0000,1479.1999,1.4792
2,2387.8224,2005.4454,2005445.3999,75,1.0-2005414-2006824,833.0000,1.0000,1,69,True,2005414.0000,2006824.0000,31.3999,0.0314
2,2388.0847,2005.7077,2005707.6999,75,1.0-2005414-2006824,833.0000,1.0000,1,69,True,2005414.0000,2006824.0000,293.6999,0.2937
2,2388.0901,2005.7131,2005713.0999,75,1.0-2005414-2006824,833.0000,1.0000,1,69,True,2005414.0000,2006824.0000,299.0999,0.2991
2,2388.1014,2005.7244,2005724.3999,75,1.0-2005414-2006824,833.0000,1.0000,1,69,True,2005414.0000,2006824.0000,310.3999,0.3104
2,2388.1159,2005.7389,2005738.8999,75,1.0-2005414-2006824,833.0000,1.0000,1,69,True,2005414.0000,2006824.0000,324.8999,0.3249
2,2389.1899,2006.8129,2006812.8999,75,1.0-2005414-2006824,833.0000,1.0000,1,69,True,2005414.0000,2006824.0000,1398.8999,1.3989
