bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,1,0.1
2,3,0.3
3,1,0.1
4,2,0.2
5,3,0.3
6,1,0.1
7,4,0.4
8,0,0.0
9,3,0.3
10,2,0.2
11,1,0.1
12,2,0.2
13,0,0.0
14,1,0.1
15,2,0.2
16,1,0.1
17,13,1.3
18,1,0.1
19,5,0.5
20,0,0.0
21,2,0.2
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,1,0.1
54,1,0.1
55,3,0.3
56,0,0.0
57,1,0.1
58,0,0.0
59,0,0.0
60,1,0.1
61,1,0.1
62,0,0.0
63,0,0.0
64,3,0.3
65,0,0.0
66,5,0.5
67,2,0.2
68,1,0.1
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,1,0.1
78,1,0.1
79,3,0.3
80,8,0.8
81,4,0.4
82,1,0.1
83,4,0.4
84,1,0.1
85,1,0.1
86,2,0.2
87,1,0.1
88,0,0.0
89,0,0.0
90,1,0.1
91,0,0.0
92,0,0.0
93,1,0.1
94,0,0.0
95,0,0.0
96,1,0.1
97,3,0.3
98,2,0.2
99,2,0.2
100,4,0.4
101,4,0.4
102,2,0.2
103,1,0.1
104,0,0.0
105,0,0.0
106,1,0.1
107,1,0.1
108,0,0.0
109,2,0.2
110,1,0.1
111,0,0.0
112,1,0.1
113,5,0.5
114,7,0.7
115,4,0.4
116,3,0.3
117,4,0.4
118,0,0.0
119,2,0.2
120,0,0.0
121,2,0.2
122,3,0.3
123,1,0.1
124,1,0.1
125,2,0.2
126,0,0.0
127,1,0.1
128,1,0.1
129,3,0.3
130,1,0.1
131,2,0.2
132,3,0.3
133,2,0.2
134,2,0.2
135,0,0.0
136,1,0.1
137,0,0.0
138,2,0.2
139,1,0.1
140,0,0.0
141,1,0.1
142,5,0.5
143,2,0.2
144,2,0.2
145,0,0.0
146,0,0.0
147,2,0.2
148,1,0.1
149,2,0.2
150,3,0.3
151,0,0.0
152,2,0.2
153,1,0.1
154,2,0.2
155,0,0.0
156,0,0.0
157,1,0.1
158,0,0.0
159,1,0.1
160,2,0.2
161,3,0.3
162,0,0.0
163,0,0.0
164,0,0.0
165,3,0.3
166,1,0.1
167,1,0.1
168,1,0.1
169,0,0.0
170,0,0.0
171,1,0.1
172,0,0.0
173,2,0.2
174,0,0.0
175,1,0.1
176,1,0.1
177,0,0.0
178,3,0.3
179,2,0.2
180,0,0.0
181,0,0.0
182,8,0.8
183,3,0.3
184,1,0.1
185,0,0.0
186,1,0.1
187,1,0.1
188,0,0.0
189,0,0.0
190,1,0.1
191,0,0.0
192,3,0.3
193,0,0.0
194,2,0.2
195,0,0.0
196,0,0.0
197,1,0.1
198,0,0.0
199,2,0.2
200,1,0.1
201,1,0.1
202,1,0.1
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,2,0.2
209,0,0.0
210,0,0.0
211,1,0.1
212,2,0.2
213,0,0.0
214,0,0.0
215,0,0.0
216,1,0.1
217,2,0.2
218,1,0.1
219,2,0.2
220,0,0.0
221,2,0.2
222,1,0.1
223,1,0.1
224,2,0.2
225,0,0.0
226,1,0.1
227,1,0.1
228,1,0.1
229,0,0.0
230,0,0.0
231,1,0.1
232,2,0.2
233,0,0.0
234,0,0.0
235,0,0.0
236,1,0.1
237,2,0.2
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,1,0.1
