bin_10s,spike_count,firing_rate_hz
0,5,0.5
1,5,0.5
2,4,0.4
3,11,1.1
4,9,0.9
5,13,1.3
6,8,0.8
7,14,1.4
8,1,0.1
9,2,0.2
10,1,0.1
11,5,0.5
12,14,1.4
13,1,0.1
14,3,0.3
15,9,0.9
16,8,0.8
17,9,0.9
18,1,0.1
19,2,0.2
20,3,0.3
21,11,1.1
22,4,0.4
23,11,1.1
24,1,0.1
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,1,0.1
53,23,2.3
54,7,0.7
55,3,0.3
56,7,0.7
57,6,0.6
58,9,0.9
59,30,3.0
60,17,1.7
61,12,1.2
62,16,1.6
63,12,1.2
64,6,0.6
65,4,0.4
66,11,1.1
67,22,2.2
68,9,0.9
69,4,0.4
70,11,1.1
71,8,0.8
72,17,1.7
73,11,1.1
74,18,1.8
75,7,0.7
76,8,0.8
77,19,1.9
78,5,0.5
79,5,0.5
80,6,0.6
81,2,0.2
82,12,1.2
83,10,1.0
84,9,0.9
85,7,0.7
86,16,1.6
87,10,1.0
88,3,0.3
89,4,0.4
90,9,0.9
91,7,0.7
92,5,0.5
93,3,0.3
94,2,0.2
95,5,0.5
96,7,0.7
97,8,0.8
98,6,0.6
99,7,0.7
100,1,0.1
101,6,0.6
102,10,1.0
103,4,0.4
104,4,0.4
105,2,0.2
106,5,0.5
107,4,0.4
108,8,0.8
109,6,0.6
110,8,0.8
111,4,0.4
112,3,0.3
113,2,0.2
114,2,0.2
115,2,0.2
116,4,0.4
117,4,0.4
118,3,0.3
119,3,0.3
120,3,0.3
121,4,0.4
122,3,0.3
123,2,0.2
124,4,0.4
125,6,0.6
126,4,0.4
127,5,0.5
128,2,0.2
129,3,0.3
130,2,0.2
131,2,0.2
132,2,0.2
133,1,0.1
134,5,0.5
135,4,0.4
136,3,0.3
137,4,0.4
138,4,0.4
139,5,0.5
140,3,0.3
141,3,0.3
142,7,0.7
143,3,0.3
144,2,0.2
145,4,0.4
146,6,0.6
147,2,0.2
148,13,1.3
149,11,1.1
150,18,1.8
151,12,1.2
152,9,0.9
153,7,0.7
154,2,0.2
155,5,0.5
156,10,1.0
157,3,0.3
158,4,0.4
159,5,0.5
160,11,1.1
161,4,0.4
162,5,0.5
163,1,0.1
164,7,0.7
165,10,1.0
166,5,0.5
167,9,0.9
168,3,0.3
169,15,1.5
170,2,0.2
171,6,0.6
172,7,0.7
173,6,0.6
174,11,1.1
175,15,1.5
176,4,0.4
177,2,0.2
178,4,0.4
179,1,0.1
180,0,0.0
181,0,0.0
182,8,0.8
183,4,0.4
184,9,0.9
185,5,0.5
186,4,0.4
187,1,0.1
188,3,0.3
189,2,0.2
190,18,1.8
191,5,0.5
192,6,0.6
193,7,0.7
194,8,0.8
195,2,0.2
196,2,0.2
197,10,1.0
198,3,0.3
199,4,0.4
200,9,0.9
201,14,1.4
202,10,1.0
203,16,1.6
204,7,0.7
205,17,1.7
206,4,0.4
207,5,0.5
208,21,2.1
209,1,0.1
210,5,0.5
211,7,0.7
212,13,1.3
213,10,1.0
214,6,0.6
215,9,0.9
216,5,0.5
217,5,0.5
218,4,0.4
219,3,0.3
220,5,0.5
221,3,0.3
222,8,0.8
223,10,1.0
224,3,0.3
225,8,0.8
226,3,0.3
227,4,0.4
228,3,0.3
229,6,0.6
230,3,0.3
231,3,0.3
232,2,0.2
233,2,0.2
234,3,0.3
235,3,0.3
236,3,0.3
237,3,0.3
238,6,0.6
239,5,0.5
240,0,0.0
241,5,0.5
242,3,0.3
243,3,0.3
244,2,0.2
245,4,0.4
246,5,0.5
247,4,0.4
