units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,383.4250,1.0480,1047.9999
1,384.1953,1.8183,1818.2999
1,387.9598,5.5828,5582.7999
1,391.8280,9.4510,9450.9999
1,391.8477,9.4707,9470.6999
1,391.8535,9.4765,9476.4999
1,392.4650,10.0880,10087.9999
1,392.7850,10.4080,10407.9999
1,393.1611,10.7841,10784.0999
1,393.1681,10.7911,10791.0999
1,393.4923,11.1153,11115.2999
1,393.7642,11.3872,11387.1999
1,393.7782,11.4012,11401.1999
1,393.9486,11.5716,11571.5999
1,395.7029,13.3259,13325.8999
1,401.3612,18.9842,18984.1999
1,403.6128,21.2358,21235.7999
1,404.2022,21.8252,21825.1999
1,406.2313,23.8543,23854.2999
1,407.2199,24.8429,24842.8999
1,407.2784,24.9014,24901.3999
1,407.3426,24.9656,24965.5999
1,407.3634,24.9864,24986.3999
1,407.3873,25.0103,25010.2999
1,407.6845,25.3075,25307.4999
1,408.7891,26.4121,26412.0999
1,410.8771,28.5001,28500.0999
1,410.8875,28.5105,28510.4999
1,410.8953,28.5183,28518.2999
1,413.0803,30.7033,30703.2999
1,413.1077,30.7307,30730.6999
1,413.1133,30.7363,30736.2999
1,418.0751,35.6981,35698.0999
1,418.0819,35.7049,35704.8999
1,418.6589,36.2819,36281.8999
1,418.6717,36.2947,36294.6999
1,418.6871,36.3101,36310.0999
1,418.6932,36.3162,36316.1999
1,418.8282,36.4512,36451.1999
1,418.8418,36.4648,36464.7999
1,418.8516,36.4746,36474.5999
1,419.9859,37.6089,37608.8999
1,419.9921,37.6151,37615.0999
1,420.0550,37.6780,37677.9999
1,421.4572,39.0802,39080.1999
1,421.7355,39.3585,39358.4999
1,422.5995,40.2225,40222.4999
1,422.6056,40.2286,40228.5999
1,422.6172,40.2402,40240.1999
1,423.4742,41.0972,41097.1999
1,423.4866,41.1096,41109.5999
1,423.4976,41.1206,41120.5999
1,424.8581,42.4811,42481.0999
1,424.9757,42.5987,42598.6999
1,425.0024,42.6254,42625.3999
1,425.0552,42.6782,42678.1999
1,425.1151,42.7381,42738.0999
1,425.3941,43.0171,43017.0999
1,425.4053,43.0283,43028.2999
1,425.4145,43.0375,43037.4999
1,425.7539,43.3769,43376.8999
1,425.7979,43.4209,43420.8999
1,426.0310,43.6540,43653.9999
1,426.0479,43.6709,43670.8999
1,426.0817,43.7047,43704.6999
1,426.0998,43.7228,43722.7999
1,426.1361,43.7591,43759.0999
1,429.8678,47.4908,47490.7999
1,430.5485,48.1715,48171.4999
1,430.5650,48.1880,48187.9999
1,430.6022,48.2252,48225.1999
1,432.1241,49.7471,49747.0999
1,432.6905,50.3135,50313.4999
1,432.6952,50.3182,50318.1999
1,435.9878,53.6108,53610.7999
1,437.9092,55.5322,55532.1999
1,438.7311,56.3541,56354.0999
1,441.4697,59.0927,59092.6999
1,441.4775,59.1005,59100.4999
1,441.4963,59.1193,59119.2999
1,443.7427,61.3657,61365.6999
1,444.8634,62.4864,62486.3999
1,445.1169,62.7399,62739.8999
1,446.2557,63.8787,63878.6999
1,446.2604,63.8834,63883.3999
1,447.1186,64.7416,64741.5999
1,447.6399,65.2629,65262.8999
1,447.7220,65.3450,65344.9999
1,447.8895,65.5125,65512.4999
1,447.8952,65.5182,65518.1999
1,447.9119,65.5349,65534.8999
1,448.4418,66.0648,66064.7999
1,448.4498,66.0728,66072.7999
1,448.5849,66.2079,66207.8999
1,448.5921,66.2151,66215.0999
1,448.6032,66.2262,66226.1999
1,448.6656,66.2886,66288.5999
1,448.6850,66.3080,66307.9999
1,448.6947,66.3177,66317.6999
1,448.7019,66.3249,66324.8999
1,448.8371,66.4601,66460.0999
1,448.9097,66.5327,66532.6999
1,449.4128,67.0358,67035.7999
1,450.1014,67.7244,67724.3999
1,451.2327,68.8557,68855.6999
1,452.4639,70.0869,70086.8999
1,458.1199,75.7429,75742.8999
1,458.1254,75.7484,75748.3999
1,458.2769,75.8999,75899.8999
1,461.3891,79.0121,79012.0999
1,461.8452,79.4682,79468.1999
1,462.6936,80.3166,80316.5999
1,464.1558,81.7788,81778.7999
1,464.1625,81.7855,81785.4999
1,464.1825,81.8055,81805.4999
1,464.1921,81.8151,81815.0999
1,464.1993,81.8223,81822.2999
1,464.2165,81.8395,81839.4999
1,464.2273,81.8503,81850.2999
1,464.2300,81.8530,81852.9999
1,464.2378,81.8608,81860.7999
1,464.2452,81.8682,81868.1999
1,464.2594,81.8824,81882.3999
1,467.1560,84.7790,84778.9999
1,468.3684,85.9914,85991.3999
1,468.3757,85.9987,85998.6999
1,468.3898,86.0128,86012.7999
1,468.4033,86.0263,86026.2999
1,468.7352,86.3582,86358.1999
1,468.7898,86.4128,86412.7999
1,468.8037,86.4267,86426.6999
1,468.8108,86.4338,86433.7999
1,469.5523,87.1753,87175.2999
1,469.5587,87.1817,87181.6999
1,469.5661,87.1891,87189.0999
1,469.6904,87.3134,87313.3999
1,469.7983,87.4213,87421.2999
1,471.3541,88.9771,88977.0999
1,472.0136,89.6366,89636.5999
1,472.0222,89.6452,89645.1999
1,472.1562,89.7792,89779.1999
1,472.9973,90.6203,90620.2999
1,473.0045,90.6275,90627.4999
1,473.3231,90.9461,90946.0999
1,473.3294,90.9524,90952.3999
1,473.9049,91.5279,91527.8999
1,474.1498,91.7728,91772.7999
1,474.3458,91.9688,91968.7999
1,474.6507,92.2737,92273.6999
1,474.9392,92.5622,92562.1999
1,474.9442,92.5672,92567.1999
1,476.4164,94.0394,94039.3999
1,476.4568,94.0798,94079.7999
1,477.5464,95.1694,95169.3999
1,477.8511,95.4741,95474.0999
1,477.8619,95.4849,95484.8999
1,478.2918,95.9148,95914.7999
1,478.8340,96.4570,96456.9999
1,479.1897,96.8127,96812.6999
1,482.5486,100.1716,100171.5999
1,482.8123,100.4353,100435.2999
1,482.9380,100.5610,100560.9999
1,483.7032,101.3262,101326.1999
1,483.7154,101.3384,101338.3999
1,488.3082,105.9312,105931.1999
1,489.5418,107.1648,107164.7999
1,489.5527,107.1757,107175.6999
1,490.6876,108.3106,108310.5999
1,491.0523,108.6753,108675.2999
1,491.0578,108.6808,108680.7999
1,491.0663,108.6893,108689.2999
1,491.0784,108.7014,108701.3999
1,491.0883,108.7113,108711.2999
1,491.0948,108.7178,108717.7999
1,491.1028,108.7258,108725.7999
1,493.5756,111.1986,111198.5999
1,494.0916,111.7146,111714.5999
1,494.0986,111.7216,111721.5999
1,495.9796,113.6026,113602.5999
1,495.9858,113.6088,113608.7999
1,495.9941,113.6171,113617.0999
1,496.0861,113.7091,113709.0999
1,496.3320,113.9550,113954.9999
1,497.7495,115.3725,115372.4999
1,498.3274,115.9504,115950.3999
1,498.6349,116.2579,116257.8999
1,499.2781,116.9011,116901.0999
1,499.9185,117.5415,117541.4999
1,500.1972,117.8202,117820.1999
1,500.2110,117.8340,117833.9999
1,500.3427,117.9657,117965.6999
1,500.3485,117.9715,117971.4999
1,500.3765,117.9995,117999.4999
1,500.4006,118.0236,118023.5999
1,500.4337,118.0567,118056.6999
1,500.4480,118.0710,118070.9999
1,500.4573,118.0803,118080.2999
1,500.6468,118.2698,118269.7999
1,501.0968,118.7198,118719.7999
1,501.1039,118.7269,118726.8999
1,501.1212,118.7442,118744.1999
1,501.1569,118.7799,118779.8999
1,501.1792,118.8022,118802.1999
1,502.5880,120.2110,120210.9999
1,502.7013,120.3243,120324.2999
1,502.9788,120.6018,120601.7999
1,502.9872,120.6102,120610.1999
1,502.9993,120.6223,120622.2999
1,504.6362,122.2592,122259.1999
1,504.6484,122.2714,122271.3999
1,504.6592,122.2822,122282.1999
1,504.6715,122.2945,122294.4999
1,505.8146,123.4376,123437.5999
1,506.0342,123.6572,123657.1999
1,506.4545,124.0775,124077.4999
1,506.4709,124.0939,124093.8999
1,507.6982,125.3212,125321.1999
1,507.7184,125.3414,125341.3999
1,507.7768,125.3998,125399.7999
1,508.7515,126.3745,126374.4999
1,508.7576,126.3806,126380.5999
1,510.3964,128.0194,128019.3999
1,510.4049,128.0279,128027.8999
1,510.4802,128.1032,128103.1999
1,510.4856,128.1086,128108.5999
1,511.3718,128.9948,128994.7999
1,511.4116,129.0346,129034.5999
1,511.4236,129.0466,129046.5999
1,511.7869,129.4099,129409.8999
1,511.9631,129.5861,129586.0999
1,515.8094,133.4324,133432.3999
1,516.3283,133.9513,133951.2999
1,518.6271,136.2501,136250.0999
1,518.6331,136.2561,136256.0999
1,518.6483,136.2713,136271.2999
1,519.4538,137.0768,137076.7999
1,521.2990,138.9220,138921.9999
1,526.0682,143.6912,143691.1999
1,526.1703,143.7933,143793.2999
1,527.3236,144.9466,144946.5999
1,527.3594,144.9824,144982.3999
1,527.4976,145.1206,145120.5999
1,527.5057,145.1287,145128.6999
1,527.5193,145.1423,145142.2999
1,527.5723,145.1953,145195.2999
1,529.5492,147.1722,147172.1999
1,531.8188,149.4418,149441.7999
1,532.2688,149.8918,149891.7999
1,534.6529,152.2759,152275.8999
1,535.8755,153.4985,153498.4999
1,535.9353,153.5583,153558.2999
1,537.1017,154.7247,154724.6999
1,537.2516,154.8746,154874.5999
1,538.2311,155.8541,155854.0999
1,543.3656,160.9886,160988.5999
1,543.3710,160.9940,160993.9999
