units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,387.5521,5.1751,5175.0999
2,400.3403,17.9633,17963.2999
2,434.7828,52.4058,52405.7999
2,439.7821,57.4051,57405.0999
2,449.8639,67.4869,67486.8999
2,469.5440,87.1670,87166.9999
2,474.1827,91.8057,91805.6999
2,490.6259,108.2489,108248.8999
2,524.3359,141.9589,141958.8999
2,526.3164,143.9394,143939.3999
2,577.0384,194.6614,194661.3999
2,600.7614,218.3844,218384.3999
2,623.2860,240.9090,240908.9999
2,920.9489,538.5719,538571.8999
2,959.3452,576.9682,576968.1999
2,980.5516,598.1746,598174.5999
2,985.4215,603.0445,603044.4999
2,1019.8235,637.4465,637446.4999
2,1021.1017,638.7247,638724.6999
2,1021.2922,638.9152,638915.1999
2,1051.7184,669.3414,669341.3999
2,1052.7517,670.3747,670374.6999
2,1052.7568,670.3798,670379.7999
2,1055.7489,673.3719,673371.8999
2,1060.5896,678.2126,678212.5999
2,1067.9609,685.5839,685583.8999
2,1083.4200,701.0430,701042.9999
2,1083.4228,701.0458,701045.7999
2,1084.1463,701.7693,701769.2999
2,1094.1240,711.7470,711746.9999
2,1094.1318,711.7548,711754.7999
2,1117.6068,735.2298,735229.7999
2,1117.6097,735.2327,735232.6999
2,1119.4904,737.1134,737113.3999
2,1119.4928,737.1158,737115.7999
2,1120.6390,738.2620,738261.9999
2,1120.7516,738.3746,738374.5999
2,1135.9495,753.5725,753572.4999
2,1136.3804,754.0034,754003.3999
2,1139.8156,757.4386,757438.5999
2,1140.1017,757.7247,757724.6999
2,1140.7302,758.3532,758353.1999
2,1142.8725,760.4955,760495.4999
2,1142.8753,760.4983,760498.2999
2,1142.8780,760.5010,760500.9999
2,1145.6382,763.2612,763261.1999
2,1155.9642,773.5872,773587.1999
2,1163.1394,780.7624,780762.3999
2,1175.6927,793.3157,793315.6999
2,1188.0910,805.7140,805713.9999
2,1188.8696,806.4926,806492.5999
2,1206.4764,824.0994,824099.3999
2,1206.6391,824.2621,824262.0999
2,1207.7808,825.4038,825403.7999
2,1226.5079,844.1309,844130.8999
2,1227.1785,844.8015,844801.4999
2,1228.9596,846.5826,846582.5999
2,1235.5522,853.1752,853175.1999
2,1244.4998,862.1228,862122.7999
2,1246.3181,863.9411,863941.0999
2,1246.9925,864.6155,864615.4999
2,1250.0209,867.6439,867643.8999
2,1251.9873,869.6103,869610.2999
2,1251.9959,869.6189,869618.8999
2,1280.4043,898.0273,898027.2999
2,1280.9015,898.5245,898524.4999
2,1280.9837,898.6067,898606.6999
2,1285.7804,903.4034,903403.3999
2,1291.4637,909.0867,909086.6999
2,1313.8294,931.4524,931452.3999
2,1360.2530,977.8760,977875.9999
2,1377.6826,995.3056,995305.5999
2,1377.6921,995.3151,995315.0999
2,1377.6953,995.3183,995318.2999
2,1378.0427,995.6657,995665.6999
2,1378.3803,996.0033,996003.2999
2,1385.5733,1003.1963,1003196.2999
2,1399.5071,1017.1301,1017130.0999
2,1408.0516,1025.6746,1025674.5999
2,1408.0994,1025.7224,1025722.3999
2,1409.7167,1027.3397,1027339.6999
2,1409.7328,1027.3558,1027355.7999
2,1409.7472,1027.3702,1027370.1999
2,1409.7499,1027.3729,1027372.8999
2,1427.3887,1045.0117,1045011.6999
2,1437.2498,1054.8728,1054872.7999
2,1446.0718,1063.6948,1063694.7999
2,1448.4130,1066.0360,1066035.9999
2,1463.2742,1080.8972,1080897.1999
2,1492.1725,1109.7955,1109795.4999
2,1505.7064,1123.3294,1123329.3999
2,1507.4334,1125.0564,1125056.3999
