bin_10s,spike_count,firing_rate_hz
0,130,13.0
1,92,9.2
2,124,12.4
3,117,11.7
4,118,11.8
5,111,11.1
6,109,10.9
7,91,9.1
8,98,9.8
9,79,7.9
10,77,7.7
11,88,8.8
12,75,7.5
13,63,6.3
14,147,14.7
15,151,15.1
16,82,8.2
17,174,17.4
18,144,14.4
19,99,9.9
20,95,9.5
21,115,11.5
22,92,9.2
23,40,4.0
24,34,3.4
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,31,3.1
53,98,9.8
54,97,9.7
55,70,7.0
56,81,8.1
57,78,7.8
58,95,9.5
59,97,9.7
60,120,12.0
61,119,11.9
62,77,7.7
63,84,8.4
64,9,0.9
65,86,8.6
66,82,8.2
67,111,11.1
68,95,9.5
69,73,7.3
70,64,6.4
71,93,9.3
72,69,6.9
73,80,8.0
74,77,7.7
75,71,7.1
76,54,5.4
77,63,6.3
78,88,8.8
79,63,6.3
80,87,8.7
81,51,5.1
82,79,7.9
83,80,8.0
84,68,6.8
85,66,6.6
86,82,8.2
87,60,6.0
88,69,6.9
89,61,6.1
90,72,7.2
91,38,3.8
92,84,8.4
93,60,6.0
94,55,5.5
95,85,8.5
96,102,10.2
97,87,8.7
98,89,8.9
99,58,5.8
100,103,10.3
101,72,7.2
102,56,5.6
103,65,6.5
104,37,3.7
105,46,4.6
106,34,3.4
107,71,7.1
108,70,7.0
109,65,6.5
110,78,7.8
111,84,8.4
112,74,7.4
113,49,4.9
114,52,5.2
115,81,8.1
116,45,4.5
117,42,4.2
118,55,5.5
119,39,3.9
120,43,4.3
121,50,5.0
122,83,8.3
123,70,7.0
124,90,9.0
125,64,6.4
126,59,5.9
127,80,8.0
128,56,5.6
129,84,8.4
130,56,5.6
131,44,4.4
132,49,4.9
133,52,5.2
134,36,3.6
135,30,3.0
136,89,8.9
137,83,8.3
138,81,8.1
139,79,7.9
140,37,3.7
141,54,5.4
142,51,5.1
143,46,4.6
144,50,5.0
145,46,4.6
146,57,5.7
147,62,6.2
148,67,6.7
149,60,6.0
150,86,8.6
151,27,2.7
152,68,6.8
153,40,4.0
154,57,5.7
155,18,1.8
156,59,5.9
157,37,3.7
158,42,4.2
159,57,5.7
160,68,6.8
161,58,5.8
162,42,4.2
163,52,5.2
164,46,4.6
165,57,5.7
166,53,5.3
167,41,4.1
168,60,6.0
169,50,5.0
170,55,5.5
171,41,4.1
172,37,3.7
173,75,7.5
174,61,6.1
175,64,6.4
176,50,5.0
177,61,6.1
178,50,5.0
179,57,5.7
180,36,3.6
181,48,4.8
182,46,4.6
183,59,5.9
184,48,4.8
185,58,5.8
186,48,4.8
187,38,3.8
188,40,4.0
189,31,3.1
190,67,6.7
191,64,6.4
192,36,3.6
193,53,5.3
194,44,4.4
195,50,5.0
196,40,4.0
197,56,5.6
198,51,5.1
199,56,5.6
200,68,6.8
201,56,5.6
202,50,5.0
203,47,4.7
204,59,5.9
205,44,4.4
206,68,6.8
207,59,5.9
208,86,8.6
209,63,6.3
210,52,5.2
211,42,4.2
212,64,6.4
213,77,7.7
214,97,9.7
215,91,9.1
216,73,7.3
217,44,4.4
218,51,5.1
219,46,4.6
220,57,5.7
221,40,4.0
222,85,8.5
223,94,9.4
224,46,4.6
225,73,7.3
226,55,5.5
227,43,4.3
228,56,5.6
229,49,4.9
230,52,5.2
231,39,3.9
232,51,5.1
233,29,2.9
234,66,6.6
235,42,4.2
236,34,3.4
237,28,2.8
238,28,2.8
239,42,4.2
240,32,3.2
241,39,3.9
242,30,3.0
243,16,1.6
244,9,0.9
245,30,3.0
246,27,2.7
247,29,2.9
