bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,1,0.1
2,0,0.0
3,0,0.0
4,0,0.0
5,2,0.2
6,1,0.1
7,0,0.0
8,1,0.1
9,1,0.1
10,1,0.1
11,0,0.0
12,0,0.0
13,0,0.0
14,2,0.2
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,1,0.1
20,0,0.0
21,1,0.1
22,0,0.0
23,0,0.0
24,1,0.1
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,1,0.1
54,0,0.0
55,0,0.0
56,0,0.0
57,1,0.1
58,0,0.0
59,1,0.1
60,1,0.1
61,0,0.0
62,0,0.0
63,3,0.3
64,0,0.0
65,0,0.0
66,1,0.1
67,4,0.4
68,1,0.1
69,0,0.0
70,3,0.3
71,2,0.2
72,0,0.0
73,6,0.6
74,0,0.0
75,5,0.5
76,4,0.4
77,1,0.1
78,1,0.1
79,1,0.1
80,2,0.2
81,0,0.0
82,3,0.3
83,0,0.0
84,3,0.3
85,1,0.1
86,6,0.6
87,0,0.0
88,0,0.0
89,3,0.3
90,2,0.2
91,0,0.0
92,0,0.0
93,1,0.1
94,0,0.0
95,0,0.0
96,0,0.0
97,1,0.1
98,0,0.0
99,5,0.5
100,1,0.1
101,1,0.1
102,6,0.6
103,0,0.0
104,1,0.1
105,1,0.1
106,2,0.2
107,0,0.0
108,1,0.1
109,0,0.0
110,1,0.1
111,0,0.0
112,2,0.2
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,1,0.1
118,0,0.0
119,1,0.1
120,1,0.1
121,0,0.0
122,0,0.0
123,1,0.1
124,2,0.2
125,0,0.0
126,0,0.0
127,3,0.3
128,1,0.1
129,1,0.1
130,4,0.4
131,0,0.0
132,1,0.1
133,0,0.0
134,1,0.1
135,3,0.3
136,0,0.0
137,2,0.2
138,1,0.1
139,1,0.1
140,2,0.2
141,1,0.1
142,0,0.0
143,3,0.3
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,1,0.1
149,0,0.0
150,0,0.0
151,0,0.0
152,1,0.1
153,1,0.1
154,1,0.1
155,1,0.1
156,4,0.4
157,1,0.1
158,1,0.1
159,4,0.4
160,1,0.1
161,0,0.0
162,4,0.4
163,1,0.1
164,2,0.2
165,3,0.3
166,0,0.0
167,10,1.0
168,0,0.0
169,1,0.1
170,1,0.1
171,0,0.0
172,2,0.2
173,0,0.0
174,1,0.1
175,2,0.2
176,2,0.2
177,3,0.3
178,0,0.0
179,0,0.0
180,5,0.5
181,1,0.1
182,0,0.0
183,1,0.1
184,3,0.3
185,3,0.3
186,1,0.1
187,0,0.0
188,1,0.1
189,0,0.0
190,0,0.0
191,1,0.1
192,3,0.3
193,0,0.0
194,0,0.0
195,2,0.2
196,3,0.3
197,3,0.3
198,0,0.0
199,0,0.0
200,4,0.4
201,0,0.0
202,1,0.1
203,1,0.1
204,0,0.0
205,0,0.0
206,3,0.3
207,2,0.2
208,3,0.3
209,0,0.0
210,0,0.0
211,0,0.0
212,1,0.1
213,1,0.1
214,3,0.3
215,2,0.2
216,0,0.0
217,1,0.1
218,1,0.1
219,0,0.0
220,0,0.0
221,0,0.0
222,1,0.1
223,1,0.1
224,3,0.3
225,1,0.1
226,0,0.0
227,2,0.2
228,2,0.2
229,1,0.1
230,1,0.1
231,0,0.0
232,5,0.5
233,2,0.2
234,2,0.2
235,1,0.1
236,0,0.0
237,5,0.5
238,0,0.0
239,2,0.2
240,1,0.1
241,0,0.0
242,5,0.5
243,0,0.0
244,0,0.0
245,1,0.1
246,1,0.1
247,2,0.2
