bin_10s,spike_count,firing_rate_hz
0,2,0.2
1,0,0.0
2,1,0.1
3,0,0.0
4,0,0.0
5,2,0.2
6,1,0.1
7,1,0.1
8,4,0.4
9,0,0.0
10,0,0.0
11,2,0.2
12,2,0.2
13,1,0.1
14,0,0.0
15,2,0.2
16,0,0.0
17,1,0.1
18,1,0.1
19,1,0.1
20,0,0.0
21,0,0.0
22,1,0.1
23,1,0.1
24,1,0.1
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,2,0.2
53,0,0.0
54,4,0.4
55,1,0.1
56,5,0.5
57,2,0.2
58,1,0.1
59,3,0.3
60,2,0.2
61,3,0.3
62,1,0.1
63,2,0.2
64,0,0.0
65,0,0.0
66,1,0.1
67,0,0.0
68,5,0.5
69,3,0.3
70,4,0.4
71,1,0.1
72,1,0.1
73,2,0.2
74,0,0.0
75,0,0.0
76,3,0.3
77,5,0.5
78,0,0.0
79,1,0.1
80,1,0.1
81,3,0.3
82,8,0.8
83,2,0.2
84,4,0.4
85,0,0.0
86,2,0.2
87,4,0.4
88,0,0.0
89,3,0.3
90,1,0.1
91,2,0.2
92,0,0.0
93,1,0.1
94,0,0.0
95,2,0.2
96,0,0.0
97,2,0.2
98,2,0.2
99,1,0.1
100,1,0.1
101,1,0.1
102,3,0.3
103,1,0.1
104,4,0.4
105,1,0.1
106,3,0.3
107,1,0.1
108,0,0.0
109,3,0.3
110,2,0.2
111,2,0.2
112,2,0.2
113,0,0.0
114,3,0.3
115,1,0.1
116,2,0.2
117,9,0.9
118,1,0.1
119,0,0.0
120,1,0.1
121,1,0.1
122,1,0.1
123,5,0.5
124,1,0.1
125,3,0.3
126,0,0.0
127,3,0.3
128,0,0.0
129,0,0.0
130,2,0.2
131,0,0.0
132,0,0.0
133,0,0.0
134,1,0.1
135,2,0.2
136,1,0.1
137,0,0.0
138,3,0.3
139,0,0.0
140,1,0.1
141,1,0.1
142,0,0.0
143,1,0.1
144,0,0.0
145,0,0.0
146,3,0.3
147,1,0.1
148,0,0.0
149,3,0.3
150,0,0.0
151,8,0.8
152,3,0.3
153,1,0.1
154,0,0.0
155,0,0.0
156,2,0.2
157,0,0.0
158,1,0.1
159,2,0.2
160,3,0.3
161,2,0.2
162,3,0.3
163,1,0.1
164,6,0.6
165,3,0.3
166,1,0.1
167,0,0.0
168,0,0.0
169,2,0.2
170,3,0.3
171,3,0.3
172,5,0.5
173,2,0.2
174,3,0.3
175,2,0.2
176,0,0.0
177,0,0.0
178,1,0.1
179,1,0.1
180,1,0.1
181,0,0.0
182,1,0.1
183,2,0.2
184,0,0.0
185,2,0.2
186,0,0.0
187,0,0.0
188,1,0.1
189,2,0.2
190,3,0.3
191,1,0.1
192,3,0.3
193,1,0.1
194,0,0.0
195,2,0.2
196,0,0.0
197,1,0.1
198,2,0.2
199,0,0.0
200,5,0.5
201,6,0.6
202,0,0.0
203,3,0.3
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,8,0.8
209,0,0.0
210,0,0.0
211,1,0.1
212,0,0.0
213,2,0.2
214,5,0.5
215,2,0.2
216,0,0.0
217,0,0.0
218,1,0.1
219,2,0.2
220,1,0.1
221,0,0.0
222,0,0.0
223,3,0.3
224,1,0.1
225,0,0.0
226,1,0.1
227,0,0.0
228,0,0.0
229,0,0.0
230,1,0.1
231,1,0.1
232,1,0.1
233,3,0.3
234,1,0.1
235,0,0.0
236,0,0.0
237,2,0.2
238,1,0.1
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,2,0.2
244,0,0.0
245,0,0.0
246,1,0.1
