units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,602.0792,0.0862,86.1594
2,602.3094,0.3164,316.3594
2,602.6619,0.6689,668.8594
2,602.7030,0.7100,709.9594
2,602.7911,0.7981,798.0594
2,602.8176,0.8246,824.5594
2,602.9634,0.9704,970.3594
2,603.0703,1.0773,1077.2594
2,603.2783,1.2853,1285.2594
2,603.4818,1.4888,1488.7594
2,604.4331,2.4401,2440.0594
2,609.0479,7.0549,7054.8594
2,609.1412,7.1482,7148.1594
2,609.1996,7.2066,7206.5594
2,609.3730,7.3800,7379.9594
2,609.4115,7.4185,7418.4594
2,610.0193,8.0263,8026.2594
2,611.5979,9.6049,9604.8594
2,611.8304,9.8374,9837.3594
2,611.9787,9.9857,9985.6594
2,612.9603,10.9673,10967.2594
2,613.6858,11.6928,11692.7594
2,614.9095,12.9165,12916.4594
2,615.2854,13.2924,13292.3594
2,615.4433,13.4503,13450.2594
2,615.5860,13.5930,13592.9594
2,615.7070,13.7140,13713.9594
2,615.8679,13.8749,13874.8594
2,616.1008,14.1078,14107.7594
2,616.1471,14.1541,14154.0594
2,616.3466,14.3536,14353.5594
2,616.6875,14.6945,14694.4594
2,617.1785,15.1855,15185.4594
2,617.7033,15.7103,15710.2594
2,618.0561,16.0631,16063.0594
2,618.1205,16.1275,16127.4594
2,618.1961,16.2031,16203.0594
2,618.2932,16.3002,16300.1594
2,618.3061,16.3131,16313.0594
2,618.5133,16.5203,16520.2594
2,619.2952,17.3022,17302.1594
2,619.4326,17.4396,17439.5594
2,619.4694,17.4764,17476.3594
2,619.5552,17.5622,17562.1594
2,619.5930,17.6000,17599.9594
2,619.7773,17.7843,17784.2594
2,620.0833,18.0903,18090.2594
2,620.5338,18.5408,18540.7594
2,622.6550,20.6620,20661.9594
2,622.7161,20.7231,20723.0594
2,622.9821,20.9891,20989.0594
2,623.0322,21.0392,21039.1594
2,630.5623,28.5693,28569.2594
2,630.6325,28.6395,28639.4594
2,631.6945,29.7015,29701.4594
2,639.5966,37.6036,37603.5594
2,639.9055,37.9125,37912.4594
2,642.2187,40.2257,40225.6594
2,642.8316,40.8386,40838.5594
2,642.9917,40.9987,40998.6594
2,649.9590,47.9660,47965.9594
2,650.1095,48.1165,48116.4594
2,650.8322,48.8392,48839.1594
2,650.9535,48.9605,48960.4594
2,652.5164,50.5234,50523.3594
2,652.6238,50.6308,50630.7594
2,656.2695,54.2765,54276.4594
2,656.5294,54.5364,54536.3594
2,657.7613,55.7683,55768.2594
2,657.8600,55.8670,55866.9594
2,657.8867,55.8937,55893.6594
2,658.0955,56.1025,56102.4594
2,658.2168,56.2238,56223.7594
2,659.3176,57.3246,57324.5594
2,659.4560,57.4630,57462.9594
2,659.4941,57.5011,57501.0594
2,659.9921,57.9991,57999.0594
2,660.4265,58.4335,58433.4594
2,664.4781,62.4851,62485.0594
