units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,603.3887,1.3957,1395.6594
1,603.5733,1.5803,1580.2594
1,603.6875,1.6945,1694.4594
1,605.9028,3.9098,3909.7594
1,605.9669,3.9739,3973.8594
1,606.1888,4.1958,4195.7594
1,606.3628,4.3698,4369.7594
1,607.6012,5.6082,5608.1594
1,608.2452,6.2522,6252.1594
1,609.8417,7.8487,7848.6594
1,610.9681,8.9751,8975.0594
1,611.2670,9.2740,9273.9594
1,612.0827,10.0897,10089.6594
1,612.6246,10.6316,10631.5594
1,613.9906,11.9976,11997.5594
1,618.3118,16.3188,16318.7594
1,621.2067,19.2137,19213.6594
1,623.8146,21.8216,21821.5594
1,628.3729,26.3799,26379.8594
1,628.6000,26.6070,26606.9594
1,628.8273,26.8343,26834.2594
1,630.1754,28.1824,28182.3594
1,631.2502,29.2572,29257.1594
1,631.2635,29.2705,29270.4594
1,631.4607,29.4677,29467.6594
1,631.4714,29.4784,29478.3594
1,631.5140,29.5210,29520.9594
1,631.5670,29.5740,29573.9594
1,632.2642,30.2712,30271.1594
1,632.8215,30.8285,30828.4594
1,633.5621,31.5691,31569.0594
1,633.8184,31.8254,31825.3594
1,633.9598,31.9668,31966.7594
1,634.0537,32.0607,32060.6594
1,634.2614,32.2684,32268.3594
1,635.0461,33.0531,33053.0594
1,637.6322,35.6392,35639.1594
1,637.8447,35.8517,35851.6594
1,637.9712,35.9782,35978.1594
1,639.4061,37.4131,37413.0594
1,644.9677,42.9747,42974.6594
1,645.2411,43.2481,43248.0594
1,645.8590,43.8660,43865.9594
1,646.0110,44.0180,44017.9594
1,646.2901,44.2971,44297.0594
1,646.3600,44.3670,44366.9594
1,646.3924,44.3994,44399.3594
1,647.2517,45.2587,45258.6594
1,647.2913,45.2983,45298.2594
1,647.5354,45.5424,45542.3594
1,650.6985,48.7055,48705.4594
1,654.0060,52.0130,52012.9594
1,656.8680,54.8750,54874.9594
1,660.3615,58.3685,58368.4594
1,662.8178,60.8248,60824.7594
1,664.8520,62.8590,62858.9594
1,665.3889,63.3959,63395.8594
1,666.0967,64.1037,64103.6594
1,666.4094,64.4164,64416.3594
1,667.5836,65.5906,65590.5594
1,667.7415,65.7485,65748.4594
1,669.4198,67.4268,67426.7594
1,669.5345,67.5415,67541.4594
1,669.5441,67.5511,67551.0594
1,670.5192,68.5262,68526.1594
1,672.9970,71.0040,71003.9594
1,673.8965,71.9035,71903.4594
1,674.7482,72.7552,72755.1594
1,674.8232,72.8302,72830.1594
1,674.8512,72.8582,72858.1594
1,676.3335,74.3405,74340.4594
1,676.4249,74.4319,74431.8594
1,676.4435,74.4505,74450.4594
1,676.4690,74.4760,74475.9594
1,676.4918,74.4988,74498.7594
1,676.6131,74.6201,74620.0594
1,676.7537,74.7607,74760.6594
1,679.6903,77.6973,77697.2594
1,688.2710,86.2780,86277.9594
1,688.3909,86.3979,86397.8594
1,688.4893,86.4963,86496.2594
1,690.7969,88.8039,88803.8594
1,692.4995,90.5065,90506.4594
1,693.9766,91.9836,91983.5594
1,696.2970,94.3040,94303.9594
1,698.8771,96.8841,96884.0594
1,699.1575,97.1645,97164.4594
1,700.4831,98.4901,98490.0594
1,701.6638,99.6708,99670.7594
1,702.9728,100.9798,100979.7594
1,704.8129,102.8199,102819.8594
1,707.5404,105.5474,105547.3594
1,707.5735,105.5805,105580.4594
1,707.7724,105.7794,105779.3594
1,710.4732,108.4802,108480.1594
1,710.9594,108.9664,108966.3594
1,711.5874,109.5944,109594.3594
1,712.4747,110.4817,110481.6594
1,715.6504,113.6574,113657.3594
1,717.5465,115.5535,115553.4594
1,717.5931,115.6001,115600.0594
1,719.4098,117.4168,117416.7594
1,721.5455,119.5525,119552.4594
1,721.9645,119.9715,119971.4594
1,722.4420,120.4490,120448.9594
1,722.4912,120.4982,120498.1594
1,722.5479,120.5549,120554.8594
1,722.6021,120.6091,120609.0594
1,722.6131,120.6201,120620.0594
1,722.7316,120.7386,120738.5594
1,723.4276,121.4346,121434.5594
1,723.4725,121.4795,121479.4594
1,723.5609,121.5679,121567.8594
1,723.5854,121.5924,121592.3594
1,726.2967,124.3037,124303.6594
1,726.3339,124.3409,124340.8594
1,726.3672,124.3742,124374.1594
1,726.9425,124.9495,124949.4594
1,727.2654,125.2724,125272.3594
