units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,609.7121,7.7191,7719.0594
2,612.2912,10.2982,10298.1594
2,668.0137,66.0207,66020.6594
2,668.1323,66.1393,66139.2594
2,668.1345,66.1415,66141.4594
2,668.1881,66.1951,66195.0594
2,668.2284,66.2354,66235.3594
2,668.5609,66.5679,66567.8594
2,670.3618,68.3688,68368.7594
2,674.0471,72.0541,72054.0594
2,678.1645,76.1715,76171.4594
2,741.4132,139.4202,139420.1594
2,741.4831,139.4901,139490.0594
2,813.0270,211.0340,211033.9594
2,821.6826,219.6896,219689.5594
2,822.2250,220.2320,220231.9594
2,861.1989,259.2059,259205.8594
2,862.8705,260.8775,260877.4594
2,878.8828,276.8898,276889.7594
2,892.7140,290.7210,290720.9594
2,905.7510,303.7580,303757.9594
2,910.4637,308.4707,308470.6594
2,923.6653,321.6723,321672.2594
2,924.1654,322.1724,322172.3594
2,944.0375,342.0445,342044.4594
2,951.3581,349.3651,349365.0594
2,953.0916,351.0986,351098.5594
2,956.5381,354.5451,354545.0594
2,957.5465,355.5535,355553.4594
2,958.5516,356.5586,356558.5594
2,959.6880,357.6950,357694.9594
2,963.2057,361.2127,361212.6594
2,984.1122,382.1192,382119.1594
2,991.3842,389.3912,389391.1594
2,997.9385,395.9455,395945.4594
2,1009.7652,407.7722,407772.1594
2,1014.2210,412.2280,412227.9594
2,1020.5745,418.5815,418581.4594
2,1029.3229,427.3299,427329.8594
2,1030.0209,428.0279,428027.8594
2,1030.3769,428.3839,428383.8594
2,1043.0543,441.0613,441061.2594
2,1046.5830,444.5900,444589.9594
2,1046.5860,444.5930,444592.9594
2,1050.5685,448.5755,448575.4594
2,1059.3758,457.3828,457382.7594
2,1066.8438,464.8508,464850.7594
2,1067.9360,465.9430,465942.9594
2,1073.9856,471.9926,471992.5594
2,1075.7052,473.7122,473712.1594
2,1075.9232,473.9302,473930.1594
2,1076.2050,474.2120,474211.9594
2,1077.1022,475.1092,475109.1594
2,1077.5852,475.5922,475592.1594
2,1079.5144,477.5214,477521.3594
2,1079.5661,477.5731,477573.0594
2,1080.1116,478.1186,478118.5594
2,1081.1509,479.1579,479157.8594
2,1083.4853,481.4923,481492.2594
2,1086.5567,484.5637,484563.6594
2,1089.5803,487.5873,487587.2594
2,1091.6349,489.6419,489641.8594
2,1092.5384,490.5454,490545.3594
2,1092.5840,490.5910,490590.9594
2,1093.7427,491.7497,491749.6594
