units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2016.2574,1414.2644,1414264.3594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,382.3594,0.3824
1,2016.4991,1414.5061,1414506.0594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,624.0594,0.6241
1,980.4639,378.4709,378470.8594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,376.8594,0.3769
1,980.5651,378.5721,378572.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,478.0594,0.4781
1,981.1508,379.1578,379157.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1063.7594,1.0638
1,981.2587,379.2657,379265.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1171.6594,1.1717
1,981.5128,379.5198,379519.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1425.7594,1.4258
1,741.7074,139.7144,139714.3594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,248.3594,0.2484
1,1594.4648,992.4718,992471.7594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1693.7594,1.6938
1,1595.0052,993.0122,993012.1594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2234.1594,2.2342
1,1595.1910,993.1980,993197.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2419.9594,2.4200
1,1595.2729,993.2799,993279.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2501.8594,2.5019
1,1595.4643,993.4713,993471.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2693.2594,2.6933
1,1595.5709,993.5779,993577.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2799.8594,2.7999
