units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2016.2498,1414.2568,1414256.7594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,374.7594,0.3748
1,2017.4706,1415.4776,1415477.5594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1595.5594,1.5956
1,1595.1203,993.1273,993127.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2349.2594,2.3493
1,1595.2311,993.2381,993238.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2460.0594,2.4601
1,1595.3020,993.3090,993308.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2530.9594,2.5310
1,1595.4301,993.4371,993437.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2659.0594,2.6591
1,1595.4688,993.4758,993475.7594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2697.7594,2.6978
1,1595.4874,993.4944,993494.3594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2716.3594,2.7164
1,1595.5251,993.5321,993532.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2754.0594,2.7541
1,1595.5451,993.5521,993552.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2774.0594,2.7741
1,1595.5845,993.5915,993591.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2813.4594,2.8135
1,1595.5945,993.6015,993601.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2823.4594,2.8235
1,1595.6624,993.6694,993669.3594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2891.3594,2.8914
1,898.3566,296.3636,296363.5594,5,1.0-294948-297828,167.0000,1.0000,1,5,True,294948.0000,297828.0000,1415.5594,1.4156
1,898.8160,296.8230,296822.9594,5,1.0-294948-297828,167.0000,1.0000,1,5,True,294948.0000,297828.0000,1874.9594,1.8750
1,898.8768,296.8838,296883.7594,5,1.0-294948-297828,167.0000,1.0000,1,5,True,294948.0000,297828.0000,1935.7594,1.9358
1,899.3824,297.3894,297389.3594,5,1.0-294948-297828,167.0000,1.0000,1,5,True,294948.0000,297828.0000,2441.3594,2.4414
1,644.9677,42.9747,42974.6594,8,1.0-40539-43039,22.0000,1.0000,0,23,True,40539.0000,43039.0000,2435.6594,2.4357
1,1759.2697,1157.2767,1157276.6594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,406.6594,0.4067
1,1759.3774,1157.3844,1157384.3594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,514.3594,0.5144
1,1759.4480,1157.4550,1157454.9594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,584.9594,0.5850
1,1759.4975,1157.5045,1157504.4594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,634.4594,0.6345
1,1759.5732,1157.5802,1157580.1594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,710.1594,0.7102
1,1759.6615,1157.6685,1157668.4594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,798.4594,0.7985
1,1759.7532,1157.7602,1157760.1594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,890.1594,0.8902
1,1760.6351,1158.6421,1158642.0594,9,1.0-1156870-1158930,477.0000,1.0000,1,7,True,1156870.0000,1158930.0000,1772.0594,1.7721
1,812.9473,210.9543,210954.2594,10,1.0-209934-212143,126.0000,1.0000,1,8,True,209934.0000,212143.0000,1020.2594,1.0203
1,813.0033,211.0103,211010.2594,10,1.0-209934-212143,126.0000,1.0000,1,8,True,209934.0000,212143.0000,1076.2594,1.0763
1,1093.5447,491.5517,491551.6594,11,1.0-491435-493165,257.0000,1.0000,0,24,True,491435.0000,493165.0000,116.6594,0.1167
1,1093.6152,491.6222,491622.1594,11,1.0-491435-493165,257.0000,1.0000,0,24,True,491435.0000,493165.0000,187.1594,0.1872
1,1093.6855,491.6925,491692.4594,11,1.0-491435-493165,257.0000,1.0000,0,24,True,491435.0000,493165.0000,257.4594,0.2575
1,1093.6907,491.6977,491697.6594,11,1.0-491435-493165,257.0000,1.0000,0,24,True,491435.0000,493165.0000,262.6594,0.2627
1,1054.5265,452.5335,452533.4594,13,1.0-451431-453280,246.0000,1.0000,1,10,True,451431.0000,453280.0000,1102.4594,1.1025
1,2497.9190,1895.9260,1895925.9594,16,1.0-1895841-1898071,799.0000,1.0000,1,12,True,1895841.0000,1898071.0000,84.9594,0.0850
1,2497.9951,1896.0021,1896002.0594,16,1.0-1895841-1898071,799.0000,1.0000,1,12,True,1895841.0000,1898071.0000,161.0594,0.1611
1,2498.1507,1896.1577,1896157.6594,16,1.0-1895841-1898071,799.0000,1.0000,1,12,True,1895841.0000,1898071.0000,316.6594,0.3167
