units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2016.0145,1414.0215,1414021.4594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,139.4594,0.1395
1,741.8562,139.8632,139863.1594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,397.1594,0.3972
1,1592.8845,990.8915,990891.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,113.4594,0.1135
1,1593.7275,991.7345,991734.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,956.4594,0.9565
1,1595.6663,993.6733,993673.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2895.2594,2.8953
1,2102.4739,1500.4809,1500480.8594,7,1.0-1500398-1502858,600.0000,1.0000,0,22,True,1500398.0000,1502858.0000,82.8594,0.0829
1,2102.6847,1500.6917,1500691.6594,7,1.0-1500398-1502858,600.0000,1.0000,0,22,True,1500398.0000,1502858.0000,293.6594,0.2937
1,2103.0035,1501.0105,1501010.4594,7,1.0-1500398-1502858,600.0000,1.0000,0,22,True,1500398.0000,1502858.0000,612.4594,0.6125
1,2103.5718,1501.5788,1501578.7594,7,1.0-1500398-1502858,600.0000,1.0000,0,22,True,1500398.0000,1502858.0000,1180.7594,1.1808
1,642.7767,40.7837,40783.6594,8,1.0-40539-43039,22.0000,1.0000,0,23,True,40539.0000,43039.0000,244.6594,0.2447
1,643.7465,41.7535,41753.4594,8,1.0-40539-43039,22.0000,1.0000,0,23,True,40539.0000,43039.0000,1214.4594,1.2145
1,644.1792,42.1862,42186.1594,8,1.0-40539-43039,22.0000,1.0000,0,23,True,40539.0000,43039.0000,1647.1594,1.6472
1,644.8741,42.8811,42881.0594,8,1.0-40539-43039,22.0000,1.0000,0,23,True,40539.0000,43039.0000,2342.0594,2.3421
1,644.8980,42.9050,42904.9594,8,1.0-40539-43039,22.0000,1.0000,0,23,True,40539.0000,43039.0000,2365.9594,2.3660
1,2653.4527,2051.4597,2051459.6594,12,1.0-2051190-2052130,852.0000,1.0000,1,9,True,2051190.0000,2052130.0000,269.6594,0.2697
1,639.7213,37.7283,37728.2594,15,1.0-37569-38629,19.0000,1.0000,0,25,True,37569.0000,38629.0000,159.2594,0.1593
1,1221.5322,619.5392,619539.1594,17,1.0-616388-621398,300.0000,1.0000,0,26,True,616388.0000,621398.0000,3151.1594,3.1512
1,1222.8133,620.8203,620820.2594,17,1.0-616388-621398,300.0000,1.0000,0,26,True,616388.0000,621398.0000,4432.2594,4.4323
1,2683.1557,2081.1627,2081162.6594,18,1.0-2080618-2082818,867.0000,1.0000,1,13,True,2080618.0000,2082818.0000,544.6594,0.5447
1,2684.1144,2082.1214,2082121.3594,18,1.0-2080618-2082818,867.0000,1.0000,1,13,True,2080618.0000,2082818.0000,1503.3594,1.5034
1,2684.1643,2082.1713,2082171.2594,18,1.0-2080618-2082818,867.0000,1.0000,1,13,True,2080618.0000,2082818.0000,1553.2594,1.5533
1,2159.7609,1557.7679,1557767.8594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,982.8594,0.9829
1,2160.5635,1558.5705,1558570.4594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,1785.4594,1.7855
1,2160.7425,1558.7495,1558749.4594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,1964.4594,1.9645
1,2160.8259,1558.8329,1558832.8594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,2047.8594,2.0479
1,2160.8389,1558.8459,1558845.8594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,2060.8594,2.0609
1,2160.9120,1558.9190,1558918.9594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,2133.9594,2.1340
1,2160.9191,1558.9261,1558926.0594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,2141.0594,2.1411
1,2161.6439,1559.6509,1559650.8594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,2865.8594,2.8659
1,2162.9286,1560.9356,1560935.5594,20,1.0-1556785-1561775,634.0000,1.0000,1,15,True,1556785.0000,1561775.0000,4150.5594,4.1506
1,1682.7421,1080.7491,1080749.0594,21,1.0-1080664-1085684,458.0000,1.0000,0,27,True,1080664.0000,1085684.0000,85.0594,0.0851
1,1682.9591,1080.9661,1080966.0594,21,1.0-1080664-1085684,458.0000,1.0000,0,27,True,1080664.0000,1085684.0000,302.0594,0.3021
1,1683.0145,1081.0215,1081021.4594,21,1.0-1080664-1085684,458.0000,1.0000,0,27,True,1080664.0000,1085684.0000,357.4594,0.3575
1,1311.4556,709.4626,709462.5594,23,1.0-708909-710939,330.0000,1.0000,1,17,True,708909.0000,710939.0000,553.5594,0.5536
1,1311.6959,709.7029,709702.8594,23,1.0-708909-710939,330.0000,1.0000,1,17,True,708909.0000,710939.0000,793.8594,0.7939
1,1312.5791,710.5861,710586.0594,23,1.0-708909-710939,330.0000,1.0000,1,17,True,708909.0000,710939.0000,1677.0594,1.6771
1,2204.7927,1602.7997,1602799.6594,28,1.0-1602762-1605522,650.0000,1.0000,1,20,True,1602762.0000,1605522.0000,37.6594,0.0377
1,2204.9665,1602.9735,1602973.4594,28,1.0-1602762-1605522,650.0000,1.0000,1,20,True,1602762.0000,1605522.0000,211.4594,0.2115
