bin_10s,spike_count,firing_rate_hz
0,12,1.2
1,4,0.4
2,9,0.9
3,7,0.7
4,11,1.1
5,8,0.8
6,10,1.0
7,3,0.3
8,11,1.1
9,7,0.7
10,3,0.3
11,10,1.0
12,4,0.4
13,8,0.8
14,9,0.9
15,9,0.9
16,2,0.2
17,9,0.9
18,8,0.8
19,8,0.8
20,5,0.5
21,4,0.4
22,5,0.5
23,7,0.7
24,6,0.6
25,8,0.8
26,8,0.8
27,9,0.9
28,2,0.2
29,5,0.5
30,6,0.6
31,9,0.9
32,5,0.5
33,6,0.6
34,9,0.9
35,5,0.5
36,10,1.0
37,7,0.7
38,4,0.4
39,2,0.2
40,4,0.4
41,4,0.4
42,4,0.4
43,5,0.5
44,6,0.6
45,7,0.7
46,2,0.2
47,1,0.1
48,9,0.9
49,3,0.3
50,5,0.5
51,4,0.4
52,10,1.0
53,9,0.9
54,6,0.6
55,9,0.9
56,4,0.4
57,8,0.8
58,5,0.5
59,8,0.8
60,5,0.5
61,6,0.6
62,7,0.7
63,10,1.0
64,5,0.5
65,6,0.6
66,8,0.8
67,15,1.5
68,5,0.5
69,10,1.0
70,12,1.2
71,12,1.2
72,11,1.1
73,1,0.1
74,11,1.1
75,10,1.0
76,6,0.6
77,5,0.5
78,7,0.7
79,4,0.4
80,5,0.5
81,7,0.7
82,6,0.6
83,7,0.7
84,4,0.4
85,4,0.4
86,6,0.6
87,7,0.7
88,5,0.5
89,2,0.2
90,7,0.7
91,10,1.0
92,10,1.0
93,4,0.4
94,7,0.7
95,6,0.6
96,9,0.9
97,9,0.9
98,8,0.8
99,9,0.9
100,3,0.3
101,8,0.8
102,12,1.2
103,6,0.6
104,10,1.0
105,4,0.4
106,7,0.7
107,6,0.6
108,12,1.2
109,15,1.5
110,16,1.6
111,8,0.8
112,20,2.0
113,5,0.5
114,6,0.6
115,5,0.5
116,3,0.3
117,9,0.9
118,6,0.6
119,7,0.7
120,6,0.6
121,7,0.7
122,17,1.7
123,5,0.5
124,10,1.0
125,12,1.2
126,7,0.7
127,9,0.9
128,11,1.1
129,8,0.8
130,9,0.9
131,3,0.3
132,9,0.9
133,7,0.7
134,13,1.3
135,7,0.7
136,5,0.5
137,4,0.4
138,14,1.4
139,9,0.9
140,8,0.8
141,11,1.1
142,6,0.6
143,12,1.2
144,5,0.5
145,5,0.5
146,15,1.5
147,7,0.7
148,7,0.7
149,5,0.5
150,10,1.0
151,11,1.1
152,13,1.3
153,7,0.7
154,8,0.8
155,2,0.2
156,8,0.8
157,3,0.3
158,7,0.7
159,6,0.6
160,6,0.6
161,3,0.3
162,5,0.5
163,12,1.2
164,10,1.0
165,10,1.0
166,3,0.3
167,5,0.5
168,13,1.3
169,8,0.8
170,11,1.1
171,13,1.3
172,5,0.5
173,9,0.9
174,8,0.8
175,2,0.2
176,12,1.2
177,8,0.8
178,7,0.7
179,3,0.3
180,16,1.6
181,8,0.8
182,6,0.6
183,5,0.5
184,5,0.5
185,13,1.3
186,9,0.9
187,2,0.2
188,4,0.4
189,3,0.3
190,12,1.2
191,4,0.4
192,5,0.5
193,10,1.0
194,4,0.4
195,8,0.8
196,14,1.4
197,8,0.8
198,6,0.6
199,6,0.6
200,8,0.8
201,6,0.6
202,7,0.7
203,12,1.2
204,7,0.7
205,8,0.8
206,8,0.8
207,7,0.7
208,15,1.5
209,10,1.0
210,4,0.4
211,8,0.8
212,5,0.5
213,5,0.5
214,6,0.6
215,12,1.2
216,3,0.3
