bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,0,0.0
2,0,0.0
3,1,0.1
4,0,0.0
5,0,0.0
6,21,2.1
7,3,0.3
8,0,0.0
9,2,0.2
10,1,0.1
11,0,0.0
12,1,0.1
13,1,0.1
14,1,0.1
15,3,0.3
16,0,0.0
17,6,0.6
18,0,0.0
19,2,0.2
20,3,0.3
21,3,0.3
22,1,0.1
23,2,0.2
24,4,0.4
25,1,0.1
26,1,0.1
27,1,0.1
28,6,0.6
29,3,0.3
30,3,0.3
31,1,0.1
32,1,0.1
33,2,0.2
34,0,0.0
35,4,0.4
36,0,0.0
37,1,0.1
38,3,0.3
39,0,0.0
40,0,0.0
41,1,0.1
42,1,0.1
43,1,0.1
44,0,0.0
45,2,0.2
46,2,0.2
47,1,0.1
48,6,0.6
49,3,0.3
50,1,0.1
51,0,0.0
52,0,0.0
53,4,0.4
54,2,0.2
55,1,0.1
56,0,0.0
57,1,0.1
58,2,0.2
59,1,0.1
60,1,0.1
61,1,0.1
62,5,0.5
63,0,0.0
64,1,0.1
65,1,0.1
66,2,0.2
67,3,0.3
68,0,0.0
69,2,0.2
70,2,0.2
71,0,0.0
72,1,0.1
73,2,0.2
74,0,0.0
75,2,0.2
76,1,0.1
77,0,0.0
78,2,0.2
79,1,0.1
80,0,0.0
81,2,0.2
82,1,0.1
83,3,0.3
84,11,1.1
85,1,0.1
86,0,0.0
87,1,0.1
88,1,0.1
89,0,0.0
90,1,0.1
91,0,0.0
92,0,0.0
93,1,0.1
94,5,0.5
95,1,0.1
96,0,0.0
97,1,0.1
98,0,0.0
99,3,0.3
100,1,0.1
101,0,0.0
102,5,0.5
103,0,0.0
104,1,0.1
105,0,0.0
106,1,0.1
107,5,0.5
108,2,0.2
109,1,0.1
110,1,0.1
111,0,0.0
112,1,0.1
113,0,0.0
114,0,0.0
115,2,0.2
116,3,0.3
117,0,0.0
118,1,0.1
119,0,0.0
120,3,0.3
121,1,0.1
122,7,0.7
123,5,0.5
124,2,0.2
125,4,0.4
126,1,0.1
127,1,0.1
128,2,0.2
129,1,0.1
130,0,0.0
131,1,0.1
132,2,0.2
133,1,0.1
134,4,0.4
135,1,0.1
136,4,0.4
137,0,0.0
138,0,0.0
139,1,0.1
140,0,0.0
141,2,0.2
142,1,0.1
143,4,0.4
144,0,0.0
145,0,0.0
146,2,0.2
147,0,0.0
148,0,0.0
149,5,0.5
150,2,0.2
151,1,0.1
152,1,0.1
153,2,0.2
154,2,0.2
155,1,0.1
156,1,0.1
157,1,0.1
158,0,0.0
159,2,0.2
160,0,0.0
161,3,0.3
162,3,0.3
163,6,0.6
164,7,0.7
165,4,0.4
166,0,0.0
167,3,0.3
168,1,0.1
169,0,0.0
170,0,0.0
171,1,0.1
172,2,0.2
173,2,0.2
174,1,0.1
175,3,0.3
176,5,0.5
177,0,0.0
178,1,0.1
179,3,0.3
180,0,0.0
181,0,0.0
182,2,0.2
183,1,0.1
184,1,0.1
185,4,0.4
186,0,0.0
187,5,0.5
188,4,0.4
189,0,0.0
190,0,0.0
191,1,0.1
192,3,0.3
193,3,0.3
194,8,0.8
195,1,0.1
196,1,0.1
197,3,0.3
198,0,0.0
199,0,0.0
200,0,0.0
201,1,0.1
202,0,0.0
203,1,0.1
204,6,0.6
205,1,0.1
206,2,0.2
207,0,0.0
208,2,0.2
209,1,0.1
210,1,0.1
211,1,0.1
212,0,0.0
213,3,0.3
214,0,0.0
215,0,0.0
216,1,0.1
