bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,1,0.1
2,1,0.1
3,0,0.0
4,3,0.3
5,1,0.1
6,0,0.0
7,1,0.1
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,2,0.2
14,1,0.1
15,0,0.0
16,0,0.0
17,0,0.0
18,4,0.4
19,1,0.1
20,1,0.1
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,1,0.1
26,0,0.0
27,1,0.1
28,1,0.1
29,0,0.0
30,1,0.1
31,1,0.1
32,0,0.0
33,0,0.0
34,2,0.2
35,1,0.1
36,0,0.0
37,0,0.0
38,1,0.1
39,2,0.2
40,1,0.1
41,1,0.1
42,1,0.1
43,2,0.2
44,1,0.1
45,0,0.0
46,0,0.0
47,0,0.0
48,2,0.2
49,2,0.2
50,0,0.0
51,1,0.1
52,0,0.0
53,1,0.1
54,1,0.1
55,2,0.2
56,0,0.0
57,3,0.3
58,0,0.0
59,0,0.0
60,1,0.1
61,1,0.1
62,1,0.1
63,1,0.1
64,0,0.0
65,2,0.2
66,1,0.1
67,0,0.0
68,0,0.0
69,1,0.1
70,1,0.1
71,1,0.1
72,0,0.0
73,0,0.0
74,1,0.1
75,3,0.3
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,2,0.2
81,0,0.0
82,0,0.0
83,0,0.0
84,1,0.1
85,1,0.1
86,3,0.3
87,0,0.0
88,0,0.0
89,0,0.0
90,1,0.1
91,1,0.1
92,2,0.2
93,1,0.1
94,1,0.1
95,1,0.1
96,0,0.0
97,1,0.1
98,2,0.2
99,1,0.1
100,1,0.1
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,1,0.1
106,2,0.2
107,0,0.0
108,0,0.0
109,0,0.0
110,2,0.2
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,1,0.1
117,0,0.0
118,2,0.2
119,1,0.1
120,0,0.0
121,1,0.1
122,2,0.2
123,0,0.0
124,0,0.0
125,0,0.0
126,1,0.1
127,2,0.2
128,0,0.0
129,1,0.1
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,1,0.1
137,1,0.1
138,2,0.2
139,1,0.1
140,0,0.0
141,0,0.0
142,0,0.0
143,1,0.1
144,0,0.0
145,1,0.1
146,0,0.0
147,0,0.0
148,1,0.1
149,0,0.0
150,1,0.1
151,2,0.2
152,1,0.1
153,1,0.1
154,0,0.0
155,2,0.2
156,0,0.0
157,1,0.1
158,1,0.1
159,1,0.1
160,0,0.0
161,1,0.1
162,0,0.0
163,1,0.1
164,1,0.1
165,1,0.1
166,1,0.1
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,2,0.2
174,0,0.0
175,1,0.1
176,1,0.1
177,1,0.1
178,1,0.1
179,0,0.0
180,0,0.0
181,2,0.2
182,2,0.2
183,1,0.1
184,0,0.0
185,0,0.0
186,1,0.1
187,0,0.0
188,2,0.2
189,1,0.1
190,1,0.1
191,2,0.2
192,0,0.0
193,3,0.3
194,0,0.0
195,1,0.1
196,0,0.0
197,1,0.1
198,1,0.1
199,4,0.4
200,1,0.1
201,1,0.1
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,0,0.0
209,0,0.0
210,1,0.1
211,3,0.3
212,2,0.2
213,3,0.3
214,1,0.1
215,2,0.2
216,1,0.1
