bin_10s,spike_count,firing_rate_hz
0,3,0.3
1,3,0.3
2,1,0.1
3,1,0.1
4,2,0.2
5,3,0.3
6,1,0.1
7,0,0.0
8,2,0.2
9,1,0.1
10,1,0.1
11,3,0.3
12,0,0.0
13,1,0.1
14,1,0.1
15,2,0.2
16,3,0.3
17,2,0.2
18,1,0.1
19,1,0.1
20,1,0.1
21,3,0.3
22,3,0.3
23,1,0.1
24,3,0.3
25,2,0.2
26,1,0.1
27,3,0.3
28,4,0.4
29,2,0.2
30,3,0.3
31,0,0.0
32,1,0.1
33,0,0.0
34,1,0.1
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,1,0.1
40,1,0.1
41,1,0.1
42,3,0.3
43,1,0.1
44,1,0.1
45,1,0.1
46,3,0.3
47,2,0.2
48,1,0.1
49,0,0.0
50,1,0.1
51,3,0.3
52,2,0.2
53,2,0.2
54,2,0.2
55,4,0.4
56,1,0.1
57,3,0.3
58,3,0.3
59,1,0.1
60,2,0.2
61,5,0.5
62,5,0.5
63,1,0.1
64,1,0.1
65,4,0.4
66,1,0.1
67,4,0.4
68,1,0.1
69,5,0.5
70,2,0.2
71,3,0.3
72,1,0.1
73,0,0.0
74,0,0.0
75,0,0.0
76,6,0.6
77,4,0.4
78,1,0.1
79,2,0.2
80,3,0.3
81,1,0.1
82,2,0.2
83,4,0.4
84,0,0.0
85,3,0.3
86,6,0.6
87,0,0.0
88,2,0.2
89,0,0.0
90,1,0.1
91,4,0.4
92,3,0.3
93,2,0.2
94,0,0.0
95,4,0.4
96,3,0.3
97,1,0.1
98,0,0.0
99,1,0.1
100,0,0.0
101,1,0.1
102,1,0.1
103,1,0.1
104,0,0.0
105,1,0.1
106,1,0.1
107,3,0.3
108,3,0.3
109,2,0.2
110,1,0.1
111,2,0.2
112,8,0.8
113,1,0.1
114,1,0.1
115,1,0.1
116,1,0.1
117,3,0.3
118,3,0.3
119,3,0.3
120,2,0.2
121,7,0.7
122,3,0.3
123,3,0.3
124,0,0.0
125,1,0.1
126,3,0.3
127,3,0.3
128,1,0.1
129,4,0.4
130,5,0.5
131,0,0.0
132,2,0.2
133,3,0.3
134,0,0.0
135,0,0.0
136,1,0.1
137,6,0.6
138,3,0.3
139,2,0.2
140,4,0.4
141,1,0.1
142,1,0.1
143,0,0.0
144,3,0.3
145,0,0.0
146,6,0.6
147,0,0.0
148,0,0.0
149,5,0.5
150,4,0.4
151,5,0.5
152,0,0.0
153,1,0.1
154,1,0.1
155,0,0.0
156,2,0.2
157,3,0.3
158,1,0.1
159,3,0.3
160,2,0.2
161,1,0.1
162,0,0.0
163,3,0.3
164,1,0.1
165,2,0.2
166,5,0.5
167,3,0.3
168,3,0.3
169,1,0.1
170,0,0.0
171,4,0.4
172,0,0.0
173,1,0.1
174,1,0.1
175,0,0.0
176,1,0.1
177,1,0.1
178,1,0.1
179,2,0.2
180,1,0.1
181,3,0.3
182,4,0.4
183,1,0.1
184,2,0.2
185,3,0.3
186,0,0.0
187,2,0.2
188,0,0.0
189,2,0.2
190,3,0.3
191,0,0.0
192,2,0.2
193,4,0.4
194,5,0.5
195,3,0.3
196,1,0.1
197,2,0.2
198,3,0.3
199,6,0.6
200,1,0.1
201,8,0.8
202,5,0.5
203,3,0.3
204,3,0.3
205,2,0.2
206,1,0.1
207,3,0.3
208,4,0.4
209,1,0.1
210,3,0.3
211,1,0.1
212,4,0.4
213,2,0.2
214,1,0.1
215,1,0.1
216,1,0.1
