units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,617.2712,15.2782,15278.1594
1,664.2781,62.2851,62285.0594
1,666.4520,64.4590,64458.9594
1,667.4037,65.4107,65410.6594
1,670.2375,68.2445,68244.4594
1,670.2533,68.2603,68260.2594
1,674.5075,72.5145,72514.4594
1,687.7556,85.7626,85762.5594
1,694.6885,92.6955,92695.4594
1,742.8852,140.8922,140892.1594
1,764.1553,162.1623,162162.2594
1,803.3788,201.3858,201385.7594
1,807.4411,205.4481,205448.0594
1,820.8165,218.8235,218823.4594
1,833.6442,231.6512,231651.1594
1,862.8342,260.8412,260841.1594
1,865.8699,263.8769,263876.8594
1,889.0687,287.0757,287075.6594
1,899.7583,297.7653,297765.2594
1,908.3002,306.3072,306307.1594
1,910.7235,308.7305,308730.4594
1,910.7347,308.7417,308741.6594
1,916.8259,314.8329,314832.8594
1,917.7342,315.7412,315741.1594
1,919.1258,317.1328,317132.7594
1,980.4054,378.4124,378412.3594
1,984.4506,382.4576,382457.5594
1,1048.6783,446.6853,446685.2594
1,1066.8174,464.8244,464824.3594
1,1081.3510,479.3580,479357.9594
1,1092.4568,490.4638,490463.7594
1,1092.5817,490.5887,490588.6594
1,1092.9969,491.0039,491003.8594
1,1099.9690,497.9760,497975.9594
1,1102.7386,500.7456,500745.5594
1,1112.1304,510.1374,510137.3594
1,1112.5123,510.5193,510519.2594
1,1113.4337,511.4407,511440.6594
1,1138.1581,536.1651,536165.0594
1,1138.9893,536.9963,536996.2594
1,1140.2725,538.2795,538279.4594
1,1146.1928,544.1998,544199.7594
1,1147.0285,545.0355,545035.4594
1,1197.0978,595.1048,595104.7594
1,1197.8448,595.8518,595851.7594
1,1199.1525,597.1595,597159.4594
1,1200.6657,598.6727,598672.6594
1,1207.2216,605.2286,605228.5594
1,1223.2005,621.2075,621207.4594
1,1223.2275,621.2345,621234.4594
1,1223.2610,621.2680,621267.9594
1,1223.2913,621.2983,621298.2594
1,1256.2566,654.2636,654263.5594
1,1275.2605,673.2675,673267.4594
1,1338.4897,736.4967,736496.6594
1,1339.8277,737.8347,737834.6594
1,1384.7050,782.7120,782711.9594
1,1384.7143,782.7213,782721.2594
1,1386.5774,784.5844,784584.3594
1,1386.5878,784.5948,784594.7594
1,1386.6193,784.6263,784626.2594
1,1386.6308,784.6378,784637.7594
1,1410.8482,808.8552,808855.1594
1,1413.4037,811.4107,811410.6594
1,1413.5943,811.6013,811601.2594
1,1414.0442,812.0512,812051.1594
1,1422.5916,820.5986,820598.5594
1,1471.8654,869.8724,869872.3594
1,1482.9703,880.9773,880977.2594
1,1485.5051,883.5121,883512.0594
1,1563.4892,961.4962,961496.1594
1,1607.3309,1005.3379,1005337.8594
1,1608.3007,1006.3077,1006307.6594
1,1608.5755,1006.5825,1006582.4594
1,1615.3032,1013.3102,1013310.1594
1,1619.1958,1017.2028,1017202.7594
1,1653.0934,1051.1004,1051100.3594
1,1654.7386,1052.7456,1052745.5594
1,1671.0092,1069.0162,1069016.1594
1,1688.6016,1086.6086,1086608.5594
1,1688.9905,1086.9975,1086997.4594
1,1709.0200,1107.0270,1107026.9594
1,1712.5417,1110.5487,1110548.6594
1,1721.4620,1119.4690,1119468.9594
1,1731.0690,1129.0760,1129075.9594
1,1773.3708,1171.3778,1171377.7594
1,1776.3518,1174.3588,1174358.7594
1,1811.8562,1209.8632,1209863.1594
1,1815.1509,1213.1579,1213157.8594
1,1815.7927,1213.7997,1213799.6594
1,1815.8642,1213.8712,1213871.1594
1,1846.7176,1244.7246,1244724.5594
1,1847.4704,1245.4774,1245477.3594
1,1860.7230,1258.7300,1258729.9594
1,1896.5833,1294.5903,1294590.2594
1,1899.1010,1297.1080,1297107.9594
1,1914.1528,1312.1598,1312159.7594
1,1916.6424,1314.6494,1314649.3594
1,1936.9814,1334.9884,1334988.3594
1,1937.8062,1335.8132,1335813.1594
1,1951.0599,1349.0669,1349066.8594
1,1962.3540,1360.3610,1360360.9594
1,1984.9100,1382.9170,1382916.9594
1,1986.5148,1384.5218,1384521.7594
1,1989.4119,1387.4189,1387418.8594
1,1989.4338,1387.4408,1387440.7594
1,2052.5090,1450.5160,1450515.9594
1,2054.0392,1452.0462,1452046.1594
1,2065.4981,1463.5051,1463505.0594
1,2066.8270,1464.8340,1464833.9594
1,2067.7657,1465.7727,1465772.6594
1,2085.5468,1483.5538,1483553.7594
1,2092.9044,1490.9114,1490911.3594
1,2095.3117,1493.3187,1493318.6594
1,2160.4731,1558.4801,1558480.0594
1,2160.6181,1558.6251,1558625.0594
1,2164.6463,1562.6533,1562653.2594
1,2171.2649,1569.2719,1569271.8594
1,2188.1363,1586.1433,1586143.2594
1,2216.8978,1614.9048,1614904.7594
1,2216.9130,1614.9200,1614919.9594
1,2230.9312,1628.9382,1628938.1594
1,2240.0996,1638.1066,1638106.5594
1,2240.6409,1638.6479,1638647.8594
1,2242.8142,1640.8212,1640821.1594
1,2243.3966,1641.4036,1641403.5594
1,2244.5414,1642.5484,1642548.3594
1,2255.1741,1653.1811,1653181.0594
1,2255.1853,1653.1923,1653192.2594
1,2273.3755,1671.3825,1671382.4594
1,2286.8954,1684.9024,1684902.3594
1,2286.9072,1684.9142,1684914.1594
1,2295.5222,1693.5292,1693529.1594
1,2307.1692,1705.1762,1705176.1594
1,2324.0354,1722.0424,1722042.3594
1,2324.8775,1722.8845,1722884.4594
1,2338.4356,1736.4426,1736442.5594
1,2338.5516,1736.5586,1736558.5594
1,2339.0906,1737.0976,1737097.5594
1,2341.0785,1739.0855,1739085.4594
1,2373.8718,1771.8788,1771878.7594
1,2395.7206,1793.7276,1793727.5594
1,2419.7822,1817.7892,1817789.1594
1,2423.9410,1821.9480,1821947.9594
1,2443.9263,1841.9333,1841933.2594
1,2451.9382,1849.9452,1849945.1594
1,2455.4360,1853.4430,1853442.9594
1,2476.6773,1874.6843,1874684.2594
1,2482.5958,1880.6028,1880602.7594
1,2502.0683,1900.0753,1900075.2594
1,2525.1952,1923.2022,1923202.1594
1,2542.2157,1940.2227,1940222.6594
1,2542.4950,1940.5020,1940501.9594
1,2544.3081,1942.3151,1942315.0594
1,2553.2532,1951.2602,1951260.1594
1,2581.0737,1979.0807,1979080.6594
1,2597.2082,1995.2152,1995215.1594
1,2598.9693,1996.9763,1996976.2594
1,2605.0157,2003.0227,2003022.6594
1,2615.0042,2013.0112,2013011.1594
1,2640.1142,2038.1212,2038121.1594
1,2640.5338,2038.5408,2038540.7594
1,2644.8297,2042.8367,2042836.6594
1,2660.2429,2058.2499,2058249.8594
1,2676.2876,2074.2946,2074294.5594
1,2693.0734,2091.0804,2091080.3594
1,2717.9921,2115.9991,2115999.0594
1,2735.0737,2133.0807,2133080.6594
1,2735.1014,2133.1084,2133108.3594
1,2763.5327,2161.5397,2161539.6594
1,2765.0860,2163.0930,2163092.9594
