units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,602.1137,0.1207,120.6594
1,602.2700,0.2770,276.9594
1,602.3204,0.3274,327.3594
1,603.4951,1.5021,1502.0594
1,604.2031,2.2101,2210.0594
1,605.2175,3.2245,3224.4594
1,605.2587,3.2657,3265.6594
1,605.4499,3.4569,3456.8594
1,605.4622,3.4692,3469.1594
1,605.7328,3.7398,3739.7594
1,605.7605,3.7675,3767.4594
1,605.8336,3.8406,3840.5594
1,606.1576,4.1646,4164.5594
1,606.6293,4.6363,4636.2594
1,606.8784,4.8854,4885.3594
1,607.0501,5.0571,5057.0594
1,607.5035,5.5105,5510.4594
1,608.9257,6.9327,6932.6594
1,609.5412,7.5482,7548.1594
1,610.4448,8.4518,8451.7594
1,610.4987,8.5057,8505.6594
1,610.6665,8.6735,8673.4594
1,610.7531,8.7601,8760.0594
1,610.9384,8.9454,8945.3594
1,611.4608,9.4678,9467.7594
1,611.5380,9.5450,9544.9594
1,611.7446,9.7516,9751.5594
1,611.8189,9.8259,9825.8594
1,611.9498,9.9568,9956.7594
1,612.0702,10.0772,10077.1594
1,612.1547,10.1617,10161.6594
1,612.3020,10.3090,10308.9594
1,612.3939,10.4009,10400.8594
1,612.4177,10.4247,10424.6594
1,612.5393,10.5463,10546.2594
1,612.6159,10.6229,10622.8594
1,612.8156,10.8226,10822.5594
1,613.4617,11.4687,11468.6594
1,613.5808,11.5878,11587.7594
1,613.7209,11.7279,11727.8594
1,613.8365,11.8435,11843.4594
1,614.3378,12.3448,12344.7594
1,614.3515,12.3585,12358.4594
1,614.6367,12.6437,12643.6594
1,616.1954,14.2024,14202.3594
1,616.3753,14.3823,14382.2594
1,616.5289,14.5359,14535.8594
1,616.7921,14.7991,14799.0594
1,617.0402,15.0472,15047.1594
1,618.8803,16.8873,16887.2594
1,619.3756,17.3826,17382.5594
1,619.5904,17.5974,17597.3594
1,621.0440,19.0510,19050.9594
1,621.3949,19.4019,19401.8594
1,621.7295,19.7365,19736.4594
1,621.7465,19.7535,19753.4594
1,621.7595,19.7665,19766.4594
1,622.0262,20.0332,20033.1594
1,622.1210,20.1280,20127.9594
1,622.2893,20.2963,20296.2594
1,623.2536,21.2606,21260.5594
1,623.2915,21.2985,21298.4594
1,623.5388,21.5458,21545.7594
1,624.0705,22.0775,22077.4594
1,624.3108,22.3178,22317.7594
1,624.6214,22.6284,22628.3594
1,624.7697,22.7767,22776.6594
1,624.8811,22.8881,22888.0594
1,624.9533,22.9603,22960.2594
1,625.1806,23.1876,23187.5594
1,625.4285,23.4355,23435.4594
1,625.7231,23.7301,23730.0594
1,625.8472,23.8542,23854.1594
1,626.1067,24.1137,24113.6594
1,626.4614,24.4684,24468.3594
1,626.6916,24.6986,24698.5594
1,627.2242,25.2312,25231.1594
1,627.3729,25.3799,25379.8594
1,627.6054,25.6124,25612.3594
1,627.9867,25.9937,25993.6594
1,627.9913,25.9983,25998.2594
1,628.1620,26.1690,26168.9594
1,628.2424,26.2494,26249.3594
1,628.4660,26.4730,26472.9594
1,628.9331,26.9401,26940.0594
1,629.9188,27.9258,27925.7594
1,632.5065,30.5135,30513.4594
1,632.5823,30.5893,30589.2594
1,633.0187,31.0257,31025.6594
1,634.2687,32.2757,32275.6594
1,638.1237,36.1307,36130.6594
1,639.1336,37.1406,37140.5594
1,639.4796,37.4866,37486.5594
1,640.7063,38.7133,38713.2594
1,646.4612,44.4682,44468.1594
1,647.8515,45.8585,45858.4594
1,651.0626,49.0696,49069.5594
1,651.3260,49.3330,49332.9594
1,652.8482,50.8552,50855.1594
1,653.1151,51.1221,51122.0594
1,657.4254,55.4324,55432.3594
1,657.8835,55.8905,55890.4594
1,658.0011,56.0081,56008.0594
1,666.0827,64.0897,64089.6594
1,666.5047,64.5117,64511.6594
1,667.3380,65.3450,65344.9594
1,667.5106,65.5176,65517.5594
1,667.7379,65.7449,65744.8594
1,667.7732,65.7802,65780.1594
1,667.7766,65.7836,65783.5594
1,667.9297,65.9367,65936.6594
1,667.9575,65.9645,65964.4594
1,667.9728,65.9798,65979.7594
1,667.9951,66.0021,66002.0594
1,668.4491,66.4561,66456.0594
1,668.4525,66.4595,66459.4594
1,668.4851,66.4921,66492.0594
1,668.4915,66.4985,66498.4594
1,668.4976,66.5046,66504.5594
1,668.5108,66.5178,66517.7594
1,668.8630,66.8700,66869.9594
1,668.9013,66.9083,66908.2594
1,668.9145,66.9215,66921.4594
1,668.9504,66.9574,66957.3594
1,668.9810,66.9880,66987.9594
1,669.6058,67.6128,67612.7594
1,669.6187,67.6257,67625.6594
1,669.6268,67.6338,67633.7594
1,669.6789,67.6859,67685.8594
1,669.7125,67.7195,67719.4594
1,671.0681,69.0751,69075.0594
1,671.2167,69.2237,69223.6594
1,672.3451,70.3521,70352.0594
1,672.8959,70.9029,70902.8594
1,672.9663,70.9733,70973.2594
1,673.0519,71.0589,71058.8594
1,673.2823,71.2893,71289.2594
1,673.5843,71.5913,71591.2594
1,673.7246,71.7316,71731.5594
1,673.7790,71.7860,71785.9594
1,678.0709,76.0779,76077.8594
1,679.3474,77.3544,77354.3594
1,679.9097,77.9167,77916.6594
1,680.2957,78.3027,78302.6594
1,680.4891,78.4961,78496.0594
1,680.8936,78.9006,78900.5594
1,681.2253,79.2323,79232.2594
1,682.5770,80.5840,80583.9594
1,683.7511,81.7581,81758.0594
1,684.1237,82.1307,82130.6594
1,684.2648,82.2718,82271.7594
1,684.5198,82.5268,82526.7594
1,684.8806,82.8876,82887.5594
1,684.8832,82.8902,82890.1594
1,684.9529,82.9599,82959.8594
1,685.0703,83.0773,83077.2594
1,685.7318,83.7388,83738.7594
1,685.8025,83.8095,83809.4594
1,685.8386,83.8456,83845.5594
1,685.8408,83.8478,83847.7594
1,685.8459,83.8529,83852.8594
1,685.9279,83.9349,83934.8594
1,687.8327,85.8397,85839.6594
1,689.4753,87.4823,87482.2594
1,689.8508,87.8578,87857.7594
1,690.1310,88.1380,88137.9594
1,690.2907,88.2977,88297.6594
1,690.7660,88.7730,88772.9594
1,690.9273,88.9343,88934.2594
1,694.0093,92.0163,92016.2594
1,694.6799,92.6869,92686.8594
1,694.7748,92.7818,92781.7594
1,695.5949,93.6019,93601.8594
1,696.0770,94.0840,94083.9594
1,696.7989,94.8059,94805.8594
1,697.5424,95.5494,95549.3594
1,697.7538,95.7608,95760.7594
1,698.6722,96.6792,96679.1594
1,698.7956,96.8026,96802.5594
1,699.8614,97.8684,97868.3594
1,699.8638,97.8708,97870.7594
1,700.4651,98.4721,98472.0594
1,702.3990,100.4060,100405.9594
1,703.9945,102.0015,102001.4594
1,705.7992,103.8062,103806.1594
1,705.9071,103.9141,103914.0594
1,705.9715,103.9785,103978.4594
1,706.1942,104.2012,104201.1594
1,706.3955,104.4025,104402.4594
1,706.5163,104.5233,104523.2594
1,712.3496,110.3566,110356.5594
1,713.4105,111.4175,111417.4594
1,713.4151,111.4221,111422.0594
1,713.4845,111.4915,111491.4594
1,714.7678,112.7748,112774.7594
1,715.2707,113.2777,113277.6594
1,716.4487,114.4557,114455.6594
1,717.9065,115.9135,115913.4594
1,718.7882,116.7952,116795.1594
1,720.7595,118.7665,118766.4594
1,722.0355,120.0425,120042.4594
1,722.3200,120.3270,120326.9594
1,722.6622,120.6692,120669.1594
1,723.2459,121.2529,121252.8594
1,723.8528,121.8598,121859.7594
1,724.0636,122.0706,122070.5594
1,724.4948,122.5018,122501.7594
1,724.9116,122.9186,122918.5594
1,725.3042,123.3112,123311.1594
1,725.4689,123.4759,123475.8594
1,725.8799,123.8869,123886.8594
1,727.0936,125.1006,125100.5594
1,728.0194,126.0264,126026.3594
1,728.2516,126.2586,126258.5594
1,728.3544,126.3614,126361.3594
1,728.4914,126.4984,126498.3594
1,728.5230,126.5300,126529.9594
1,728.9901,126.9971,126997.0594
1,729.5797,127.5867,127586.6594
1,729.7145,127.7215,127721.4594
1,729.8147,127.8217,127821.6594
1,729.8404,127.8474,127847.3594
1,729.9579,127.9649,127964.8594
1,730.1132,128.1202,128120.1594
1,730.5186,128.5256,128525.5594
1,730.5966,128.6036,128603.5594
1,734.2890,132.2960,132295.9594
1,735.7346,133.7416,133741.5594
1,736.1609,134.1679,134167.8594
1,737.2928,135.2998,135299.7594
1,737.7348,135.7418,135741.7594
1,738.0570,136.0640,136063.9594
1,738.0760,136.0830,136082.9594
1,738.0990,136.1060,136105.9594
1,738.8043,136.8113,136811.2594
1,739.0274,137.0344,137034.3594
1,739.1502,137.1572,137157.1594
1,739.2277,137.2347,137234.6594
1,739.4987,137.5057,137505.6594
1,739.6621,137.6691,137669.0594
1,739.6910,137.6980,137697.9594
1,741.7074,139.7144,139714.3594
1,744.0635,142.0705,142070.4594
1,744.2430,142.2500,142249.9594
1,745.6922,143.6992,143699.1594
1,750.2016,148.2086,148208.5594
1,750.6095,148.6165,148616.4594
1,750.7140,148.7210,148720.9594
1,752.9965,151.0035,151003.4594
1,753.6777,151.6847,151684.6594
1,753.8946,151.9016,151901.5594
1,754.8573,152.8643,152864.2594
1,754.9535,152.9605,152960.4594
1,755.1503,153.1573,153157.2594
1,755.5981,153.6051,153605.0594
1,756.3483,154.3553,154355.2594
1,757.2905,155.2975,155297.4594
1,757.7079,155.7149,155714.8594
1,758.2102,156.2172,156217.1594
1,764.4673,162.4743,162474.2594
1,766.6245,164.6315,164631.4594
1,767.9477,165.9547,165954.6594
1,769.3461,167.3531,167353.0594
1,769.6775,167.6845,167684.4594
1,772.6634,170.6704,170670.3594
1,775.0587,173.0657,173065.6594
1,775.5013,173.5083,173508.2594
1,777.6774,175.6844,175684.3594
1,779.5895,177.5965,177596.4594
1,784.0508,182.0578,182057.7594
1,784.1192,182.1262,182126.1594
1,784.1898,182.1968,182196.7594
1,784.3973,182.4043,182404.2594
1,784.5459,182.5529,182552.8594
1,784.5542,182.5612,182561.1594
1,784.5612,182.5682,182568.1594
1,784.8975,182.9045,182904.4594
1,785.4753,183.4823,183482.2594
1,785.5452,183.5522,183552.1594
1,788.5343,186.5413,186541.2594
1,788.8929,186.8999,186899.8594
1,789.7373,187.7443,187744.2594
1,791.1995,189.2065,189206.4594
1,791.2237,189.2307,189230.6594
1,791.2342,189.2412,189241.1594
1,792.8285,190.8355,190835.4594
1,798.5103,196.5173,196517.2594
1,798.6838,196.6908,196690.7594
1,798.9921,196.9991,196999.0594
1,799.0573,197.0643,197064.2594
1,799.1639,197.1709,197170.8594
1,799.2902,197.2972,197297.1594
1,799.5255,197.5325,197532.4594
1,799.5300,197.5370,197536.9594
1,799.5700,197.5770,197576.9594
1,799.6901,197.6971,197697.0594
1,800.2988,198.3058,198305.7594
1,800.6933,198.7003,198700.2594
1,801.3634,199.3704,199370.3594
1,801.3751,199.3821,199382.0594
1,801.5030,199.5100,199509.9594
1,801.5854,199.5924,199592.3594
1,801.8843,199.8913,199891.2594
1,802.5922,200.5992,200599.1594
1,802.6599,200.6669,200666.8594
1,802.8112,200.8182,200818.1594
1,803.0255,201.0325,201032.4594
1,803.1608,201.1678,201167.7594
1,803.3819,201.3889,201388.8594
1,806.3461,204.3531,204353.0594
1,806.4003,204.4073,204407.2594
1,806.7351,204.7421,204742.0594
1,806.9302,204.9372,204937.1594
1,807.9180,205.9250,205924.9594
1,809.2210,207.2280,207227.9594
1,809.5318,207.5388,207538.7594
1,809.6996,207.7066,207706.5594
1,811.3414,209.3484,209348.3594
1,812.9411,210.9481,210948.0594
1,813.7554,211.7624,211762.3594
1,815.0940,213.1010,213100.9594
1,816.2509,214.2579,214257.8594
1,816.6802,214.6872,214687.1594
1,817.3938,215.4008,215400.7594
1,818.5683,216.5753,216575.2594
1,818.6383,216.6453,216645.2594
1,818.7448,216.7518,216751.7594
1,818.7817,216.7887,216788.6594
1,818.7845,216.7915,216791.4594
1,818.8547,216.8617,216861.6594
1,819.2583,217.2653,217265.2594
1,820.5432,218.5502,218550.1594
1,823.1772,221.1842,221184.1594
1,823.2043,221.2113,221211.2594
1,823.3757,221.3827,221382.6594
1,826.0764,224.0834,224083.3594
1,826.5401,224.5471,224547.0594
1,826.7364,224.7434,224743.3594
1,826.8140,224.8210,224820.9594
1,827.1577,225.1647,225164.6594
1,827.1783,225.1853,225185.2594
1,828.3384,226.3454,226345.3594
1,828.9691,226.9761,226976.0594
1,831.7795,229.7865,229786.4594
1,831.8254,229.8324,229832.3594
1,831.9509,229.9579,229957.8594
1,832.3220,230.3290,230328.9594
1,832.5864,230.5934,230593.3594
1,833.7690,231.7760,231775.9594
1,833.9532,231.9602,231960.1594
1,834.1904,232.1974,232197.3594
1,834.5725,232.5795,232579.4594
1,835.0208,233.0278,233027.7594
1,835.1279,233.1349,233134.8594
1,835.1770,233.1840,233183.9594
1,835.2572,233.2642,233264.1594
1,835.2596,233.2666,233266.5594
1,835.3800,233.3870,233386.9594
1,835.3891,233.3961,233396.0594
1,835.5929,233.5999,233599.8594
1,835.6800,233.6870,233686.9594
1,836.1469,234.1539,234153.8594
1,837.6101,235.6171,235617.0594
1,837.7497,235.7567,235756.6594
1,837.9462,235.9532,235953.1594
1,838.0966,236.1036,236103.5594
1,838.1191,236.1261,236126.0594
1,838.2042,236.2112,236211.1594
1,838.3931,236.4001,236400.0594
1,838.7504,236.7574,236757.3594
1,839.0314,237.0384,237038.3594
1,839.2373,237.2443,237244.2594
1,839.6176,237.6246,237624.5594
1,839.8208,237.8278,237827.7594
1,840.1937,238.2007,238200.6594
1,840.5574,238.5644,238564.3594
1,841.5403,239.5473,239547.2594
1,844.3679,242.3749,242374.8594
1,847.2968,245.3038,245303.7594
1,847.7038,245.7108,245710.7594
1,851.7253,249.7323,249732.2594
1,851.9653,249.9723,249972.2594
1,851.9878,249.9948,249994.7594
1,852.0915,250.0985,250098.4594
1,852.2203,250.2273,250227.2594
1,852.4073,250.4143,250414.2594
1,852.4794,250.4864,250486.3594
1,852.5404,250.5474,250547.3594
1,852.6363,250.6433,250643.2594
1,852.7831,250.7901,250790.0594
1,853.0502,251.0572,251057.1594
1,853.8352,251.8422,251842.1594
1,856.1442,254.1512,254151.1594
1,856.5905,254.5975,254597.4594
1,857.0058,255.0128,255012.7594
1,857.4239,255.4309,255430.8594
1,858.0071,256.0141,256014.0594
1,858.3551,256.3621,256362.0594
1,861.1246,259.1316,259131.5594
1,861.2370,259.2440,259243.9594
1,861.2929,259.2999,259299.8594
1,862.0245,260.0315,260031.4594
1,862.7774,260.7844,260784.3594
1,863.8724,261.8794,261879.3594
1,864.2529,262.2599,262259.8594
1,864.2575,262.2645,262264.4594
1,864.6021,262.6091,262609.0594
1,867.0725,265.0795,265079.4594
1,868.2284,266.2354,266235.3594
1,871.1163,269.1233,269123.2594
1,872.1143,270.1213,270121.2594
1,872.8081,270.8151,270815.0594
1,875.7029,273.7099,273709.8594
1,876.7131,274.7201,274720.0594
1,879.0115,277.0185,277018.4594
1,882.2344,280.2414,280241.3594
1,882.9821,280.9891,280989.0594
1,885.2845,283.2915,283291.4594
1,886.6165,284.6235,284623.4594
1,886.6631,284.6701,284670.0594
1,886.6831,284.6901,284690.0594
1,888.9484,286.9554,286955.3594
1,889.2545,287.2615,287261.4594
1,889.3897,287.3967,287396.6594
1,890.5651,288.5721,288572.0594
1,890.8107,288.8177,288817.6594
1,890.8175,288.8245,288824.4594
1,891.7951,289.8021,289802.0594
1,892.6285,290.6355,290635.4594
1,892.6608,290.6678,290667.7594
1,892.6843,290.6913,290691.2594
1,892.6915,290.6985,290698.4594
1,892.7370,290.7440,290743.9594
1,893.6609,291.6679,291667.8594
1,895.6143,293.6213,293621.2594
1,895.7980,293.8050,293804.9594
1,897.5005,295.5075,295507.4594
1,897.7436,295.7506,295750.5594
1,899.2616,297.2686,297268.5594
1,899.3835,297.3905,297390.4594
1,900.2325,298.2395,298239.4594
1,901.8654,299.8724,299872.3594
1,903.3509,301.3579,301357.8594
1,903.8988,301.9058,301905.7594
1,904.2248,302.2318,302231.7594
1,904.5191,302.5261,302526.0594
1,904.8332,302.8402,302840.1594
1,905.0363,303.0433,303043.2594
1,906.0597,304.0667,304066.6594
1,906.3638,304.3708,304370.7594
1,907.9583,305.9653,305965.2594
1,908.1546,306.1616,306161.5594
1,908.2754,306.2824,306282.3594
1,908.9115,306.9185,306918.4594
1,909.1582,307.1652,307165.1594
1,909.6761,307.6831,307683.0594
1,909.9505,307.9575,307957.4594
1,910.2195,308.2265,308226.4594
1,911.3296,309.3366,309336.5594
