units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
5,602.7907,0.7977,797.6594
5,606.4664,4.4734,4473.3594
5,607.1695,5.1765,5176.4594
5,608.6412,6.6482,6648.1594
5,609.1911,7.1981,7198.0594
5,609.2504,7.2574,7257.3594
5,609.8895,7.8965,7896.4594
5,613.4969,11.5039,11503.8594
5,618.3518,16.3588,16358.7594
5,619.2736,17.2806,17280.5594
5,619.8992,17.9062,17906.1594
5,623.9298,21.9368,21936.7594
5,624.2899,22.2969,22296.8594
5,626.6479,24.6549,24654.8594
5,628.2452,26.2522,26252.1594
5,630.3732,28.3802,28380.1594
5,630.6775,28.6845,28684.4594
5,631.4860,29.4930,29492.9594
5,638.5375,36.5445,36544.4594
5,641.6239,39.6309,39630.8594
5,643.8638,41.8708,41870.7594
5,644.3503,42.3573,42357.2594
5,644.7143,42.7213,42721.2594
5,645.4171,43.4241,43424.0594
5,649.9787,47.9857,47985.6594
5,650.2659,48.2729,48272.8594
5,655.6737,53.6807,53680.6594
5,656.0875,54.0945,54094.4594
5,661.3547,59.3617,59361.6594
5,662.1230,60.1300,60129.9594
5,663.1446,61.1516,61151.5594
5,664.9939,63.0009,63000.8594
5,665.0641,63.0711,63071.0594
5,665.3217,63.3287,63328.6594
5,666.9804,64.9874,64987.3594
5,668.6734,66.6804,66680.3594
5,668.7869,66.7939,66793.8594
5,671.8759,69.8829,69882.8594
5,682.4759,80.4829,80482.8594
5,683.0522,81.0592,81059.1594
5,683.4892,81.4962,81496.1594
5,683.7259,81.7329,81732.8594
5,687.6690,85.6760,85675.9594
5,687.9769,85.9839,85983.8594
5,690.4945,88.5015,88501.4594
5,690.6743,88.6813,88681.2594
5,690.7678,88.7748,88774.7594
5,690.7853,88.7923,88792.2594
5,691.1689,89.1759,89175.8594
5,691.1785,89.1855,89185.4594
5,691.4314,89.4384,89438.3594
5,693.3911,91.3981,91398.0594
5,693.9706,91.9776,91977.5594
5,694.6935,92.7005,92700.4594
5,695.1304,93.1374,93137.3594
5,695.5756,93.5826,93582.5594
5,696.3640,94.3710,94370.9594
5,706.9925,104.9995,104999.4594
5,712.5955,110.6025,110602.4594
5,713.0317,111.0387,111038.6594
5,713.1241,111.1311,111131.0594
5,713.9031,111.9101,111910.0594
5,714.2619,112.2689,112268.8594
5,714.8007,112.8077,112807.6594
5,714.8254,112.8324,112832.3594
5,715.3775,113.3845,113384.4594
5,716.4919,114.4989,114498.8594
5,717.9955,116.0025,116002.4594
5,719.5301,117.5371,117537.0594
5,721.2966,119.3036,119303.5594
5,724.8910,122.8980,122897.9594
5,725.3170,123.3240,123323.9594
5,728.9023,126.9093,126909.2594
5,732.1300,130.1370,130136.9594
5,733.1317,131.1387,131138.6594
5,733.4612,131.4682,131468.1594
5,733.4719,131.4789,131478.8594
5,737.0456,135.0526,135052.5594
5,739.7939,137.8009,137800.8594
5,740.0133,138.0203,138020.2594
5,741.0162,139.0232,139023.1594
5,741.3306,139.3376,139337.5594
5,742.5383,140.5453,140545.2594
5,742.8049,140.8119,140811.8594
5,747.6031,145.6101,145610.0594
5,747.7649,145.7719,145771.8594
5,749.0565,147.0635,147063.4594
5,749.5103,147.5173,147517.2594
5,754.3513,152.3583,152358.2594
5,754.8986,152.9056,152905.5594
5,756.0909,154.0979,154097.8594
5,756.6905,154.6975,154697.4594
5,757.4063,155.4133,155413.2594
5,758.2701,156.2771,156277.0594
5,758.3996,156.4066,156406.5594
5,759.1474,157.1544,157154.3594
5,759.4463,157.4533,157453.2594
5,759.5340,157.5410,157540.9594
5,760.8720,158.8790,158878.9594
5,765.2076,163.2146,163214.5594
5,765.2712,163.2782,163278.1594
5,766.4929,164.4999,164499.8594
5,767.8397,165.8467,165846.6594
5,768.6492,166.6562,166656.1594
5,770.2960,168.3030,168302.9594
5,770.4784,168.4854,168485.3594
5,770.8934,168.9004,168900.3594
5,771.4167,169.4237,169423.6594
5,772.0628,170.0698,170069.7594
5,773.4677,171.4747,171474.6594
5,775.4429,173.4499,173449.8594
5,778.0253,176.0323,176032.2594
5,779.6803,177.6873,177687.2594
5,779.8757,177.8827,177882.6594
5,780.4607,178.4677,178467.6594
5,780.6977,178.7047,178704.6594
5,782.7253,180.7323,180732.2594
5,783.2750,181.2820,181281.9594
5,788.2186,186.2256,186225.5594
5,788.2453,186.2523,186252.2594
5,788.9080,186.9150,186914.9594
5,788.9557,186.9627,186962.6594
5,789.6019,187.6089,187608.8594
5,789.7089,187.7159,187715.8594
5,790.0847,188.0917,188091.6594
5,793.0518,191.0588,191058.7594
5,795.5284,193.5354,193535.3594
5,797.2730,195.2800,195279.9594
5,797.8409,195.8479,195847.8594
5,798.2722,196.2792,196279.1594
5,799.0656,197.0726,197072.5594
5,801.0083,199.0153,199015.2594
5,801.2681,199.2751,199275.0594
5,804.0196,202.0266,202026.5594
5,812.1568,210.1638,210163.7594
5,813.2364,211.2434,211243.3594
5,814.5815,212.5885,212588.4594
5,814.9548,212.9618,212961.7594
5,815.7343,213.7413,213741.2594
5,815.7980,213.8050,213804.9594
5,815.9103,213.9173,213917.2594
5,815.9272,213.9342,213934.1594
5,816.7519,214.7589,214758.8594
5,824.0781,222.0851,222085.0594
5,824.0868,222.0938,222093.7594
5,824.1365,222.1435,222143.4594
5,826.7289,224.7359,224735.8594
5,827.3183,225.3253,225325.2594
5,829.2828,227.2898,227289.7594
5,830.2369,228.2439,228243.8594
5,838.3276,236.3346,236334.5594
5,839.6138,237.6208,237620.7594
5,841.7255,239.7325,239732.4594
5,843.0558,241.0628,241062.7594
5,844.8616,242.8686,242868.5594
5,845.4975,243.5045,243504.4594
5,846.9655,244.9725,244972.4594
5,847.2484,245.2554,245255.3594
5,852.0738,250.0808,250080.7594
