units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,647.9892,45.9962,45996.1594
1,659.9658,57.9728,57972.7594
1,664.4845,62.4915,62491.4594
1,664.5902,62.5972,62597.1594
1,664.6108,62.6178,62617.7594
1,667.8615,65.8685,65868.4594
1,667.9507,65.9577,65957.6594
1,668.1098,66.1168,66116.7594
1,668.1330,66.1400,66139.9594
1,668.1971,66.2041,66204.0594
1,668.2510,66.2580,66257.9594
1,668.3912,66.3982,66398.1594
1,668.4168,66.4238,66423.7594
1,668.6163,66.6233,66623.2594
1,668.6360,66.6430,66642.9594
1,684.6396,82.6466,82646.5594
1,724.7183,122.7253,122725.2594
1,730.4793,128.4863,128486.2594
1,730.4961,128.5031,128503.0594
1,740.6905,138.6975,138697.4594
1,754.6897,152.6967,152696.6594
1,780.0727,178.0797,178079.6594
1,795.7156,193.7226,193722.5594
1,795.7341,193.7411,193741.0594
1,795.7532,193.7602,193760.1594
1,795.7712,193.7782,193778.1594
1,798.1327,196.1397,196139.6594
1,798.1416,196.1486,196148.5594
1,841.2980,239.3050,239304.9594
1,853.9458,251.9528,251952.7594
1,853.9546,251.9616,251961.5594
1,876.5274,274.5344,274534.3594
1,879.6484,277.6554,277655.3594
1,879.6568,277.6638,277663.7594
1,901.5378,299.5448,299544.7594
1,912.1043,310.1113,310111.2594
1,944.2860,342.2930,342292.9594
1,1011.6983,409.7053,409705.2594
1,1139.5557,537.5627,537562.6594
1,1139.5575,537.5645,537564.4594
1,1154.4226,552.4296,552429.5594
1,1154.4324,552.4394,552439.3594
1,1174.8689,572.8759,572875.8594
1,1183.9882,581.9952,581995.1594
1,1184.0273,582.0343,582034.2594
1,1250.8169,648.8239,648823.8594
1,1256.3710,654.3780,654377.9594
1,1256.3852,654.3922,654392.1594
1,1258.8805,656.8875,656887.4594
1,1264.7238,662.7308,662730.7594
1,1340.8695,738.8765,738876.4594
1,1415.9672,813.9742,813974.1594
1,1428.7611,826.7681,826768.0594
1,1448.4492,846.4562,846456.1594
1,1454.9834,852.9904,852990.3594
1,1511.1023,909.1093,909109.2594
1,1515.1862,913.1932,913193.1594
1,1515.2250,913.2320,913231.9594
1,1515.6196,913.6266,913626.5594
1,1530.5362,928.5432,928543.1594
1,1561.2801,959.2871,959287.0594
1,1599.2260,997.2330,997232.9594
1,1599.2285,997.2355,997235.4594
1,1616.7544,1014.7614,1014761.3594
1,1633.1262,1031.1332,1031133.1594
1,1685.8021,1083.8091,1083809.0594
1,1685.8126,1083.8196,1083819.5594
1,1685.8180,1083.8250,1083824.9594
1,1690.6068,1088.6138,1088613.7594
1,1749.1279,1147.1349,1147134.8594
1,1749.6726,1147.6796,1147679.5594
1,1762.6461,1160.6531,1160653.0594
1,1762.7867,1160.7937,1160793.6594
1,1762.8427,1160.8497,1160849.6594
1,1762.8916,1160.8986,1160898.5594
1,1763.2905,1161.2975,1161297.4594
1,1773.5088,1171.5158,1171515.7594
1,1789.2908,1187.2978,1187297.7594
1,1812.4003,1210.4073,1210407.2594
1,1813.4696,1211.4766,1211476.5594
1,1822.2219,1220.2289,1220228.8594
1,1822.4555,1220.4625,1220462.4594
1,1822.5242,1220.5312,1220531.1594
1,1827.4297,1225.4367,1225436.6594
1,1835.8548,1233.8618,1233861.7594
1,1861.3716,1259.3786,1259378.5594
1,1870.9646,1268.9716,1268971.5594
1,1962.2154,1360.2224,1360222.3594
1,1962.2368,1360.2438,1360243.7594
1,1962.2674,1360.2744,1360274.3594
1,2017.9154,1415.9224,1415922.3594
1,2066.9700,1464.9770,1464976.9594
1,2120.5635,1518.5705,1518570.4594
1,2120.5772,1518.5842,1518584.1594
1,2157.7751,1555.7821,1555782.0594
1,2236.9680,1634.9750,1634974.9594
1,2243.1247,1641.1317,1641131.6594
1,2258.3685,1656.3755,1656375.4594
1,2285.0858,1683.0928,1683092.7594
1,2285.0970,1683.1040,1683103.9594
1,2366.2518,1764.2588,1764258.7594
1,2368.5609,1766.5679,1766567.8594
1,2413.3041,1811.3111,1811311.0594
1,2451.5666,1849.5736,1849573.5594
1,2454.8186,1852.8256,1852825.5594
1,2482.7323,1880.7393,1880739.2594
1,2540.6193,1938.6263,1938626.2594
1,2540.6699,1938.6769,1938676.8594
1,2546.1497,1944.1567,1944156.6594
1,2616.6581,2014.6651,2014665.0594
1,2617.4267,2015.4337,2015433.6594
1,2678.5575,2076.5645,2076564.4594
1,2678.6207,2076.6277,2076627.6594
1,2693.7794,2091.7864,2091786.3594
1,2739.3689,2137.3759,2137375.8594
1,2747.8746,2145.8816,2145881.5594
