units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,605.2489,3.2559,3255.8594
1,610.7467,8.7537,8753.6594
1,622.9736,20.9806,20980.5594
1,667.8850,65.8920,65891.9594
1,668.5128,66.5198,66519.7594
1,669.1416,67.1486,67148.5594
1,711.9930,110.0000,109999.9594
1,721.5122,119.5192,119519.1594
1,797.1143,195.1213,195121.2594
1,837.8804,235.8874,235887.3594
1,859.1418,257.1488,257148.7594
1,863.2066,261.2136,261213.5594
1,918.6018,316.6088,316608.7594
1,975.8708,373.8778,373877.7594
1,1036.1142,434.1212,434121.1594
1,1053.2855,451.2925,451292.4594
1,1076.1437,474.1507,474150.6594
1,1112.7835,510.7905,510790.4594
1,1198.6518,596.6588,596658.7594
1,1199.6983,597.7053,597705.2594
1,1250.1395,648.1465,648146.4594
1,1259.2338,657.2408,657240.7594
1,1284.7016,682.7086,682708.5594
1,1485.2448,883.2518,883251.7594
1,1542.9345,940.9415,940941.4594
1,1646.9135,1044.9205,1044920.4594
1,1671.0920,1069.0990,1069098.9594
1,1704.2888,1102.2958,1102295.7594
1,1715.2942,1113.3012,1113301.1594
1,1765.4584,1163.4654,1163465.3594
1,1842.7566,1240.7636,1240763.5594
1,1878.0374,1276.0444,1276044.3594
1,1911.8655,1309.8725,1309872.4594
1,1918.8475,1316.8545,1316854.4594
1,1927.3666,1325.3736,1325373.5594
1,1938.2837,1336.2907,1336290.6594
1,1938.3981,1336.4051,1336405.0594
1,1940.6103,1338.6173,1338617.2594
1,1980.6818,1378.6888,1378688.7594
1,2041.6665,1439.6735,1439673.4594
1,2048.8958,1446.9028,1446902.7594
1,2077.8979,1475.9049,1475904.8594
1,2103.3189,1501.3259,1501325.8594
1,2141.8213,1539.8283,1539828.2594
1,2220.7063,1618.7133,1618713.2594
1,2244.9381,1642.9451,1642945.0594
1,2246.5054,1644.5124,1644512.3594
1,2288.0608,1686.0678,1686067.7594
1,2302.0219,1700.0289,1700028.8594
1,2306.0687,1704.0757,1704075.6594
1,2323.3561,1721.3631,1721363.0594
1,2378.6716,1776.6786,1776678.5594
1,2454.5111,1852.5181,1852518.0594
1,2479.5478,1877.5548,1877554.7594
1,2482.1608,1880.1678,1880167.7594
1,2502.6355,1900.6425,1900642.4594
1,2502.7384,1900.7454,1900745.3594
1,2525.7090,1923.7160,1923715.9594
1,2532.0850,1930.0920,1930091.9594
1,2541.2397,1939.2467,1939246.6594
1,2571.6183,1969.6253,1969625.2594
1,2590.0826,1988.0896,1988089.5594
1,2598.2154,1996.2224,1996222.3594
1,2601.3471,1999.3541,1999354.0594
1,2607.7978,2005.8048,2005804.7594
1,2611.9378,2009.9448,2009944.7594
1,2642.7306,2040.7376,2040737.5594
1,2676.2410,2074.2480,2074247.9594
1,2678.3380,2076.3450,2076344.9594
1,2745.3908,2143.3978,2143397.7594
1,2763.9966,2162.0036,2162003.5594
