units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,602.3249,0.3319,331.8594
1,602.5022,0.5092,509.1594
1,602.5244,0.5314,531.3594
1,602.7631,0.7701,770.0594
1,602.8152,0.8222,822.1594
1,603.1157,1.1227,1122.6594
1,603.3571,1.3641,1364.0594
1,603.5208,1.5278,1527.7594
1,603.5975,1.6045,1604.4594
1,603.7964,1.8034,1803.3594
1,603.9405,1.9475,1947.4594
1,604.3468,2.3538,2353.7594
1,604.4594,2.4664,2466.3594
1,604.7840,2.7910,2790.9594
1,604.9542,2.9612,2961.1594
1,605.0589,3.0659,3065.8594
1,605.2269,3.2339,3233.8594
1,605.2552,3.2622,3262.1594
1,605.9027,3.9097,3909.6594
1,606.0692,4.0762,4076.1594
1,606.2741,4.2811,4281.0594
1,606.4438,4.4508,4450.7594
1,606.5138,4.5208,4520.7594
1,606.8988,4.9058,4905.7594
1,607.1245,5.1315,5131.4594
1,607.2373,5.2443,5244.2594
1,607.4653,5.4723,5472.2594
1,607.7248,5.7318,5731.7594
1,607.8996,5.9066,5906.5594
1,609.3906,7.3976,7397.5594
1,609.5515,7.5585,7558.4594
1,609.9569,7.9639,7963.8594
1,610.0843,8.0913,8091.2594
1,610.9420,8.9490,8948.9594
1,611.2003,9.2073,9207.2594
1,611.2602,9.2672,9267.1594
1,611.5608,9.5678,9567.7594
1,611.6528,9.6598,9659.7594
1,611.8566,9.8636,9863.5594
1,612.0375,10.0445,10044.4594
1,612.1349,10.1419,10141.8594
1,612.2883,10.2953,10295.2594
1,612.4536,10.4606,10460.5594
1,612.4611,10.4681,10468.0594
1,613.5459,11.5529,11552.8594
1,613.5881,11.5951,11595.0594
1,613.7576,11.7646,11764.5594
1,613.8221,11.8291,11829.0594
1,613.8384,11.8454,11845.3594
1,613.9198,11.9268,11926.7594
1,614.1589,12.1659,12165.8594
1,614.1880,12.1950,12194.9594
1,614.2061,12.2131,12213.0594
1,614.3239,12.3309,12330.8594
1,614.6346,12.6416,12641.5594
1,615.3476,13.3546,13354.5594
1,615.4531,13.4601,13460.0594
1,615.8648,13.8718,13871.7594
1,616.4569,14.4639,14463.8594
1,616.7100,14.7170,14716.9594
1,617.0046,15.0116,15011.5594
1,617.1859,15.1929,15192.8594
1,617.2036,15.2106,15210.5594
1,618.0197,16.0267,16026.6594
1,618.4358,16.4428,16442.7594
1,619.4345,17.4415,17441.4594
1,619.6384,17.6454,17645.3594
1,619.6583,17.6653,17665.2594
1,619.8450,17.8520,17851.9594
1,620.2150,18.2220,18221.9594
1,620.3190,18.3260,18325.9594
1,621.2099,19.2169,19216.8594
1,622.3067,20.3137,20313.6594
1,622.4222,20.4292,20429.1594
1,622.6161,20.6231,20623.0594
1,622.7729,20.7799,20779.8594
1,624.2893,22.2963,22296.2594
1,624.5429,22.5499,22549.8594
1,624.8074,22.8144,22814.3594
1,625.4730,23.4800,23479.9594
1,625.5682,23.5752,23575.1594
1,625.6794,23.6864,23686.3594
1,625.8341,23.8411,23841.0594
1,626.0091,24.0161,24016.0594
1,626.6422,24.6492,24649.1594
1,626.6931,24.7001,24700.0594
1,627.1759,25.1829,25182.8594
1,627.4570,25.4640,25463.9594
1,627.4714,25.4784,25478.3594
1,627.6438,25.6508,25650.7594
1,628.1785,26.1855,26185.4594
1,628.9413,26.9483,26948.2594
1,629.2027,27.2097,27209.6594
1,629.6930,27.7000,27699.9594
1,629.9920,27.9990,27998.9594
1,630.5463,28.5533,28553.2594
1,630.6491,28.6561,28656.0594
1,631.2010,29.2080,29207.9594
1,631.4421,29.4491,29449.0594
1,632.0432,30.0502,30050.1594
1,632.0837,30.0907,30090.6594
1,632.5962,30.6032,30603.1594
1,633.4063,31.4133,31413.2594
1,634.3465,32.3535,32353.4594
1,634.5231,32.5301,32530.0594
1,634.6227,32.6297,32629.6594
1,634.7856,32.7926,32792.5594
1,635.0897,33.0967,33096.6594
1,635.1335,33.1405,33140.4594
1,635.3667,33.3737,33373.6594
1,636.1450,34.1520,34151.9594
1,636.1965,34.2035,34203.4594
1,636.8194,34.8264,34826.3594
1,636.8271,34.8341,34834.0594
1,636.8770,34.8840,34883.9594
1,637.6822,35.6892,35689.1594
1,637.6966,35.7036,35703.5594
1,637.9437,35.9507,35950.6594
1,638.8371,36.8441,36844.0594
1,638.9294,36.9364,36936.3594
1,639.0028,37.0098,37009.7594
1,639.2349,37.2419,37241.8594
1,639.4457,37.4527,37452.6594
1,640.2515,38.2585,38258.4594
1,640.4111,38.4181,38418.0594
1,640.9999,39.0069,39006.8594
1,641.0516,39.0586,39058.5594
1,641.1764,39.1834,39183.3594
1,641.5137,39.5207,39520.6594
1,641.8669,39.8739,39873.8594
1,642.0950,40.1020,40101.9594
1,642.1606,40.1676,40167.5594
1,642.4579,40.4649,40464.8594
1,643.4936,41.5006,41500.5594
1,643.7362,41.7432,41743.1594
1,643.7833,41.7903,41790.2594
1,643.8477,41.8547,41854.6594
1,643.9436,41.9506,41950.5594
1,644.2745,42.2815,42281.4594
1,644.7339,42.7409,42740.8594
1,645.4146,43.4216,43421.5594
1,645.6379,43.6449,43644.8594
1,645.9783,43.9853,43985.2594
1,646.4633,44.4703,44470.2594
1,646.5814,44.5884,44588.3594
1,646.6581,44.6651,44665.0594
1,646.7351,44.7421,44742.0594
1,647.4563,45.4633,45463.2594
1,647.5306,45.5376,45537.5594
1,647.9688,45.9758,45975.7594
1,648.3703,46.3773,46377.2594
1,648.5077,46.5147,46514.6594
1,649.1042,47.1112,47111.1594
1,649.9951,48.0021,48002.0594
1,650.0392,48.0462,48046.1594
1,650.4513,48.4583,48458.2594
1,651.4880,49.4950,49494.9594
1,651.5156,49.5226,49522.5594
1,651.9941,50.0011,50001.0594
1,652.4513,50.4583,50458.2594
1,652.5209,50.5279,50527.8594
1,652.6069,50.6139,50613.8594
1,652.7243,50.7313,50731.2594
1,652.8802,50.8872,50887.1594
1,652.9785,50.9855,50985.4594
1,653.3380,51.3450,51344.9594
1,653.6673,51.6743,51674.2594
1,654.2450,52.2520,52251.9594
1,654.6079,52.6149,52614.8594
1,654.6492,52.6562,52656.1594
1,655.1518,53.1588,53158.7594
1,655.6644,53.6714,53671.3594
1,655.8710,53.8780,53877.9594
1,656.1661,54.1731,54173.0594
1,656.2776,54.2846,54284.5594
1,656.7372,54.7442,54744.1594
1,657.1013,55.1083,55108.2594
1,657.9891,55.9961,55996.0594
1,658.0693,56.0763,56076.2594
1,658.2213,56.2283,56228.2594
1,658.8896,56.8966,56896.5594
1,659.7385,57.7455,57745.4594
1,660.0241,58.0311,58031.0594
1,660.4945,58.5015,58501.4594
1,660.4972,58.5042,58504.1594
1,660.8592,58.8662,58866.1594
1,661.2330,59.2400,59239.9594
1,661.4783,59.4853,59485.2594
1,662.7624,60.7694,60769.3594
1,662.8986,60.9056,60905.5594
1,662.9840,60.9910,60990.9594
1,663.6085,61.6155,61615.4594
1,663.6454,61.6524,61652.3594
1,663.8581,61.8651,61865.0594
1,664.0864,62.0934,62093.3594
1,664.1427,62.1497,62149.6594
1,664.5434,62.5504,62550.3594
1,664.8235,62.8305,62830.4594
1,665.0040,63.0110,63010.9594
1,665.0611,63.0681,63068.0594
1,665.1789,63.1859,63185.8594
1,666.5459,64.5529,64552.8594
1,667.4311,65.4381,65438.0594
1,668.2395,66.2465,66246.4594
1,668.3769,66.3839,66383.8594
1,670.2111,68.2181,68218.0594
1,670.5365,68.5435,68543.4594
1,671.4572,69.4642,69464.1594
1,671.4954,69.5024,69502.3594
1,671.5180,69.5250,69524.9594
1,671.8547,69.8617,69861.6594
1,672.0980,70.1050,70104.9594
1,672.2325,70.2395,70239.4594
1,672.4020,70.4090,70408.9594
1,672.4095,70.4165,70416.4594
1,672.6631,70.6701,70670.0594
1,672.7633,70.7703,70770.2594
1,672.9916,70.9986,70998.5594
1,673.5647,71.5717,71571.6594
1,674.0004,72.0074,72007.3594
1,674.1504,72.1574,72157.3594
1,674.1705,72.1775,72177.4594
1,674.4295,72.4365,72436.4594
1,674.4852,72.4922,72492.1594
1,674.6025,72.6095,72609.4594
1,674.8519,72.8589,72858.8594
1,675.0021,73.0091,73009.0594
1,675.3371,73.3441,73344.0594
1,675.9185,73.9255,73925.4594
1,676.1764,74.1834,74183.3594
1,676.3439,74.3509,74350.8594
1,676.4946,74.5016,74501.5594
1,676.5052,74.5122,74512.1594
1,676.6693,74.6763,74676.2594
1,676.8548,74.8618,74861.7594
1,677.0157,75.0227,75022.6594
1,677.2242,75.2312,75231.1594
1,677.3411,75.3481,75348.0594
1,677.4372,75.4442,75444.1594
1,677.9112,75.9182,75918.1594
1,678.1098,76.1168,76116.7594
1,678.3770,76.3840,76383.9594
1,678.9490,76.9560,76955.9594
1,679.2522,77.2592,77259.1594
1,679.5650,77.5720,77571.9594
1,679.9423,77.9493,77949.2594
1,680.0974,78.1044,78104.3594
1,680.1244,78.1314,78131.3594
1,680.3648,78.3718,78371.7594
1,680.5445,78.5515,78551.4594
1,680.5736,78.5806,78580.5594
1,680.7832,78.7902,78790.1594
1,680.8703,78.8773,78877.2594
1,681.0593,79.0663,79066.2594
1,681.1135,79.1205,79120.4594
1,681.7796,79.7866,79786.5594
1,681.8533,79.8603,79860.2594
1,681.9305,79.9375,79937.4594
1,681.9766,79.9836,79983.5594
