units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,609.2733,7.2803,7280.2594
2,611.2616,9.2686,9268.5594
2,635.1219,33.1289,33128.8594
2,641.8247,39.8317,39831.6594
2,656.3483,54.3553,54355.2594
2,674.1435,72.1505,72150.4594
2,739.5856,137.5926,137592.5594
2,766.6711,164.6781,164678.0594
2,770.8145,168.8215,168821.4594
2,789.8668,187.8738,187873.7594
2,800.1841,198.1911,198191.0594
2,807.3713,205.3783,205378.2594
2,814.7707,212.7777,212777.6594
2,828.5479,226.5549,226554.8594
2,834.5057,232.5127,232512.6594
2,838.8962,236.9032,236903.1594
2,846.9712,244.9782,244978.1594
2,901.4429,299.4499,299449.8594
2,916.5740,314.5810,314580.9594
2,917.5069,315.5139,315513.8594
2,1005.6124,403.6194,403619.3594
2,1026.4138,424.4208,424420.7594
2,1062.8128,460.8198,460819.7594
2,1200.9983,599.0053,599005.2594
2,1201.1548,599.1618,599161.7594
2,1233.3073,631.3143,631314.2594
2,1249.8733,647.8803,647880.2594
2,1261.0970,659.1040,659103.9594
2,1340.1146,738.1216,738121.5594
2,1376.5306,774.5376,774537.5594
2,1453.7424,851.7494,851749.3594
2,1454.9448,852.9518,852951.7594
2,1481.3067,879.3137,879313.6594
2,1483.1729,881.1799,881179.8594
2,1487.0555,885.0625,885062.4594
2,1487.3115,885.3185,885318.4594
2,1489.5622,887.5692,887569.1594
2,1501.9610,899.9680,899967.9594
2,1514.0616,912.0686,912068.5594
2,1526.1579,924.1649,924164.8594
2,1586.1028,984.1098,984109.7594
2,1609.8670,1007.8740,1007873.9594
2,1610.7031,1008.7101,1008710.0594
2,1663.3826,1061.3896,1061389.5594
2,1670.4655,1068.4725,1068472.4594
2,1682.6600,1080.6670,1080666.9594
2,1684.6934,1082.7004,1082700.3594
2,1686.1148,1084.1218,1084121.7594
2,1686.3870,1084.3940,1084393.9594
2,1700.5741,1098.5811,1098581.0594
2,1705.2552,1103.2622,1103262.1594
2,1711.9678,1109.9748,1109974.7594
2,1729.0640,1127.0710,1127070.9594
2,1752.9975,1151.0045,1151004.4594
2,1756.9589,1154.9659,1154965.8594
2,1762.5495,1160.5565,1160556.4594
2,1765.2144,1163.2214,1163221.3594
2,1770.3638,1168.3708,1168370.7594
2,1790.7691,1188.7761,1188776.0594
2,1860.8774,1258.8844,1258884.3594
2,1861.3279,1259.3349,1259334.8594
2,1861.7932,1259.8002,1259800.1594
2,1883.3332,1281.3402,1281340.1594
2,1890.2855,1288.2925,1288292.4594
2,1913.3669,1311.3739,1311373.8594
2,1913.9519,1311.9589,1311958.8594
2,1918.6876,1316.6946,1316694.5594
2,1920.0921,1318.0991,1318099.0594
2,1984.4698,1382.4768,1382476.7594
2,1989.2900,1387.2970,1387296.9594
2,1998.7628,1396.7698,1396769.7594
2,2000.1020,1398.1090,1398108.9594
2,2001.1818,1399.1888,1399188.7594
2,2016.0369,1414.0439,1414043.8594
2,2021.0379,1419.0449,1419044.8594
2,2037.4395,1435.4465,1435446.4594
2,2045.7844,1443.7914,1443791.3594
2,2067.3458,1465.3528,1465352.7594
2,2078.0404,1476.0474,1476047.3594
2,2078.0454,1476.0524,1476052.3594
2,2082.5445,1480.5515,1480551.4594
2,2088.8669,1486.8739,1486873.8594
2,2128.6890,1526.6960,1526695.9594
2,2142.0362,1540.0432,1540043.1594
2,2172.6504,1570.6574,1570657.3594
2,2173.2563,1571.2633,1571263.2594
2,2188.9854,1586.9924,1586992.3594
2,2228.5089,1626.5159,1626515.8594
2,2237.9482,1635.9552,1635955.1594
2,2240.7118,1638.7188,1638718.7594
2,2243.8220,1641.8290,1641828.9594
2,2244.8488,1642.8558,1642855.7594
2,2359.9604,1757.9674,1757967.3594
2,2423.6968,1821.7038,1821703.7594
2,2447.4485,1845.4555,1845455.4594
2,2448.2062,1846.2132,1846213.1594
2,2464.4214,1862.4284,1862428.3594
2,2479.4102,1877.4172,1877417.1594
2,2483.3054,1881.3124,1881312.3594
2,2484.9787,1882.9857,1882985.6594
2,2524.8129,1922.8199,1922819.8594
2,2525.8554,1923.8624,1923862.3594
2,2539.1990,1937.2060,1937205.9594
2,2542.2178,1940.2248,1940224.7594
2,2560.6789,1958.6859,1958685.8594
2,2614.3604,2012.3674,2012367.3594
2,2671.5722,2069.5792,2069579.1594
2,2689.4090,2087.4160,2087415.9594
2,2734.5234,2132.5304,2132530.3594
2,2763.0521,2161.0591,2161059.0594
