units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,609.5106,7.5176,7517.5594
1,620.1415,18.1485,18148.4594
1,626.2726,24.2796,24279.5594
1,630.3770,28.3840,28383.9594
1,633.2722,31.2792,31279.1594
1,642.1699,40.1769,40176.8594
1,644.2311,42.2381,42238.0594
1,645.0972,43.1042,43104.1594
1,645.4089,43.4159,43415.8594
1,648.0517,46.0587,46058.6594
1,648.4921,46.4991,46499.0594
1,652.7218,50.7288,50728.7594
1,666.7764,64.7834,64783.3594
1,667.5488,65.5558,65555.7594
1,668.8300,66.8370,66836.9594
1,669.0214,67.0284,67028.3594
1,679.5473,77.5543,77554.2594
1,683.7679,81.7749,81774.8594
1,687.9184,85.9254,85925.3594
1,697.0485,95.0555,95055.4594
1,716.4604,114.4674,114467.3594
1,718.1714,116.1784,116178.3594
1,720.3465,118.3535,118353.4594
1,742.2045,140.2115,140211.4594
1,746.7731,144.7801,144780.0594
1,746.9537,144.9607,144960.6594
1,747.0584,145.0654,145065.3594
1,748.8456,146.8526,146852.5594
1,750.7719,148.7789,148778.8594
1,750.9251,148.9321,148932.0594
1,750.9907,148.9977,148997.6594
1,770.3796,168.3866,168386.5594
1,771.0103,169.0173,169017.2594
1,771.5168,169.5238,169523.7594
1,772.4083,170.4153,170415.2594
1,772.7003,170.7073,170707.2594
1,783.9933,182.0003,182000.2594
1,784.9408,182.9478,182947.7594
1,788.7366,186.7436,186743.5594
1,794.2128,192.2198,192219.7594
1,796.1098,194.1168,194116.7594
1,801.6332,199.6402,199640.1594
1,813.2662,211.2732,211273.1594
1,818.6009,216.6079,216607.8594
1,818.9954,217.0024,217002.3594
1,823.1874,221.1944,221194.3594
1,823.5619,221.5689,221568.8594
1,827.7152,225.7222,225722.1594
1,828.1900,226.1970,226196.9594
1,838.1949,236.2019,236201.8594
1,841.1673,239.1743,239174.2594
1,847.7380,245.7450,245744.9594
1,848.6403,246.6473,246647.2594
1,849.6760,247.6830,247682.9594
1,852.4494,250.4564,250456.3594
1,856.7914,254.7984,254798.3594
1,857.8677,255.8747,255874.6594
1,858.0313,256.0383,256038.2594
