units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2016.4230,1414.4300,1414429.9594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,547.9594,0.5480
1,2016.7218,1414.7288,1414728.7594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,846.7594,0.8468
1,2016.9020,1414.9090,1414908.9594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1026.9594,1.0270
1,2016.9201,1414.9271,1414927.0594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1045.0594,1.0451
1,2017.5410,1415.5480,1415547.9594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,1665.9594,1.6660
1,980.5690,378.5760,378575.9594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,481.9594,0.4820
1,980.7827,378.7897,378789.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,695.6594,0.6957
1,741.4800,139.4870,139486.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,20.9594,0.0210
1,742.1651,140.1721,140172.0594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,706.0594,0.7061
1,742.3959,140.4029,140402.8594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,936.8594,0.9369
1,742.4510,140.4580,140457.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,991.9594,0.9920
1,1593.2503,991.2573,991257.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,479.2594,0.4793
1,1593.7296,991.7366,991736.5594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,958.5594,0.9586
1,1593.7430,991.7500,991749.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,971.9594,0.9720
1,1594.8231,992.8301,992830.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,2052.0594,2.0521
1,896.9600,294.9670,294966.9594,5,1.0-294948-297828,167.0000,1.0000,1,5,True,294948.0000,297828.0000,18.9594,0.0190
