units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2015.8824,1413.8894,1413889.3594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,7.3594,0.0074
1,2015.8977,1413.9047,1413904.6594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,22.6594,0.0227
1,2015.9126,1413.9196,1413919.5594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,37.5594,0.0376
1,2015.9314,1413.9384,1413938.3594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,56.3594,0.0564
1,2015.9762,1413.9832,1413983.1594,1,1.0-1413882-1415621,560.0000,1.0000,1,1,True,1413882.0000,1415621.0000,101.1594,0.1012
1,980.1125,378.1195,378119.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,25.4594,0.0255
1,980.1166,378.1236,378123.5594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,29.5594,0.0296
1,980.1205,378.1275,378127.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,33.4594,0.0335
1,980.1614,378.1684,378168.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,74.3594,0.0744
1,980.2380,378.2450,378244.9594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,150.9594,0.1510
1,980.2399,378.2469,378246.8594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,152.8594,0.1529
1,980.3187,378.3257,378325.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,231.6594,0.2317
1,980.3670,378.3740,378373.9594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,279.9594,0.2800
1,980.4151,378.4221,378422.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,328.0594,0.3281
1,980.4318,378.4388,378438.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,344.7594,0.3448
1,980.4344,378.4414,378441.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,347.3594,0.3474
1,980.4933,378.5003,378500.2594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,406.2594,0.4063
1,980.5048,378.5118,378511.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,417.7594,0.4178
1,980.5161,378.5231,378523.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,429.0594,0.4291
1,980.5783,378.5853,378585.2594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,491.2594,0.4913
1,980.5937,378.6007,378600.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,506.6594,0.5067
1,980.6102,378.6172,378617.1594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,523.1594,0.5232
1,980.6759,378.6829,378682.8594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,588.8594,0.5889
1,980.7141,378.7211,378721.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,627.0594,0.6271
1,980.7824,378.7894,378789.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,695.3594,0.6954
1,980.8354,378.8424,378842.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,748.3594,0.7484
1,980.9889,378.9959,378995.8594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,901.8594,0.9019
1,981.0151,379.0221,379022.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,928.0594,0.9281
1,981.0856,379.0926,379092.5594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,998.5594,0.9986
1,981.0885,379.0955,379095.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1001.4594,1.0015
1,981.1374,379.1444,379144.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1050.3594,1.0504
1,981.2447,379.2517,379251.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1157.6594,1.1577
1,981.3263,379.3333,379333.2594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1239.2594,1.2393
1,981.3478,379.3548,379354.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1260.7594,1.2608
1,981.5204,379.5274,379527.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1433.3594,1.4334
1,981.6055,379.6125,379612.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1518.4594,1.5185
1,981.6485,379.6555,379655.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1561.4594,1.5615
1,981.6717,379.6787,379678.6594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1584.6594,1.5847
1,981.6799,379.6869,379686.8594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1592.8594,1.5929
1,981.7136,379.7206,379720.5594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1626.5594,1.6266
1,981.7524,379.7594,379759.3594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1665.3594,1.6654
1,981.8425,379.8495,379849.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1755.4594,1.7555
1,981.8966,379.9036,379903.5594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1809.5594,1.8096
1,981.9208,379.9278,379927.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1833.7594,1.8338
1,981.9295,379.9365,379936.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1842.4594,1.8425
1,981.9925,379.9995,379999.4594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,1905.4594,1.9055
1,982.1728,380.1798,380179.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,2085.7594,2.0858
1,982.1922,380.1992,380199.1594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,2105.1594,2.1052
1,982.2048,380.2118,380211.7594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,2117.7594,2.1178
1,982.2071,380.2141,380214.0594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,2120.0594,2.1201
1,982.2192,380.2262,380226.1594,2,1.0-378094-380234,210.0000,1.0000,1,2,True,378094.0000,380234.0000,2132.1594,2.1322
1,741.4950,139.5020,139501.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,35.9594,0.0360
1,741.5335,139.5405,139540.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,74.4594,0.0745
1,741.5533,139.5603,139560.2594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,94.2594,0.0943
1,741.5571,139.5641,139564.0594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,98.0594,0.0981
1,741.5675,139.5745,139574.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,108.4594,0.1085
1,741.5764,139.5834,139583.3594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,117.3594,0.1174
1,741.5870,139.5940,139593.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,127.9594,0.1280
1,741.5912,139.5982,139598.1594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,132.1594,0.1322
1,741.6064,139.6134,139613.3594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,147.3594,0.1474
1,741.6273,139.6343,139634.2594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,168.2594,0.1683
1,741.6375,139.6445,139644.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,178.4594,0.1785
1,741.6444,139.6514,139651.3594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,185.3594,0.1854
1,741.7225,139.7295,139729.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,263.4594,0.2635
1,741.8635,139.8705,139870.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,404.4594,0.4045
1,741.9702,139.9772,139977.1594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,511.1594,0.5112
1,742.0000,140.0070,140006.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,540.9594,0.5410
1,742.0155,140.0225,140022.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,556.4594,0.5565
1,742.1267,140.1337,140133.6594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,667.6594,0.6677
1,742.1779,140.1849,140184.8594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,718.8594,0.7189
1,742.1967,140.2037,140203.6594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,737.6594,0.7377
1,742.2141,140.2211,140221.0594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,755.0594,0.7551
1,742.2170,140.2240,140223.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,757.9594,0.7580
1,742.2737,140.2807,140280.6594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,814.6594,0.8147
1,742.2942,140.3012,140301.1594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,835.1594,0.8352
1,742.3005,140.3075,140307.4594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,841.4594,0.8415
1,742.4073,140.4143,140414.2594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,948.2594,0.9483
1,742.4408,140.4478,140447.7594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,981.7594,0.9818
1,742.4814,140.4884,140488.3594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,1022.3594,1.0224
1,742.4940,140.5010,140500.9594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,1034.9594,1.0350
1,742.5267,140.5337,140533.6594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,1067.6594,1.0677
1,742.5764,140.5834,140583.3594,3,1.0-139466-140586,83.0000,1.0000,1,3,True,139466.0000,140586.0000,1117.3594,1.1174
1,1592.8267,990.8337,990833.6594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,55.6594,0.0557
1,1592.8727,990.8797,990879.6594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,101.6594,0.1017
1,1592.9254,990.9324,990932.3594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,154.3594,0.1544
1,1592.9943,991.0013,991001.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,223.2594,0.2233
1,1593.0001,991.0071,991007.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,229.0594,0.2291
1,1593.0552,991.0622,991062.1594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,284.1594,0.2842
1,1593.0910,991.0980,991097.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,319.9594,0.3200
1,1593.1602,991.1672,991167.1594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,389.1594,0.3892
1,1593.1680,991.1750,991174.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,396.9594,0.3970
1,1593.1851,991.1921,991192.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,414.0594,0.4141
1,1593.2050,991.2120,991211.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,433.9594,0.4340
1,1593.2350,991.2420,991241.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,463.9594,0.4640
1,1593.2372,991.2442,991244.1594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,466.1594,0.4662
1,1593.2480,991.2550,991254.9594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,476.9594,0.4770
1,1593.3105,991.3175,991317.4594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,539.4594,0.5395
1,1593.4114,991.4184,991418.3594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,640.3594,0.6404
1,1593.4639,991.4709,991470.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,692.8594,0.6929
1,1593.4926,991.4996,991499.5594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,721.5594,0.7216
1,1593.5057,991.5127,991512.6594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,734.6594,0.7347
1,1593.6219,991.6289,991628.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,850.8594,0.8509
1,1593.8256,991.8326,991832.5594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1054.5594,1.0546
1,1593.9152,991.9222,991922.1594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1144.1594,1.1442
1,1593.9474,991.9544,991954.3594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1176.3594,1.1764
1,1594.0843,992.0913,992091.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1313.2594,1.3133
1,1594.1663,992.1733,992173.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1395.2594,1.3953
1,1594.2412,992.2482,992248.1594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1470.1594,1.4702
1,1594.2818,992.2888,992288.7594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1510.7594,1.5108
1,1594.3989,992.4059,992405.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1627.8594,1.6279
1,1594.4302,992.4372,992437.1594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1659.1594,1.6592
1,1594.4999,992.5069,992506.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1728.8594,1.7289
1,1594.5049,992.5119,992511.8594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1733.8594,1.7339
1,1594.5408,992.5478,992547.7594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1769.7594,1.7698
1,1594.5583,992.5653,992565.2594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1787.2594,1.7873
1,1594.5951,992.6021,992602.0594,4,1.0-990778-993678,427.0000,1.0000,1,4,True,990778.0000,993678.0000,1824.0594,1.8241
